N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,reached,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
192,48,4,0,1.5,1.5,1343465717,505,,0.9427083333333334,0.1499999999999999,2.0,0.75,205,6,0.3364485981308411,107,0,21,107,63,1,0,0,205,6,0.3364485981308411,107,0,21,107,63,1,0,0,205,6,0.3364485981308411,107,0,21,107,63,1,0,0
192,48,4,1,1.5,1.5,3283162240,505,205,0.9427083333333334,0.11458333333333326,2.0,0.75,205,13,0.29292929292929293,99,0,27,99,61,5,0,0,205,13,0.29292929292929293,99,0,27,99,61,5,0,0,205,13,0.29292929292929293,99,0,27,99,61,5,0,0
192,48,4,2,1.5,1.5,1949997283,505,205,0.9427083333333334,0.1166666666666667,2.0,0.75,205,7,0.3333333333333333,114,0,18,114,58,2,0,0,205,7,0.3333333333333333,114,0,18,114,58,2,0,0,205,7,0.3333333333333333,114,0,18,114,58,2,0,0
192,48,4,3,1.5,1.5,66100704,505,205,0.9322916666666666,0.215972222222222,2.0,0.75,205,4,0.5476190476190477,126,0,8,126,56,2,0,0,205,4,0.5476190476190477,126,0,8,126,56,2,0,0,205,4,0.5476190476190477,126,0,8,126,56,2,0,0
192,48,4,4,1.5,1.5,1417601610,505,205,0.9322916666666666,0.23229166666666634,2.0,0.75,205,6,0.44537815126050423,119,0,12,119,58,3,0,0,205,6,0.44537815126050423,119,0,12,119,58,3,0,0,205,6,0.44537815126050423,119,0,12,119,58,3,0,0
192,48,4,5,1.5,1.5,1222304549,505,205,0.921875,-0.0543402777777775,2.0,0.75,205,9,0.38392857142857145,112,0,12,112,64,4,0,0,205,9,0.38392857142857145,112,0,12,112,64,4,0,0,205,9,0.38392857142857145,112,0,12,112,64,4,0,0
192,48,4,6,1.5,1.5,713863505,505,205,0.9270833333333334,0.012847222222222232,2.0,0.75,205,8,0.6545454545454545,110,0,15,110,63,4,0,0,205,8,0.6545454545454545,110,0,15,110,63,4,0,0,205,8,0.6545454545454545,110,0,15,110,63,4,0,0
192,48,4,7,1.5,1.5,3527254069,505,205,0.984375,0.03177083333333308,2.0,0.75,205,12,0.35294117647058826,102,0,41,102,45,4,0,0,205,12,0.35294117647058826,102,0,41,102,45,4,0,0,205,12,0.35294117647058826,102,0,41,102,45,4,0,0
192,48,4,8,1.5,1.5,3471110427,505,205,0.9322916666666666,0.16440972222222183,2.0,0.75,205,4,0.5826086956521739,115,0,14,115,60,3,0,0,205,4,0.5826086956521739,115,0,14,115,60,3,0,0,205,4,0.5826086956521739,115,0,14,115,60,3,0,0
192,48,4,9,1.5,1.5,3444754432,505,205,0.9322916666666666,0.14774305555555545,2.0,0.75,205,4,0.7674418604651163,129,0,6,129,56,1,0,0,205,4,0.7674418604651163,129,0,6,129,56,1,0,0,205,4,0.7674418604651163,129,0,6,129,56,1,0,0
192,48,4,10,1.5,1.5,2834227524,505,205,0.9427083333333334,-0.07968750000000036,2.0,0.75,205,8,0.7704918032786885,122,0,14,122,54,2,0,0,205,8,0.7704918032786885,122,0,14,122,54,2,0,0,205,8,0.7704918032786885,122,0,14,122,54,2,0,0
192,48,4,11,1.5,1.5,1260946167,505,205,0.9375,0.3006944444444446,2.0,0.75,205,5,0.4496124031007752,129,0,10,129,48,5,0,0,205,5,0.4496124031007752,129,0,10,129,48,5,0,0,205,5,0.4496124031007752,129,0,10,129,48,5,0,0
192,48,4,12,1.5,1.5,2427329271,505,205,0.9739583333333334,0.009201388888889106,2.0,0.75,205,11,0.6407766990291263,103,0,36,103,50,3,0,0,205,11,0.6407766990291263,103,0,36,103,50,3,0,0,205,11,0.6407766990291263,103,0,36,103,50,3,0,0
192,48,4,13,1.5,1.5,2374910383,505,205,0.9895833333333334,0.2586805555555556,2.0,0.75,205,12,0.35398230088495575,113,0,36,113,42,1,0,0,205,12,0.35398230088495575,113,0,36,113,42,1,0,0,205,12,0.35398230088495575,113,0,36,113,42,1,0,0
192,48,4,14,1.5,1.5,1849063050,505,205,0.9427083333333334,0.387673611111111,2.0,0.75,205,4,0.5859375,128,0,11,128,51,2,0,0,205,4,0.5859375,128,0,11,128,51,2,0,0,205,4,0.5859375,128,0,11,128,51,2,0,0
192,48,4,15,1.5,1.5,3222877458,505,205,0.953125,0.2979166666666666,2.0,0.75,205,10,0.22608695652173913,115,0,22,115,52,3,0,0,205,10,0.22608695652173913,115,0,22,115,52,3,0,0,205,10,0.22608695652173913,115,0,22,115,52,3,0,0
192,48,4,16,1.5,1.5,78560686,505,205,0.953125,0.213020833333333,2.0,0.75,205,6,0.3203125,128,0,16,128,44,4,0,0,205,6,0.3203125,128,0,16,128,44,4,0,0,205,6,0.3203125,128,0,16,128,44,4,0,0
192,48,4,17,1.5,1.5,1838874291,505,205,0.9375,0.240104166666667,2.0,0.75,205,4,0.3951612903225806,124,0,12,124,52,4,0,0,205,4,0.3951612903225806,124,0,12,124,52,4,0,0,205,4,0.3951612903225806,124,0,12,124,52,4,0,0
192,48,4,18,1.5,1.5,3142211692,505,205,0.9166666666666666,-0.13750000000000018,2.0,0.75,205,7,0.6454545454545455,110,0,12,110,64,6,0,0,205,7,0.6454545454545455,110,0,12,110,64,6,0,0,205,7,0.6454545454545455,110,0,12,110,64,6,0,0
192,48,4,19,1.5,1.5,2977972218,505,205,0.9270833333333334,0.18749999999999978,2.0,0.75,205,14,0.3425925925925926,108,0,17,108,61,6,0,0,205,14,0.3425925925925926,108,0,17,108,61,6,0,0,205,14,0.3425925925925926,108,0,17,108,61,6,0,0
192,48,4,20,1.5,1.5,952208218,505,,0.96875,0.10086805555555522,2.0,0.75,205,14,0.36363636363636365,110,0,30,110,50,2,0,0,205,14,0.36363636363636365,110,0,30,110,50,2,0,0,205,14,0.36363636363636365,110,0,30,110,50,2,0,0
192,48,4,21,1.5,1.5,3729000648,505,205,0.9739583333333334,0.49531250000000027,2.0,0.75,205,7,0.6115702479338843,121,0,26,121,44,1,0,0,205,7,0.6115702479338843,121,0,26,121,44,1,0,0,205,7,0.6115702479338843,121,0,26,121,44,1,0,0
192,48,4,22,1.5,1.5,487872231,515,205,1.0,0.28159722222222183,2.0,0.75,205,9,0.3592233009708738,103,0,47,103,41,1,0,0,205,9,0.3592233009708738,103,0,47,103,41,1,0,0,205,9,0.3592233009708738,103,0,47,103,41,1,0,0
192,48,4,23,1.5,1.5,3755732649,505,205,0.9375,0.24565972222222232,2.0,0.75,205,7,0.2920353982300885,113,0,18,113,56,5,0,0,205,7,0.2920353982300885,113,0,18,113,56,5,0,0,205,7,0.2920353982300885,113,0,18,113,56,5,0,0
192,48,4,24,1.5,1.5,2916442596,505,205,0.9427083333333334,0.14166666666666639,2.0,0.75,205,7,0.3559322033898305,118,0,17,118,53,4,0,0,205,7,0.3559322033898305,118,0,17,118,53,4,0,0,205,7,0.3559322033898305,118,0,17,118,53,4,0,0
192,48,4,25,1.5,1.5,2657324288,505,205,0.953125,0.18576388888888906,2.0,0.75,205,10,0.45614035087719296,114,0,24,114,48,6,0,0,205,10,0.45614035087719296,114,0,24,114,48,6,0,0,205,10,0.45614035087719296,114,0,24,114,48,6,0,0
192,48,4,26,1.5,1.5,3101139874,505,205,0.9322916666666666,0.15954861111111152,2.0,0.75,205,6,0.3389830508474576,118,0,13,118,57,4,0,0,205,6,0.3389830508474576,118,0,13,118,57,4,0,0,205,6,0.3389830508474576,118,0,13,118,57,4,0,0
192,48,4,27,1.5,1.5,2807198053,505,,0.9427083333333334,-0.04982638888888902,2.0,0.75,205,9,0.5436893203883495,103,0,26,103,56,7,0,0,205,9,0.5436893203883495,103,0,26,103,56,7,0,0,205,9,0.5436893203883495,103,0,26,103,56,7,0,0
192,48,4,28,1.5,1.5,3477151428,505,205,0.9427083333333334,-0.026388888888889017,2.0,0.75,205,9,0.3050847457627119,118,0,16,118,56,2,0,0,205,9,0.3050847457627119,118,0,16,118,56,2,0,0,205,9,0.3050847457627119,118,0,16,118,56,2,0,0
192,48,4,29,1.5,1.5,2718479078,505,205,0.9583333333333334,0.18645833333333361,2.0,0.75,205,11,0.38524590163934425,122,0,21,122,45,4,0,0,205,11,0.38524590163934425,122,0,21,122,45,4,0,0,205,11,0.38524590163934425,122,0,21,122,45,4,0,0
