N,k,replica,seed_columns,planted_cost,f_final,phi_final,bath_T,drift,acceptance,d0,d1,d2,d3,d4,d5,d6,pieces_d1,sizes_d1,h_final
384,2,0,0 48,24.0,0.96875,1.0078125,0.4505208333333333,0.0,5.737847222222222e-05,0,16,364,4,0,0,0,5,4 4 4 2 2,62.0
384,2,1,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,5.4774305555555556e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,2,0 48,24.0,0.989583333333333,1.0026041666666667,0.5130208333333334,0.0,4.9956597222222225e-05,0,4,380,0,0,0,0,1,4,14.0
384,2,3,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,3.90625e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,4,0 48,24.0,0.96875,1.0078125,0.4635416666666667,0.0,4.1666666666666665e-05,0,16,364,4,0,0,0,4,8 4 2 2,52.0
384,2,5,0 48,24.0,0.989583333333333,1.0026041666666667,0.4869791666666667,0.0,8.871527777777778e-05,0,4,380,0,0,0,0,1,4,34.0
384,2,6,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,5.772569444444445e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,7,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,3.871527777777778e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,8,0 48,24.0,0.989583333333333,1.0026041666666667,0.5130208333333334,0.0,5.0824652777777775e-05,0,4,380,0,0,0,0,1,4,14.0
384,2,9,0 48,24.0,0.979166666666667,1.0052083333333333,0.46875,0.0,8.168402777777777e-05,0,12,368,4,0,0,0,4,4 4 2 2,48.0
384,2,10,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,4.357638888888889e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,11,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,4.470486111111111e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,12,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,3.9670138888888886e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,13,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,5.1649305555555555e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,14,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,7.013888888888888e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,15,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,4.53125e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,16,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,5.208333333333334e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,17,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,5.607638888888889e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,18,0 48,24.0,0.979166666666667,1.0052083333333333,0.4947916666666667,0.0,5.069444444444444e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,2,19,0 48,24.0,0.989583333333333,1.0026041666666667,0.5130208333333334,0.0,4.0321180555555556e-05,0,4,380,0,0,0,0,1,4,14.0
