links,label,N,zero_modes,log_det_prime,per_point
4,flat 8x8,64,1,77.73544482085613,1.214616325325877
4,one curled 16x4,64,1,75.89178492787369,1.1858091394980264
4,gas of four 4-cubes,64,4,81.34733723020474,1.2710521442219491
6,flat 8x8x8,512,1,859.4549660883642,1.6786229806413364
6,one curled 4x8x16,512,1,856.7592865842155,1.6733579816097959
6,two curled 4x4x32,512,1,851.4272982720693,1.6629439419376353
6,gas of eight 6-cubes,512,8,866.2442257413514,1.691883253401077
