N,C,replica,sweep,phi,surplus,bath_T,bath_total,f,final,drift,acceptance,f_final,d0,d1,d2,d3,d4,d5,d6,pieces_d1,largest_d1,pieces_d2,largest_d2
64,16,0,3800,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,3900,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4000,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4100,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4200,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4300,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4400,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4500,1.0,0.1875,1.0,16.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4600,1.015625,0.21875,1.375,22.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4700,1.046875,0.3125,1.5,24.0,0.8125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4800,1.03125,0.25,1.75,28.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,4900,1.015625,0.15625,2.625,42.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5000,1.03125,0.1875,3.0,48.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5100,1.015625,0.15625,2.625,42.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5200,1.0,0.0625,3.5,56.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5300,1.015625,0.15625,2.625,42.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5400,1.03125,0.1875,3.0,48.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5500,1.03125,0.1875,3.0,48.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5600,1.015625,0.1875,2.0,32.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5700,1.046875,0.28125,2.125,34.0,0.8125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5800,1.03125,0.21875,2.375,38.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,5900,1.03125,0.21875,2.375,38.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6000,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6100,1.03125,0.1875,3.0,48.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6200,1.03125,0.21875,2.375,38.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6300,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6400,1.015625,0.171875,2.3125,37.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6500,1.046875,0.28125,2.125,34.0,0.8125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6600,1.03125,0.234375,2.0625,33.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6700,1.015625,0.15625,2.625,42.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6800,0.984375,0.09375,1.875,30.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,6900,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7000,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7100,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7200,0.984375,0.09375,1.875,30.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7300,0.984375,0.09375,1.875,30.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7400,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7500,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7600,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7700,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7800,1.015625,0.09375,3.875,62.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,7900,1.015625,0.09375,3.875,62.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8000,1.03125,0.1875,3.0,48.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8100,1.015625,0.15625,2.625,42.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8200,1.015625,0.15625,2.625,42.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8300,1.015625,0.15625,2.625,42.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8400,1.0,0.15625,1.625,26.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8500,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8600,1.03125,0.1875,3.0,48.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8700,1.03125,0.21875,2.375,38.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8800,1.0625,0.34375,1.875,30.0,0.75,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,8900,1.046875,0.3125,1.5,24.0,0.8125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9000,1.03125,0.1875,3.0,48.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9100,1.03125,0.1875,3.0,48.0,0.875,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9200,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9300,0.984375,0.09375,1.875,30.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9400,0.984375,0.078125,2.1875,35.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9500,0.984375,0.09375,1.875,30.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9600,0.96875,0.09375,0.875,14.0,1.125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9700,0.984375,0.140625,0.9375,15.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9800,0.96875,0.078125,1.1875,19.0,1.125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,9900,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10000,0.96875,0.0625,1.5,24.0,1.125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10100,1.0,0.15625,1.625,26.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10200,0.96875,0.078125,1.1875,19.0,1.125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10300,1.015625,0.171875,2.3125,37.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10400,1.015625,0.171875,2.3125,37.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10500,1.015625,0.171875,2.3125,37.0,0.9375,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10600,0.96875,0.0625,1.5,24.0,1.125,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10700,1.0,0.15625,1.625,26.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10800,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,10900,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11000,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11100,0.984375,0.09375,1.875,30.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11200,0.984375,0.09375,1.875,30.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11300,0.984375,0.09375,1.875,30.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11400,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11500,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11600,1.0,0.125,2.25,36.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11700,1.0,0.15625,1.625,26.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11800,0.984375,0.125,1.25,20.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,11900,0.984375,0.125,1.25,20.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
