N,protocol,points,E,achieved,radius,leak,local_heat,replica,block,sweep,h,folded,flat,melted,d0,d1,d2,d3,d4,d5,d6,pieces_folded,largest_folded,pieces_damage,largest_damage,stores_total,stores_max,lost,drift,symmetries,final
64,patch,named,32.0,32.0,2,0.0,False,1,19,1900,10.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,22.0,22.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,20,2000,10.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,22.0,22.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,21,2100,10.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,22.0,22.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,22,2200,10.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,22.0,22.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,23,2300,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,24,2400,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,25,2500,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,26,2600,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,27,2700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,28,2800,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,29,2900,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,30,3000,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
