N,D,replica,leg,g,ln_g,squares_per_vertex,spv_err,phi,acceptance,tau_int,surplus,lam
500,3,0,cool,40.0,3.6888794541139363,1.55872,0.012243307239467609,0.12989333333333333,0.748,0.04179806041886658,0.0,1.0
500,3,0,cool,37.7624,3.631313898579526,1.5764799999999999,0.01492336142295026,0.13137333333333334,0.73677,0.47616480186644283,0.0,1.0
500,3,0,cool,35.65,3.573749146860305,1.6,0.014515164726588535,0.13333333333333333,0.72566,0.33479656139730396,0.0,1.0
500,3,0,cool,33.6558,3.516185403793739,1.62464,0.012972466374595093,0.13538666666666668,0.71559,0.3766982123786049,0.0,1.0
500,3,0,cool,31.7731,3.4586200198510353,1.6952,0.0181768818932181,0.14126666666666668,0.69982,0.5411343698339015,0.0,1.0
500,3,0,cool,29.9958,3.4010573718612407,1.68512,0.013202760220499349,0.14042666666666664,0.68316,0.3377159334476097,0.0,1.0
500,3,0,cool,28.3178,3.3434905821921714,1.7408000000000003,0.021712474880584205,0.14506666666666665,0.6716,0.5305882381584379,0.0,1.0
500,3,0,cool,26.7338,3.2859286824111007,1.7704000000000002,0.015873131592726124,0.14753333333333335,0.65841,0.4891607635235489,0.0,1.0
500,3,0,cool,25.2383,3.2283626819973796,1.83296,0.014832733417681302,0.15274666666666667,0.64023,1.508595467531011,0.0,1.0
500,3,0,cool,23.8265,3.1707984066350265,1.87136,0.018206286716406502,0.15594666666666665,0.62137,0.9211757351693669,0.0,1.0
500,3,0,cool,22.4937,3.1132352700030554,1.9268800000000001,0.01613132649722274,0.16057333333333335,0.60722,0.3750430672098036,0.0,1.0
500,3,0,cool,21.2354,3.0556696004138186,1.99328,0.01825404081950076,0.16610666666666665,0.58085,0.3232300935374493,4e-05,1.0
500,3,0,cool,20.0475,2.9981044576990468,2.0468800000000003,0.014308016768231725,0.17057333333333335,0.56775,0.7396309422081451,0.0,1.0
500,3,0,cool,18.9261,2.9405419218087405,2.1227200000000006,0.01999590228421814,0.17689333333333332,0.5434,0.3910125539511947,0.0,1.0
500,3,0,cool,17.8673,2.882972226541584,2.16528,0.017459535567706255,0.18044000000000002,0.51918,0.7789270232139062,0.0,1.0
500,3,0,cool,16.8679,2.8254124074816325,2.2444800000000003,0.015274830937198579,0.18704,0.49681,0.5698799109124364,8e-05,1.0
500,3,0,cool,15.9243,2.767846244448176,2.3287999999999998,0.01670134319867713,0.1940666666666667,0.46727,0.5180258119092571,0.0,1.0
500,3,0,cool,15.0335,2.7102810442535694,2.40832,0.02115134832581601,0.20069333333333333,0.44897,0.6066744862510536,8e-05,1.0
500,3,0,cool,14.1925,2.6527136560627445,2.49264,0.01988870298033535,0.20772,0.42768,0.834339942908324,0.0,1.0
500,3,0,cool,13.3986,2.5951502238867596,2.5904,0.023762919857626918,0.21586666666666668,0.39808,0.4693209926332964,0.0,1.0
500,3,0,cool,12.6491,2.5375860663974557,2.7376,0.025960371458051183,0.22813333333333333,0.36602,1.0259181554665395,4e-05,1.0
500,3,0,cool,11.9415,2.4800197282146055,2.8385599999999993,0.021269142327794987,0.23654666666666666,0.33366,0.9569640753979671,4e-05,1.0
500,3,0,cool,11.2735,2.4224548388444296,2.9318400000000002,0.014801582245152024,0.24432,0.31043,0.6986100006055069,4e-05,1.0
500,3,0,cool,10.6429,2.3648930031677304,3.1171200000000003,0.024659480283250098,0.25976,0.27727,0.9286360717923148,4e-05,1.0
500,3,0,cool,10.0475,2.307323847341219,3.2403200000000005,0.018552484732779054,0.2700266666666667,0.25222,0.7855991255357089,0.00011999999999999999,1.0
500,3,0,cool,9.4855,2.249764316810463,3.3974399999999996,0.019998836362148654,0.28312,0.22535,2.233712108735757,0.00016,1.0
500,3,0,cool,8.9549,2.192200868504484,3.592,0.021432198864325597,0.29933333333333334,0.18656,2.1099964119997967,8e-05,1.0
500,3,0,cool,8.454,2.1346397021445984,3.7294400000000003,0.02373053101470758,0.31078666666666666,0.16866,2.1724065906879604,4e-05,1.0
500,3,0,cool,7.981,2.0770637168938717,3.94896,0.014759779353364293,0.32908,0.14366,0.8150686070336395,0.0004,1.0
500,3,0,cool,7.5346,2.0195057450688374,4.246560000000001,0.020501880885421247,0.35388000000000003,0.11799,4.267504926577626,0.00035999999999999997,1.0
500,3,0,cool,7.1131,1.961938154418195,4.49104,0.016185340582144016,0.3742533333333333,0.09554,3.135454822662031,0.0008,1.0
500,3,0,cool,6.7152,1.9043736135971894,4.639359999999999,0.024090028725595174,0.3866133333333333,0.07494,2.4591318101739144,0.0005200000000000001,1.0
500,3,0,cool,6.3396,1.8468156749761333,4.883839999999999,0.020483070457331398,0.40698666666666666,0.06117,4.730397868036851,0.00088,1.0
500,3,0,cool,5.9849,1.789239630432588,5.252959999999999,0.015510154175893904,0.4377466666666667,0.04504,2.4160307642169268,0.00092,1.0
500,3,0,cool,5.6502,1.7316909427619356,5.64304,0.007360743049448173,0.47025333333333336,0.03153,3.7955179227960967,0.0035600000000000002,1.0
500,3,0,cool,5.3341,1.6741201732406303,6.038239999999999,0.011195171101863502,0.5031866666666667,0.01992,2.840806841331394,0.00404,1.0
500,3,0,cool,5.0357,1.6165525433195078,6.15168,0.008088673404211624,0.51264,0.0152,4.165855216675141,0.00344,1.0
