N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g
100,0,10,0.75,0.14,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,20,0.81,0.24,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,30,0.87,0.28,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,40,0.88,0.29,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,50,0.92,0.36,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,60,0.94,0.34,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,70,0.97,0.44,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,80,0.98,0.5,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,90,0.98,0.5,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,100,1.03,0.56,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,110,1.04,0.57,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,120,1.05,0.65,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,130,1.05,0.63,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,140,1.05,0.62,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,150,1.06,0.66,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,160,1.07,0.67,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,170,1.08,0.67,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,180,1.08,0.66,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,0,190,1.12,0.79,2,0.86,0.14,0.0,10,10,0.0,none,0.0
100,0,200,1.12,0.79,2,0.86,0.14,0.0,10,10,0.0,none,0.0
100,0,210,1.14,0.85,2,0.86,0.14,0.0,10,10,0.0,none,0.0
100,0,220,1.17,0.93,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,230,1.17,0.89,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,240,1.18,0.91,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,250,1.18,0.92,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,260,1.19,0.94,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,270,1.22,1.02,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,280,1.22,1.02,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,290,1.22,1.02,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,300,1.23,1.04,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,310,1.23,1.04,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,320,1.23,1.04,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,330,1.23,1.04,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,340,1.23,1.06,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,350,1.23,1.06,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,360,1.24,1.12,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,370,1.24,1.12,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,380,1.25,1.14,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,390,1.25,1.14,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,400,1.25,1.14,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,410,1.25,1.14,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,420,1.26,1.16,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,430,1.28,1.2,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,440,1.28,1.2,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,450,1.28,1.2,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,460,1.28,1.2,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,470,1.28,1.2,3,0.66,0.14,0.0,10,10,0.0,none,0.0
100,0,480,1.31,1.3,4,0.5,0.3,0.16,10,10,0.0,none,0.0
100,0,490,1.31,1.3,4,0.5,0.3,0.16,10,10,0.0,none,0.0
100,0,500,1.31,1.3,4,0.5,0.3,0.16,10,10,0.0,none,0.0
100,0,510,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,520,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,530,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,540,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,550,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,560,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,570,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,580,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,590,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,600,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,610,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,620,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,630,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,640,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,650,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,660,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,670,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,680,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,690,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,700,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,710,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,720,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,730,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,740,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,750,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,760,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,770,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,780,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,790,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,800,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,810,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,820,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,830,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,840,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,850,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,860,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,870,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,880,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,890,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,900,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,910,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,920,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,930,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,940,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,950,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,960,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,970,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,980,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,990,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,0,1000,1.36,1.44,5,0.36,0.44,0.16,10,10,0.0,none,0.0
100,1,10,0.73,0.18,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,20,0.85,0.24,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,30,0.89,0.28,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,40,0.9,0.35,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,50,0.93,0.39,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,60,0.97,0.5,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,70,0.99,0.52,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,80,1.03,0.59,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,90,1.09,0.76,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,100,1.09,0.79,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,110,1.13,0.88,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,120,1.13,0.86,1,1.0,0.0,0.0,10,10,0.0,none,0.0
100,1,130,1.14,0.89,2,0.68,0.0,0.0,10,10,0.0,none,0.0
100,1,140,1.21,1.1,2,0.84,0.16,0.16,10,10,0.0,none,0.0
100,1,150,1.21,1.1,2,0.84,0.16,0.16,10,10,0.0,none,0.0
100,1,160,1.25,1.21,3,0.68,0.32,0.32,10,10,0.0,none,0.0
100,1,170,1.27,1.23,3,0.68,0.32,0.32,10,10,0.0,none,0.0
