N,k,replica,seed_columns,planted_cost,f_final,phi_final,bath_T,drift,acceptance,d0,d1,d2,d3,d4,d5,d6,pieces_d1,sizes_d1,h_final
384,8,0,0 12 24 36 48 60 72 84,96.0,0.96875,1.0078125,0.51171875,0.0,4.279513888888889e-05,0,17,362,5,0,0,0,6,4 4 3 2 2 2,87.0
384,8,1,0 12 24 36 48 60 72 84,96.0,0.96875,1.0078125,0.5703125,0.0,3.4505208333333335e-05,0,12,372,0,0,0,0,3,4 4 4,42.0
384,8,2,0 12 24 36 48 60 72 84,96.0,0.958333333333333,1.0104166666666667,0.5520833333333334,0.0,4.192708333333333e-05,0,16,368,0,0,0,0,4,4 4 4 4,56.0
384,8,3,0 12 24 36 48 60 72 84,96.0,0.958333333333333,1.0104166666666667,0.5520833333333334,0.0,4.088541666666667e-05,0,16,368,0,0,0,0,4,4 4 4 4,56.0
384,8,4,0 12 24 36 48 60 72 84,96.0,0.958333333333333,1.0104166666666667,0.5520833333333334,0.0,3.0729166666666664e-05,0,16,368,0,0,0,0,4,4 4 4 4,56.0
384,8,5,0 12 24 36 48 60 72 84,96.0,0.979166666666667,1.0052083333333333,0.5364583333333334,0.0,2.7256944444444446e-05,0,8,376,0,0,0,0,2,4 4,68.0
384,8,6,0 12 24 36 48 60 72 84,96.0,0.958333333333333,1.0104166666666667,0.5520833333333334,0.0,3.0164930555555556e-05,0,16,368,0,0,0,0,4,4 4 4 4,56.0
384,8,7,0 12 24 36 48 60 72 84,96.0,0.989583333333333,1.0026041666666667,0.5807291666666666,0.0,2.9210069444444444e-05,0,6,376,2,0,0,0,2,4 2,34.0
384,8,8,0 12 24 36 48 60 72 84,96.0,0.979166666666667,1.0052083333333333,0.4973958333333333,0.0,6.184895833333334e-05,0,12,368,4,0,0,0,3,4 4 4,98.0
384,8,9,0 12 24 36 48 60 72 84,96.0,0.989583333333333,1.0026041666666667,0.5416666666666666,0.0,4.874131944444445e-05,0,10,368,6,0,0,0,4,4 2 2 2,64.0
384,8,10,0 12 24 36 48 60 72 84,96.0,0.989583333333333,1.0026041666666667,0.5546875,0.0,3.8368055555555554e-05,0,8,372,4,0,0,0,3,4 2 2,54.0
384,8,11,0 12 24 36 48 60 72 84,96.0,0.979166666666667,1.0052083333333333,0.5494791666666666,0.0,3.758680555555556e-05,0,8,376,0,0,0,0,3,4 2 2,58.0
384,8,12,0 12 24 36 48 60 72 84,96.0,1.0,1.0,0.4947916666666667,0.0,2.8559027777777778e-05,0,4,376,4,0,0,0,1,4,100.0
384,8,13,0 12 24 36 48 60 72 84,96.0,0.958333333333333,1.0104166666666667,0.5520833333333334,0.0,3.658854166666667e-05,0,16,368,0,0,0,0,4,4 4 4 4,56.0
384,8,14,0 12 24 36 48 60 72 84,96.0,0.979166666666667,1.0052083333333333,0.5885416666666666,0.0,2.7821180555555557e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,8,15,0 12 24 36 48 60 72 84,96.0,0.989583333333333,1.0026041666666667,0.5026041666666666,0.0,6.119791666666666e-05,0,12,364,8,0,0,0,4,4 4 2 2,94.0
384,8,16,0 12 24 36 48 60 72 84,96.0,0.989583333333333,1.0026041666666667,0.5546875,0.0,3.090277777777778e-05,0,8,372,4,0,0,0,3,4 2 2,54.0
384,8,17,0 12 24 36 48 60 72 84,96.0,0.958333333333333,1.0104166666666667,0.5520833333333334,0.0,3.246527777777778e-05,0,16,368,0,0,0,0,4,4 4 4 4,56.0
384,8,18,0 12 24 36 48 60 72 84,96.0,0.989583333333333,1.0026041666666667,0.5416666666666666,0.0,3.146701388888889e-05,0,10,368,6,0,0,0,4,4 2 2 2,64.0
384,8,19,0 12 24 36 48 60 72 84,96.0,0.979166666666667,1.0052083333333333,0.5169270833333334,0.0,3.8368055555555554e-05,0,12,368,4,0,0,0,4,4 4 2 2,83.0
