N,lx,ly,replica,k,g,lam,cap,phi,surplus,e_mean,e_var,c_per_point,m2,m4,binder,levels_seen,sweeps,tau_int,acceptance,swap_rate,round_trips,pieces,largest_frac,baby_frac,cube_frac
100,10,10,0,0,8.0,1.25,none,0.5177816666666666,0.023604,7.833513333333332,4078.359976,0.63724374625,617717.6714111111,391665104240.98096,0.6578523405598302,297,180000,1.6350647799586324,0.18912395454545486,0.42768181818181816,62,1.0,1.0,0.0,0.0
100,10,10,0,1,7.0,1.25,none,0.5638076666666667,0.03103144444444444,7.134234555555555,3789.644118725802,0.773396758923633,512762.6710555556,270715877747.9335,0.6567902070660999,332,180000,2.1867673021415266,0.14062643181818268,0.4259090909090909,62,1.0,1.0,0.0,0.0
100,10,10,0,2,6.2,1.25,none,0.6086776111111111,0.039573944444444446,6.459027944444444,3472.649745524413,0.9033948349439158,420663.06961666665,182825672068.63617,0.6556126816816092,372,180000,2.98131911232338,0.10202681818181916,0.39695454545454545,62,1.0,1.0,0.0,0.0
100,10,10,0,3,5.5,1.25,none,0.6548477222222222,0.049987055555555555,5.772371722222221,3139.455288225895,1.0378364589176512,336342.20828333334,117371740478.69867,0.6541565559255571,376,180000,4.241896215217928,0.07098879545454552,0.3981363636363636,62,1.0,1.0,0.0,0.0
100,10,10,0,4,4.9,1.25,none,0.6993134444444444,0.06109755555555555,5.116472666666667,2800.813979195556,1.1665197747586653,264583.73946666665,72976272318.97827,0.6525165535264538,382,180000,6.152856779058519,0.04797393181818157,0.39027272727272727,62,1.0,1.0,0.0,0.0
100,10,10,0,5,4.4,1.25,none,0.742435,0.07306733333333333,4.486376666666667,2520.2986034444443,1.3018071298783285,203796.05455555554,43597539120.53122,0.6500957822520002,377,180000,8.948746374996267,0.0316230909090894,0.4309090909090909,62,1.0,1.0,0.0,0.0
100,10,10,0,6,4.0,1.25,none,0.779640611111111,0.08313716666666666,3.9414360555555557,2304.493782999969,1.4403086143749806,157653.67558333333,26307329879.23285,0.6471847773938126,353,180000,12.192277894199234,0.0211633636363628,0.42854545454545456,62,1.0,1.0,0.0,0.0
100,10,10,0,7,3.65,1.25,none,0.8147095,0.09141355555555557,3.4217157777777776,2126.35302773284,1.596061570825926,119207.74166666667,15224268209.901266,0.642886514462071,331,180000,17.10293863577637,0.013919613636362176,0.43863636363636366,62,1.0000944444444444,0.999983,0.0,0.0
100,10,10,0,8,3.35,1.25,none,0.8471207777777778,0.09637744444444443,2.9279547777777775,2000.194703993951,1.7823075999055031,87729.38651111111,8392998750.716578,0.6364989087045786,336,180000,26.57088875300757,0.009104840909089487,0.454,62,1.0001944444444444,0.9999647777777778,0.0,0.0
100,10,10,0,9,3.1,1.25,none,0.8773481666666666,0.09628716666666667,2.443865166666667,2077.5523437552774,2.161865081951381,61802.32187222222,4319141185.176206,0.6230649154686989,335,180000,43.478057839306686,0.005979249999998879,0.46863636363636363,62,1.0011055555555555,0.999767,0.0,0.0
100,10,10,0,10,2.9,1.25,none,0.9060395555555556,0.08823327777777777,1.9445335,2409.047634888611,2.8645037275726644,40221.15296111111,1980982091.1388946,0.5918213704700797,308,180000,206.3206697607493,0.003975159090908733,0.3665,62,1.004888888888889,0.9988297777777778,0.0,0.0
100,10,10,0,11,2.7,1.25,none,0.9389671111111112,0.06876038888888888,1.3203281666666666,2182.0548841774994,2.99321657637517,19614.719561111113,563711177.8476278,0.5116050267794283,272,180000,685.719859647288,0.0024326363636364605,0.44395454545454544,62,1.0274666666666668,0.9935503333333334,0.0,0.0
100,10,10,0,12,2.5,1.25,none,0.9597545,0.049805944444444444,0.8929577222222222,1278.459991014784,2.0455359856236544,9252.194927777779,138942445.98372778,0.45896652434513374,207,180000,1080.5963515426852,0.001608227272727283,0.5414545454545454,62,1.0686833333333334,0.9847405555555555,0.0,0.0
100,10,10,0,13,2.35,1.25,none,0.9726173888888888,0.02591688888888889,0.5677062222222222,723.615008057284,1.310303319252664,3946.5185555555554,30657875.564288888,0.34386605840985207,149,180000,5730.655598616274,0.0009920227272727502,,62,1.0576333333333334,0.9865988888888889,0.0,0.0
100,10,10,1,0,8.0,1.25,none,0.5178272222222222,0.02359322222222222,7.832730555555555,4087.9844962191355,0.6387475775342399,617604.6640555556,391539347365.36743,0.657837016792048,299,180000,1.6442466608611814,0.18882513636363546,0.4299090909090909,79,1.0,1.0,0.0,0.0
100,10,10,1,1,7.0,1.25,none,0.5634341666666667,0.03091961111111111,7.139651388888889,3787.8829347029323,0.7730373336128433,513534.1024833333,271514570165.10208,0.656811041586001,329,180000,2.165682954828257,0.14058231818181832,0.4295909090909091,79,1.0,1.0,0.0,0.0
100,10,10,1,2,6.2,1.25,none,0.6082710555555555,0.03947077777777778,6.4650170000000005,3481.062074887777,0.9055832660998377,421445.5101777778,183494501583.51962,0.6556350535073203,369,180000,2.9918110486743035,0.10234395454545415,0.39604545454545453,79,1.0,1.0,0.0,0.0
100,10,10,1,3,5.5,1.25,none,0.6544431111111111,0.049770555555555554,5.777763,3202.1359916433335,1.0585573526093663,337027.58883333334,117917149307.61249,0.6539611898975253,371,180000,4.422578281445268,0.07109381818181901,0.38445454545454544,79,1.0,1.0,0.0,0.0
100,10,10,1,4,4.9,1.25,none,0.6999915555555556,0.061226777777777776,5.106269,2825.1549297233328,1.176657613379147,263564.98593333334,72461482184.74167,0.6522953255806015,374,180000,6.140396739529214,0.04774790909090888,0.4028181818181818,79,1.0,1.0,0.0,0.0
100,10,10,1,5,4.4,1.25,none,0.7414412777777778,0.07237616666666667,4.4988203888888885,2537.888735176265,1.3108929417232773,204931.73765,44083195837.67298,0.6501085165434213,367,180000,8.457017555877881,0.03172829545454395,0.43668181818181817,79,1.0,1.0,0.0,0.0
100,10,10,1,6,4.0,1.25,none,0.7789968333333332,0.0825378888888889,3.948740111111111,2355.2226156887655,1.4720141348054785,158280.70726666666,26546660185.698265,0.6467902596552557,367,180000,11.937392447928456,0.021235477272726434,0.42936363636363634,79,1.0,1.0,0.0,0.0
