N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
192,48,4,125,1.3,1.5,2664825829,103120,725,1.0,1.0625000000000004,1.2000000000000002,0.8492708333333339,98400,100200,0.75,0.0,1710,4,0.8125,32,0,150,32,10,0,0,0,2280,4,0.42857142857142855,84,0,102,84,6,0,0,0,2580,4,0.4765625,128,0,56,128,8,0,0,0
192,48,4,126,1.3,1.5,2845502970,4070,515,1.0,1.2000000000000004,1.2000000000000002,1.1340972222222225,600,1800,0.75,0.0,720,5,0.7,40,0,148,40,4,0,0,0,895,2,0.7916666666666666,96,0,96,96,0,0,0,0,1095,2,0.6666666666666666,144,0,48,144,0,0,0,0
192,48,4,127,1.3,1.5,4202636252,104125,725,1.0,1.091666666666667,1.2000000000000002,0.6708159722222226,83400,100200,0.75,0.0,1080,4,0.7391304347826086,23,0,157,23,11,1,0,0,2780,5,0.6944444444444444,72,0,108,72,12,0,0,0,3120,6,0.5333333333333333,120,0,60,120,12,0,0,0
192,48,4,128,1.3,1.5,2524707142,3500,520,1.0,1.2000000000000004,1.2000000000000002,1.1818750000000005,0,1800,0.75,0.0,755,1,1.0,48,0,144,48,0,0,0,0,900,2,0.9166666666666666,96,0,96,96,0,0,0,0,1125,2,0.8055555555555556,144,0,48,144,0,0,0,0
192,48,4,129,1.3,1.5,3954184820,102095,205,1.0,1.120590277777778,1.2000000000000002,0.7041319444444449,99000,100200,0.75,0.08333333333333304,645,1,1.0,48,0,144,48,0,0,0,0,795,3,0.7142857142857143,84,0,102,84,6,0,0,0,1130,3,0.6692307692307692,130,0,55,130,7,0,0,0
192,48,4,130,1.3,1.5,4199257803,3395,545,1.0,1.2000000000000004,1.2000000000000002,1.1608333333333338,0,1800,0.75,0.0,900,5,0.8181818181818182,44,0,144,44,4,0,0,0,1150,2,0.8181818181818182,88,0,100,88,4,0,0,0,1450,2,0.7777777777777778,144,0,48,144,0,0,0,0
192,48,4,131,1.3,1.5,4071533094,6395,355,1.0,1.2000000000000004,1.2000000000000002,1.1990972222222227,0,1200,0.75,0.0,490,4,0.85,40,0,148,40,4,0,0,0,980,4,0.75,88,0,100,88,4,0,0,0,1295,2,0.8661971830985915,142,0,49,142,1,0,0,0
192,48,4,132,1.3,1.5,2000051229,14805,685,1.0,1.2000000000000004,1.2000000000000002,1.1167013888888893,9000,10800,0.75,0.0,1010,1,1.0,48,0,144,48,0,0,0,0,1180,2,0.8333333333333334,96,0,94,96,2,0,0,0,1385,1,1.0,144,0,48,144,0,0,0,0
192,48,4,133,1.3,1.5,1783222487,105295,1420,1.0,0.9833333333333336,1.2000000000000002,0.606493055555556,19200,100200,0.75,0.0,2465,4,0.4,40,0,148,40,4,0,0,0,2560,5,0.4090909090909091,88,0,100,88,4,0,0,0,2750,5,0.7727272727272727,132,0,52,132,8,0,0,0
192,48,4,134,1.3,1.5,2331454364,102930,785,1.0,1.0625000000000004,1.2000000000000002,0.47772569444444446,19800,100200,0.75,0.0,1290,5,0.7142857142857143,28,0,154,28,10,0,0,0,2020,2,0.9487179487179487,78,0,105,78,9,0,0,0,2325,3,0.9473684210526315,114,0,62,114,14,2,0,0
