N,lam,g,replica,exits,fallbacks,first_exit_sweeps,end_sweeps,went_through
96,1.05,1.5,0,1,0,1430.4010416666667,1498.4375,True
96,1.05,1.5,1,3,2,20663.947916666668,22012.489583333332,True
96,1.05,1.5,2,1,0,4306.197916666667,4426.125,True
96,1.05,1.5,3,1,0,2721.9427083333335,2757.7760416666665,True
96,1.05,1.5,4,1,0,14131.744791666666,14164.71875,True
96,1.05,1.5,5,1,0,10582.145833333334,10602.958333333334,True
96,1.05,1.5,6,1,0,37792.453125,37887.817708333336,True
96,1.05,1.5,7,1,0,8464.755208333334,8499.302083333334,True
96,1.05,1.5,8,1,0,8555.9375,8617.020833333334,True
96,1.05,1.5,9,1,0,10613.526041666666,10739.869791666666,True
96,1.05,1.5,10,2,1,1426.75,2912.96875,True
96,1.05,1.5,11,1,0,3312.2864583333335,3375.1770833333335,True
96,1.05,1.5,12,3,3,80173.703125,100000.0,False
96,1.05,1.5,13,1,0,2571.78125,2747.0416666666665,True
96,1.05,1.5,14,1,0,7328.807291666667,7392.505208333333,True
96,1.05,1.5,15,6,5,3968.5989583333335,29403.546875,True
96,1.05,1.5,16,1,0,847.4114583333334,880.3697916666666,True
96,1.05,1.5,17,1,0,5225.526041666667,5249.713541666667,True
96,1.05,1.5,18,3,2,5702.046875,17565.838541666668,True
96,1.05,1.5,19,1,0,1190.1041666666667,1212.9479166666667,True
96,1.05,1.5,20,1,0,1267.078125,1324.46875,True
96,1.05,1.5,21,3,2,1501.7864583333333,7393.328125,True
96,1.05,1.5,22,1,0,5457.932291666667,5511.994791666667,True
96,1.05,1.5,23,2,1,3648.28125,4870.46875,True
96,1.05,1.5,24,5,4,268.4270833333333,54610.09375,True
96,1.05,1.5,25,2,1,1671.828125,7825.588541666667,True
96,1.05,1.5,26,1,0,4476.848958333333,4495.208333333333,True
96,1.05,1.5,27,1,0,1375.9947916666667,1451.421875,True
96,1.05,1.5,28,1,0,2779.8385416666665,2819.84375,True
96,1.05,1.5,29,5,4,41483.614583333336,46185.53125,True
96,1.05,1.5,30,1,0,1477.09375,1530.015625,True
96,1.05,1.5,31,1,0,6571.25,6620.572916666667,True
96,1.05,1.5,32,4,3,441.7239583333333,18583.526041666668,True
96,1.05,1.5,33,3,2,18443.494791666668,39582.515625,True
96,1.05,1.5,34,1,0,15368.9375,15400.71875,True
96,1.05,1.5,35,2,1,423.1614583333333,1372.1927083333333,True
96,1.05,1.5,36,2,1,5259.473958333333,15930.859375,True
96,1.05,1.5,37,1,0,21368.671875,21534.052083333332,True
96,1.05,1.5,38,3,2,2199.0052083333335,4412.234375,True
96,1.05,1.5,39,1,0,5599.338541666667,5629.671875,True
