N,lam,class_id,squares,surplus,pieces,in_babies,H,above_ground,way_out,is_dip
18,0.25,8,20,11,1,0,-21.0,27.0,-14.0,False
18,0.25,9,20,10,1,0,-22.0,26.0,-14.0,False
18,0.25,10,20,10,1,0,-22.0,26.0,-14.0,False
18,0.25,11,19,9,1,0,-7.0,41.0,-15.0,False
18,0.25,12,20,10,1,0,-22.0,26.0,-14.0,False
18,0.25,13,19,9,1,0,-7.0,41.0,-28.0,False
18,0.25,14,21,14,1,0,-34.0,14.0,-14.0,False
18,0.25,15,21,13,1,0,-35.0,13.0,-13.0,False
18,0.25,16,19,8,1,0,-8.0,40.0,-14.0,False
18,0.25,17,21,12,1,0,-36.0,12.0,1.0,True
18,0.25,18,20,11,1,0,-21.0,27.0,-27.0,False
18,0.25,19,20,12,1,0,-20.0,28.0,-14.0,False
18,0.25,20,22,16,1,0,-48.0,0.0,13.0,True
18,0.25,21,20,12,1,0,-20.0,28.0,-28.0,False
18,0.25,22,18,8,1,0,8.0,56.0,-28.0,False
18,0.25,23,18,9,1,0,9.0,57.0,-16.0,False
18,0.25,24,18,4,1,0,4.0,52.0,-13.0,False
18,0.25,25,18,0,1,0,0.0,48.0,0.0,False
18,0.5,0,18,0,1,0,0.0,32.0,0.0,False
18,0.5,1,18,0,1,0,0.0,32.0,0.0,False
18,0.5,2,18,4,1,0,8.0,40.0,-8.0,False
18,0.5,3,18,2,1,0,4.0,36.0,-4.0,False
18,0.5,4,18,6,1,0,12.0,44.0,-12.0,False
18,0.5,5,19,8,1,0,0.0,32.0,-12.0,False
18,0.5,6,19,10,1,0,4.0,36.0,-24.0,False
18,0.5,7,19,7,1,0,-2.0,30.0,-22.0,False
18,0.5,8,20,11,1,0,-10.0,22.0,-12.0,False
18,0.5,9,20,10,1,0,-12.0,20.0,-12.0,False
18,0.5,10,20,10,1,0,-12.0,20.0,-12.0,False
18,0.5,11,19,9,1,0,2.0,34.0,-14.0,False
18,0.5,12,20,10,1,0,-12.0,20.0,-12.0,False
18,0.5,13,19,9,1,0,2.0,34.0,-24.0,False
18,0.5,14,21,14,1,0,-20.0,12.0,-12.0,False
18,0.5,15,21,13,1,0,-22.0,10.0,-10.0,False
18,0.5,16,19,8,1,0,0.0,32.0,-12.0,False
18,0.5,17,21,12,1,0,-24.0,8.0,2.0,True
18,0.5,18,20,11,1,0,-10.0,22.0,-22.0,False
18,0.5,19,20,12,1,0,-8.0,24.0,-12.0,False
18,0.5,20,22,16,1,0,-32.0,0.0,10.0,True
18,0.5,21,20,12,1,0,-8.0,24.0,-24.0,False
18,0.5,22,18,8,1,0,16.0,48.0,-24.0,False
18,0.5,23,18,9,1,0,18.0,50.0,-16.0,False
18,0.5,24,18,4,1,0,8.0,40.0,-10.0,False
18,0.5,25,18,0,1,0,0.0,32.0,0.0,False
18,0.75,0,18,0,1,0,0.0,16.0,0.0,False
18,0.75,1,18,0,1,0,0.0,16.0,0.0,False
18,0.75,2,18,4,1,0,12.0,28.0,-12.0,False
18,0.75,3,18,2,1,0,6.0,22.0,-6.0,False
18,0.75,4,18,6,1,0,18.0,34.0,-10.0,False
18,0.75,5,19,8,1,0,8.0,24.0,-10.0,False
18,0.75,6,19,10,1,0,14.0,30.0,-20.0,False
18,0.75,7,19,7,1,0,5.0,21.0,-17.0,False
18,0.75,8,20,11,1,0,1.0,17.0,-10.0,False
18,0.75,9,20,10,1,0,-2.0,14.0,-10.0,False
18,0.75,10,20,10,1,0,-2.0,14.0,-10.0,False
18,0.75,11,19,9,1,0,11.0,27.0,-13.0,False
18,0.75,12,20,10,1,0,-2.0,14.0,-10.0,False
18,0.75,13,19,9,1,0,11.0,27.0,-20.0,False
18,0.75,14,21,14,1,0,-6.0,10.0,-10.0,False
18,0.75,15,21,13,1,0,-9.0,7.0,-7.0,False
18,0.75,16,19,8,1,0,8.0,24.0,-10.0,False
18,0.75,17,21,12,1,0,-12.0,4.0,3.0,True
18,0.75,18,20,11,1,0,1.0,17.0,-17.0,False
18,0.75,19,20,12,1,0,4.0,20.0,-10.0,False
18,0.75,20,22,16,1,0,-16.0,0.0,7.0,True
18,0.75,21,20,12,1,0,4.0,20.0,-20.0,False
18,0.75,22,18,8,1,0,24.0,40.0,-20.0,False
18,0.75,23,18,9,1,0,27.0,43.0,-16.0,False
18,0.75,24,18,4,1,0,12.0,28.0,-12.0,False
18,0.75,25,18,0,1,0,0.0,16.0,0.0,False
18,1.0,0,18,0,1,0,0.0,0.0,0.0,False
18,1.0,1,18,0,1,0,0.0,0.0,0.0,False
18,1.0,2,18,4,1,0,16.0,16.0,-16.0,False
18,1.0,3,18,2,1,0,8.0,8.0,-8.0,False
18,1.0,4,18,6,1,0,24.0,24.0,-8.0,False
18,1.0,5,19,8,1,0,16.0,16.0,-8.0,False
18,1.0,6,19,10,1,0,24.0,24.0,-16.0,False
18,1.0,7,19,7,1,0,12.0,12.0,-12.0,False
18,1.0,8,20,11,1,0,12.0,12.0,-8.0,False
18,1.0,9,20,10,1,0,8.0,8.0,-8.0,False
18,1.0,10,20,10,1,0,8.0,8.0,-8.0,False
18,1.0,11,19,9,1,0,20.0,20.0,-12.0,False
18,1.0,12,20,10,1,0,8.0,8.0,-8.0,False
18,1.0,13,19,9,1,0,20.0,20.0,-16.0,False
18,1.0,14,21,14,1,0,8.0,8.0,-8.0,False
18,1.0,15,21,13,1,0,4.0,4.0,-4.0,False
18,1.0,16,19,8,1,0,16.0,16.0,-8.0,False
18,1.0,17,21,12,1,0,0.0,0.0,4.0,True
18,1.0,18,20,11,1,0,12.0,12.0,-12.0,False
18,1.0,19,20,12,1,0,16.0,16.0,-8.0,False
18,1.0,20,22,16,1,0,0.0,0.0,4.0,True
18,1.0,21,20,12,1,0,16.0,16.0,-16.0,False
18,1.0,22,18,8,1,0,32.0,32.0,-16.0,False
18,1.0,23,18,9,1,0,36.0,36.0,-16.0,False
18,1.0,24,18,4,1,0,16.0,16.0,-16.0,False
18,1.0,25,18,0,1,0,0.0,0.0,0.0,False
18,1.25,0,18,0,1,0,0.0,0.0,0.0,False
18,1.25,1,18,0,1,0,0.0,0.0,0.0,False
18,1.25,2,18,4,1,0,20.0,20.0,-20.0,False
18,1.25,3,18,2,1,0,10.0,10.0,-10.0,False
18,1.25,4,18,6,1,0,30.0,30.0,-10.0,False
18,1.25,5,19,8,1,0,24.0,24.0,-14.0,False
18,1.25,6,19,10,1,0,34.0,34.0,-15.0,False
18,1.25,7,19,7,1,0,19.0,19.0,-7.0,False
18,1.25,8,20,11,1,0,23.0,23.0,-6.0,False
18,1.25,9,20,10,1,0,18.0,18.0,-6.0,False
18,1.25,10,20,10,1,0,18.0,18.0,-6.0,False
18,1.25,11,19,9,1,0,29.0,29.0,-11.0,False
18,1.25,12,20,10,1,0,18.0,18.0,-6.0,False
18,1.25,13,19,9,1,0,29.0,29.0,-12.0,False
18,1.25,14,21,14,1,0,22.0,22.0,-10.0,False
18,1.25,15,21,13,1,0,17.0,17.0,-5.0,False
18,1.25,16,19,8,1,0,24.0,24.0,-6.0,False
18,1.25,17,21,12,1,0,12.0,12.0,5.0,True
18,1.25,18,20,11,1,0,23.0,23.0,-11.0,False
18,1.25,19,20,12,1,0,28.0,28.0,-6.0,False
18,1.25,20,22,16,1,0,16.0,16.0,1.0,True
18,1.25,21,20,12,1,0,28.0,28.0,-12.0,False
18,1.25,22,18,8,1,0,40.0,40.0,-20.0,False
18,1.25,23,18,9,1,0,45.0,45.0,-16.0,False
18,1.25,24,18,4,1,0,20.0,20.0,-20.0,False
18,1.25,25,18,0,1,0,0.0,0.0,0.0,False
18,1.5,0,18,0,1,0,0.0,0.0,0.0,False
18,1.5,1,18,0,1,0,0.0,0.0,0.0,False
18,1.5,2,18,4,1,0,24.0,24.0,-24.0,False
18,1.5,3,18,2,1,0,12.0,12.0,-12.0,False
18,1.5,4,18,6,1,0,36.0,36.0,-12.0,False
18,1.5,5,19,8,1,0,32.0,32.0,-20.0,False
18,1.5,6,19,10,1,0,44.0,44.0,-18.0,False
18,1.5,7,19,7,1,0,26.0,26.0,-2.0,False
18,1.5,8,20,11,1,0,34.0,34.0,-6.0,False
18,1.5,9,20,10,1,0,28.0,28.0,-4.0,False
18,1.5,10,20,10,1,0,28.0,28.0,-4.0,False
18,1.5,11,19,9,1,0,38.0,38.0,-14.0,False
18,1.5,12,20,10,1,0,28.0,28.0,-4.0,False
18,1.5,13,19,9,1,0,38.0,38.0,-12.0,False
18,1.5,14,21,14,1,0,36.0,36.0,-12.0,False
18,1.5,15,21,13,1,0,30.0,30.0,-6.0,False
18,1.5,16,19,8,1,0,32.0,32.0,-8.0,False
18,1.5,17,21,12,1,0,24.0,24.0,2.0,True
18,1.5,18,20,11,1,0,34.0,34.0,-10.0,False
18,1.5,19,20,12,1,0,40.0,40.0,-6.0,False
18,1.5,20,22,16,1,0,32.0,32.0,-2.0,False
18,1.5,21,20,12,1,0,40.0,40.0,-8.0,False
18,1.5,22,18,8,1,0,48.0,48.0,-24.0,False
18,1.5,23,18,9,1,0,54.0,54.0,-16.0,False
18,1.5,24,18,4,1,0,24.0,24.0,-24.0,False
18,1.5,25,18,0,1,0,0.0,0.0,0.0,False
18,2.0,0,18,0,1,0,0.0,0.0,0.0,False
18,2.0,1,18,0,1,0,0.0,0.0,0.0,False
18,2.0,2,18,4,1,0,32.0,32.0,-32.0,False
18,2.0,3,18,2,1,0,16.0,16.0,-16.0,False
18,2.0,4,18,6,1,0,48.0,48.0,-16.0,False
18,2.0,5,19,8,1,0,48.0,48.0,-32.0,False
18,2.0,6,19,10,1,0,64.0,64.0,-24.0,False
18,2.0,7,19,7,1,0,40.0,40.0,-8.0,False
18,2.0,8,20,11,1,0,56.0,56.0,-8.0,False
18,2.0,9,20,10,1,0,48.0,48.0,-8.0,False
18,2.0,10,20,10,1,0,48.0,48.0,-8.0,False
18,2.0,11,19,9,1,0,56.0,56.0,-24.0,False
18,2.0,12,20,10,1,0,48.0,48.0,-8.0,False
18,2.0,13,19,9,1,0,56.0,56.0,-16.0,False
18,2.0,14,21,14,1,0,64.0,64.0,-16.0,False
18,2.0,15,21,13,1,0,56.0,56.0,-8.0,False
18,2.0,16,19,8,1,0,48.0,48.0,-16.0,False
18,2.0,17,21,12,1,0,48.0,48.0,-8.0,False
18,2.0,18,20,11,1,0,56.0,56.0,-8.0,False
18,2.0,19,20,12,1,0,64.0,64.0,-8.0,False
18,2.0,20,22,16,1,0,64.0,64.0,-8.0,False
18,2.0,21,20,12,1,0,64.0,64.0,-16.0,False
18,2.0,22,18,8,1,0,64.0,64.0,-32.0,False
18,2.0,23,18,9,1,0,72.0,72.0,-16.0,False
18,2.0,24,18,4,1,0,32.0,32.0,-32.0,False
18,2.0,25,18,0,1,0,0.0,0.0,0.0,False
18,3.0,0,18,0,1,0,0.0,0.0,0.0,False
18,3.0,1,18,0,1,0,0.0,0.0,0.0,False
18,3.0,2,18,4,1,0,48.0,48.0,-48.0,False
18,3.0,3,18,2,1,0,24.0,24.0,-24.0,False
18,3.0,4,18,6,1,0,72.0,72.0,-24.0,False
18,3.0,5,19,8,1,0,80.0,80.0,-56.0,False
18,3.0,6,19,10,1,0,104.0,104.0,-36.0,False
18,3.0,7,19,7,1,0,68.0,68.0,-20.0,False
18,3.0,8,20,11,1,0,100.0,100.0,-20.0,False
18,3.0,9,20,10,1,0,88.0,88.0,-20.0,False
18,3.0,10,20,10,1,0,88.0,88.0,-20.0,False
18,3.0,11,19,9,1,0,92.0,92.0,-44.0,False
18,3.0,12,20,10,1,0,88.0,88.0,-20.0,False
18,3.0,13,19,9,1,0,92.0,92.0,-24.0,False
18,3.0,14,21,14,1,0,120.0,120.0,-32.0,False
18,3.0,15,21,13,1,0,108.0,108.0,-20.0,False
18,3.0,16,19,8,1,0,80.0,80.0,-32.0,False
18,3.0,17,21,12,1,0,96.0,96.0,-28.0,False
18,3.0,18,20,11,1,0,100.0,100.0,-20.0,False
18,3.0,19,20,12,1,0,112.0,112.0,-20.0,False
18,3.0,20,22,16,1,0,128.0,128.0,-28.0,False
18,3.0,21,20,12,1,0,112.0,112.0,-32.0,False
18,3.0,22,18,8,1,0,96.0,96.0,-48.0,False
18,3.0,23,18,9,1,0,108.0,108.0,-16.0,False
18,3.0,24,18,4,1,0,48.0,48.0,-48.0,False
18,3.0,25,18,0,1,0,0.0,0.0,0.0,False
