N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,0,1.25,1.5,3359377726,4695,355,1.0,1.0,1.0,0.76953125,1800,3000,0.75,1160,1,1.0,16,0,46,16,2,0,0,0,1205,1,1.0,32,0,32,32,0,0,0,0,1255,1,1.0,56,0,6,56,2,0,0,0
64,16,4,1,1.25,1.5,4240065760,37215,835,1.0,0.28125,1.0,0.34062499999999996,21000,30000,0.75,845,1,1.0,16,0,48,16,0,0,0,0,860,1,1.0,32,0,32,32,0,0,0,0,885,4,0.868421052631579,38,0,21,38,5,0,0,0
64,16,4,2,1.25,1.5,898232796,3580,840,1.0,1.0,1.0,0.9947916666666666,0,1800,0.75,855,2,0.5,16,0,48,16,0,0,0,0,980,1,1.0,36,0,28,36,0,0,0,0,1085,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3,1.25,1.5,148860740,3335,210,1.0,1.0,1.0,0.775,1800,3000,0.75,220,1,1.0,20,0,44,20,0,0,0,0,250,1,1.0,36,0,28,36,0,0,0,0,270,1,1.0,48,0,16,48,0,0,0,0
64,16,4,4,1.25,1.5,2213304699,4380,2440,1.0,1.0,1.0,0.8544270833333334,600,1800,0.75,2445,1,1.0,16,0,48,16,0,0,0,0,2465,1,1.0,36,0,28,36,0,0,0,0,2555,1,1.0,48,0,16,48,0,0,0,0
64,16,4,5,1.25,1.5,3789467142,4140,240,1.0,1.0,1.0,0.8622395833333334,600,1800,0.75,2155,1,1.0,16,0,48,16,0,0,0,0,2180,1,1.0,32,0,32,32,0,0,0,0,2280,1,1.0,48,0,16,48,0,0,0,0
64,16,4,6,1.25,1.5,165094119,5540,310,1.0,1.0,1.0,0.9973958333333334,0,1200,0.75,4285,1,1.0,24,0,40,24,0,0,0,0,4290,1,1.0,32,0,32,32,0,0,0,0,4310,1,1.0,48,0,16,48,0,0,0,0
64,16,4,7,1.25,1.5,1085914376,2040,210,1.0,1.0,1.0,0.984375,0,1800,0.75,205,1,1.0,48,0,16,48,0,0,0,0,205,1,1.0,48,0,16,48,0,0,0,0,205,1,1.0,48,0,16,48,0,0,0,0
64,16,4,8,1.25,1.5,39697570,4280,1760,1.0,1.0,1.0,0.9619791666666667,0,1800,0.75,1790,1,1.0,16,0,48,16,0,0,0,0,1820,1,1.0,36,0,28,36,0,0,0,0,1845,1,1.0,48,0,16,48,0,0,0,0
64,16,4,9,1.25,1.5,263075301,4105,415,1.0,1.0,1.0,0.7572916666666667,2400,3600,0.75,415,1,1.0,16,0,48,16,0,0,0,0,430,1,1.0,32,0,32,32,0,0,0,0,455,1,1.0,48,0,16,48,0,0,0,0
64,16,4,10,1.25,1.5,3259797569,2955,435,1.0,1.0,1.0,0.9541666666666667,0,1800,0.75,455,1,1.0,16,0,48,16,0,0,0,0,1000,1,1.0,32,0,32,32,0,0,0,0,1030,1,1.0,48,0,16,48,0,0,0,0
64,16,4,11,1.25,1.5,3186958427,5810,900,1.0,1.0,1.0,0.7796875,3600,4800,0.75,905,1,1.0,16,0,48,16,0,0,0,0,945,1,1.0,32,0,32,32,0,0,0,0,980,1,1.0,48,0,16,48,0,0,0,0
64,16,4,12,1.25,1.5,4272841110,3805,315,1.0,1.0,1.0,0.7963541666666667,600,1800,0.75,325,1,1.0,16,0,48,16,0,0,0,0,355,1,1.0,36,0,28,36,0,0,0,0,380,1,1.0,48,0,16,48,0,0,0,0
64,16,4,13,1.25,1.5,3262484816,3675,475,1.0,1.0,1.0,0.7796875,1200,3000,0.75,485,1,1.0,16,0,48,16,0,0,0,0,540,1,1.0,32,0,32,32,0,0,0,0,575,1,1.0,48,0,16,48,0,0,0,0
64,16,4,14,1.25,1.5,944671576,5505,510,1.0,1.0,1.0,1.0,0,1200,0.75,4135,1,1.0,20,0,44,20,0,0,0,0,4195,1,1.0,32,0,32,32,0,0,0,0,4255,1,1.0,48,0,16,48,0,0,0,0
64,16,4,15,1.25,1.5,1403635444,3840,205,1.0,1.0,1.0,0.78046875,2400,3600,0.75,205,1,1.0,52,0,12,52,0,0,0,0,205,1,1.0,52,0,12,52,0,0,0,0,205,1,1.0,52,0,12,52,0,0,0,0
64,16,4,16,1.25,1.5,3947149838,3565,1610,1.0,1.0,1.0,0.9020833333333333,600,1800,0.75,1620,1,1.0,16,0,48,16,0,0,0,0,1700,1,1.0,36,0,28,36,0,0,0,0,1715,1,1.0,48,0,16,48,0,0,0,0
