N,points,protocol,budget_per_point,replica,folded,flat,melted,folded_share,phi_end,h_end_per_point,drift,symmetries_end,d0,d1,d2,d3,d4,d5,d6
64,interchangeable,single,0.5,0,0,56,8,0.0,0.96875,0.5,0.0,8,0,0,56,8,0,0,0
64,interchangeable,single,0.5,1,0,56,8,0.0,0.96875,0.5,0.0,2,0,0,56,8,0,0,0
64,interchangeable,single,0.5,2,1,58,5,0.16666666666666666,0.984375,0.40625,0.0,1,0,1,58,5,0,0,0
64,interchangeable,single,0.5,3,0,56,8,0.0,0.96875,0.5,0.0,2,0,0,56,8,0,0,0
64,interchangeable,single,0.5,4,1,58,5,0.16666666666666666,0.984375,0.484375,0.0,1,0,1,58,5,0,0,0
64,interchangeable,single,0.5,5,2,56,6,0.25,0.984375,0.484375,0.0,1,0,2,56,6,0,0,0
64,interchangeable,single,1.0,0,0,50,14,0.0,0.9375,1.0,0.0,1,0,0,50,12,2,0,0
64,interchangeable,single,1.0,1,0,54,10,0.0,0.953125,0.984375,0.0,1,0,0,54,8,2,0,0
64,interchangeable,single,1.0,2,0,52,12,0.0,0.953125,0.984375,0.0,1,0,0,52,12,0,0,0
64,interchangeable,single,1.0,3,0,49,15,0.0,0.9375,1.0,0.0,1,0,0,49,14,1,0,0
64,interchangeable,single,1.0,4,0,52,12,0.0,0.953125,0.984375,0.0,1,0,0,52,12,0,0,0
64,interchangeable,single,1.0,5,1,51,12,0.07692307692307693,0.953125,0.984375,0.0,1,0,1,51,11,1,0,0
64,interchangeable,single,2.0,0,5,39,20,0.2,0.9375,1.9375,0.0,1,0,5,39,19,1,0,0
64,interchangeable,single,2.0,1,1,40,23,0.041666666666666664,0.90625,1.96875,0.0,1,0,1,40,21,2,0,0
64,interchangeable,single,2.0,2,10,39,15,0.4,0.96875,1.984375,0.0,1,1,9,39,11,4,0,0
64,interchangeable,single,2.0,3,6,38,20,0.23076923076923078,0.9375,1.9375,0.0,1,1,5,38,17,3,0,0
64,interchangeable,single,2.0,4,1,44,19,0.05,0.921875,1.875,0.0,1,0,1,44,17,2,0,0
64,interchangeable,single,2.0,5,0,38,26,0.0,0.890625,1.984375,0.0,1,0,0,38,24,2,0,0
64,interchangeable,single,4.0,0,3,23,38,0.07317073170731707,0.796875,3.953125,0.0,1,0,3,23,25,9,4,0
64,interchangeable,single,4.0,1,1,17,46,0.02127659574468085,0.765625,3.984375,0.0,1,0,1,17,32,13,1,0
64,interchangeable,single,4.0,2,0,17,47,0.0,0.78125,3.890625,0.0,1,0,0,17,38,9,0,0
64,interchangeable,single,4.0,3,1,18,45,0.021739130434782608,0.78125,3.96875,0.0,1,0,1,18,35,8,2,0
64,interchangeable,single,4.0,4,3,14,47,0.06,0.78125,3.96875,0.0,1,0,3,14,35,12,0,0
64,interchangeable,single,4.0,5,1,22,41,0.023809523809523808,0.796875,3.953125,0.0,1,0,1,22,30,10,1,0
64,interchangeable,bath,2.0,0,3,54,7,0.3,0.984375,0.796875,0.0,1,0,3,54,7,0,0,0
64,interchangeable,bath,2.0,1,0,60,4,0.0,0.984375,0.71875,0.0,2,0,0,60,4,0,0,0
64,interchangeable,bath,2.0,2,0,60,4,0.0,0.984375,0.40625,0.0,1,0,0,60,4,0,0,0
64,interchangeable,bath,2.0,3,2,56,6,0.25,0.984375,0.640625,0.0,1,0,2,56,6,0,0,0
64,interchangeable,bath,2.0,4,1,54,9,0.1,0.96875,0.890625,0.0,1,0,1,54,9,0,0,0
64,interchangeable,bath,2.0,5,4,60,0,1.0,1.015625,0.375,0.0,2,0,4,60,0,0,0,0
64,interchangeable,bath,4.0,0,2,52,10,0.16666666666666666,0.96875,0.96875,0.0,1,0,2,52,10,0,0,0
