N,lam,g,replica,exits,fallbacks,first_exit_sweeps,end_sweeps,went_through
96,1.1,1.5,0,2,1,3606.6458333333335,13725.916666666666,True
96,1.1,1.5,1,1,0,3201.703125,3280.2604166666665,True
96,1.1,1.5,2,1,0,219.91145833333334,308.96875,True
96,1.1,1.5,3,1,0,7454.25,7553.697916666667,True
96,1.1,1.5,4,2,1,2813.4270833333335,7064.380208333333,True
96,1.1,1.5,5,1,0,570.5885416666666,629.3854166666666,True
96,1.1,1.5,6,3,2,1284.5572916666667,12928.34375,True
96,1.1,1.5,7,2,1,1642.015625,2056.4114583333335,True
96,1.1,1.5,8,2,1,8222.932291666666,9279.604166666666,True
96,1.1,1.5,9,2,1,28.697916666666668,2984.765625,True
96,1.1,1.5,10,1,0,2685.765625,2732.9270833333335,True
96,1.1,1.5,11,1,0,503.0989583333333,551.625,True
96,1.1,1.5,12,1,0,5025.796875,5092.244791666667,True
96,1.1,1.5,13,1,0,10711.192708333334,10764.442708333334,True
96,1.1,1.5,14,2,1,1586.015625,17354.28125,True
96,1.1,1.5,15,2,1,10447.885416666666,10764.869791666666,True
96,1.1,1.5,16,1,0,2657.3697916666665,2687.25,True
96,1.1,1.5,17,3,2,5367.104166666667,7827.026041666667,True
96,1.1,1.5,18,2,1,73.40104166666667,1345.5104166666667,True
96,1.1,1.5,19,4,3,8952.828125,17522.786458333332,True
96,1.1,1.5,20,1,0,3043.9427083333335,3106.9427083333335,True
96,1.1,1.5,21,4,3,2537.2604166666665,10540.802083333334,True
96,1.1,1.5,22,3,2,3419.8541666666665,15198.572916666666,True
96,1.1,1.5,23,3,2,3236.21875,11107.895833333334,True
96,1.1,1.5,24,1,0,9272.322916666666,9426.197916666666,True
96,1.1,1.5,25,1,0,10169.619791666666,10258.723958333334,True
96,1.1,1.5,26,2,1,9785.135416666666,17806.536458333332,True
96,1.1,1.5,27,1,0,1836.3125,1858.890625,True
96,1.1,1.5,28,1,0,3736.03125,3761.484375,True
96,1.1,1.5,29,3,2,13551.036458333334,20733.473958333332,True
96,1.1,1.5,30,1,0,1619.5520833333333,1721.328125,True
96,1.1,1.5,31,1,0,3029.21875,3058.9635416666665,True
96,1.1,1.5,32,1,0,2259.1145833333335,2376.8333333333335,True
96,1.1,1.5,33,2,1,2500.9583333333335,2782.09375,True
96,1.1,1.5,34,1,0,5157.276041666667,5243.255208333333,True
96,1.1,1.5,35,1,0,1469.8958333333333,1507.40625,True
96,1.1,1.5,36,1,0,9410.416666666666,9462.453125,True
96,1.1,1.5,37,1,0,3161.5052083333335,3261.8802083333335,True
96,1.1,1.5,38,1,0,1575.7916666666667,1621.828125,True
96,1.1,1.5,39,1,0,5231.4375,5251.244791666667,True
