N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly
160,0,cool,177.8,0.128234375,0.025114731849242886,0.1009199609375,0.8766239583333333,0.00031241621644037857,0.0015236201088790716,0.5155598924410474,16,10
160,0,cool,100,0.13642031250000003,0.025642834828219437,0.105208796484375,0.8540645833333333,0.0003612914381510429,0.002442000249208932,0.4390060302379438,16,10
160,0,cool,79.4,0.14028125,0.026079037768627508,0.10881859375,0.8400973958333333,0.0004595082331875973,0.0031801407764920834,0.491708587238257,16,10
160,0,cool,63.1,0.14577812499999998,0.02635114423956529,0.11110124843750001,0.8232286458333333,0.0004978981656811681,0.002475809117987668,0.5264060886479597,16,10
160,0,cool,39.8,0.16312656250000002,0.02723573303233445,0.11868562460937501,0.7729239583333334,0.0004735462978433806,0.002826603929507085,0.54775138816772,16,10
160,0,cool,31.6,0.176071875,0.02791000307209541,0.12463492343750002,0.7369260416666666,0.00044515816597516853,0.002860650297345557,0.5172431162914605,16,10
160,0,cool,25.1,0.1917828125,0.028618027560697534,0.13103864023437498,0.6911276041666666,0.00046924135917890067,0.0023083110786784027,0.5097656788469793,16,10
160,0,cool,15.85,0.24350468749999998,0.030364780583800433,0.14752318398437497,0.5582770833333334,0.00040463738563981295,0.0037165935742169134,0.5443880596280308,16,10
160,0,cool,10,0.3343984375,0.03092959869903898,0.153062412109375,0.361996875,0.0006154599504638788,0.003208854901887296,0.8915730938527352,16,10
160,0,cool,7.94,0.40238750000000006,0.03247690044477767,0.16875985,0.25016041666666666,0.0010391662283750923,0.005127156253856096,1.7171890440492539,16,10
160,0,cool,6.31,0.48238593750000003,0.030507566260209836,0.14891385585937497,0.14880364583333333,0.0010221059180987556,0.004465596377461837,2.7727904728157466,16,10
160,0,cool,6.03,0.49975,0.029365956054588107,0.1379775,0.131425,0.001416109108807255,0.005506870682775064,3.675239143784082,16,10
160,0,cool,5.89,0.5086140625000001,0.02950581042983049,0.139294855859375,0.12159739583333333,0.0011399575352691006,0.007238192293459716,4.27555340414275,16,10
160,0,cool,5.75,0.519375,0.02942548852610607,0.1385375,0.11351354166666666,0.0015891701297713267,0.007579471573716103,5.042524689514361,16,10
160,0,cool,5.62,0.5274953124999999,0.028056060952178295,0.125942808984375,0.10608229166666666,0.0008749963005725409,0.005112907735565149,3.942721272982124,16,10
160,0,cool,5.01,0.5735281249999999,0.02955928877247176,0.1398002484375,0.07292552083333333,0.0023364030670558686,0.009827945467557199,9.939791138653606,16,10
160,0,cool,3.98,0.6761765625,0.028150552238075076,0.126792574609375,0.027655208333333334,0.0040780232587931415,0.016571289250890287,48.90323175989136,16,10
160,0,cool,2.0,0.9346265625000001,0.00812951782448342,0.010574249609374982,0.0015411458333333334,0.001743443060673476,0.002378135511810339,319.4545229516571,16,10
160,0,cool,0.562,0.9645390625,0.008611200322608528,0.011864443359374914,0.000746875,0.0019361268701669802,0.0014690483564094468,513.8462430526416,16,10
160,0,cool,0.316,0.9749999999999998,2.220446049250313e-16,7.888609052210118e-30,0.0004411458333333333,0.0,0.0,nan,16,10
160,0,cool,0.178,0.9749999999999998,2.220446049250313e-16,7.888609052210118e-30,0.0004578125,0.0,0.0,nan,16,10
160,0,cool,0.1,0.9749999999999998,2.220446049250313e-16,7.888609052210118e-30,0.000465625,0.0,0.0,nan,16,10
160,0,heat,0.1,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,0,heat,0.178,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,0,heat,0.316,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,0,heat,0.562,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,0,heat,2.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,0,heat,3.98,0.6834640624999999,0.030866558143419452,0.15243910585937498,0.017576041666666667,0.004411284578228566,0.04024953637671711,51.06450338773636,16,10
160,0,heat,5.01,0.57529375,0.027859364308747244,0.12418306874999999,0.07192395833333333,0.0016980505579238879,0.009282929867894725,8.117366426262938,16,10
160,0,heat,5.62,0.52843125,0.028542456725683233,0.13034749375,0.1054921875,0.0013921553490816182,0.003888163248324801,4.460124663175542,16,10
160,0,heat,5.75,0.5178453125,0.030468219506599722,0.148529983984375,0.11367447916666666,0.001347401515504708,0.008994007235961244,4.105076209355749,16,10
160,0,heat,5.89,0.509203125,0.030287517894908043,0.1467733984375,0.12232291666666667,0.0016780650505440538,0.00813395321665796,5.515548155439032,16,10
160,0,heat,6.03,0.4982203125,0.03013586904383784,0.14530729648437501,0.13207291666666668,0.0014012931957373916,0.007419854324541721,3.193999801497125,16,10
160,0,heat,6.31,0.4820234375,0.03061698615652092,0.149983974609375,0.14924791666666667,0.0012560556546810525,0.0058987754000842845,3.1831416061739217,16,10
160,0,heat,7.94,0.4012015625,0.03241803964513576,0.168148687109375,0.250490625,0.0007276616885063549,0.0038727777809254424,1.4396080549251886,16,10
160,0,heat,10,0.334771875,0.031331124544682,0.1570622984375,0.36235989583333333,0.0006205657064765062,0.004575573949916407,0.8698509287833457,16,10
160,0,heat,15.85,0.2434234375,0.030849635290528046,0.15227199960937496,0.5585145833333334,0.0005549515973755606,0.003000342674153618,0.5745304610385885,16,10
160,0,heat,25.1,0.19256874999999998,0.028703276571456087,0.13182049375,0.6908989583333334,0.0006659810806657267,0.0019219914722857126,0.5857312324896796,16,10
160,0,heat,31.6,0.1752765625,0.02768989262905499,0.122676824609375,0.737740625,0.000348570697859487,0.00252871711550753,0.49372164168335053,16,10
160,0,heat,39.8,0.163328125,0.02741103774457244,0.1202183984375,0.7724651041666667,0.0004756707342807335,0.0026348834288234665,0.4960805011784801,16,10
160,0,heat,63.1,0.1460359375,0.02632205656139151,0.11085610585937501,0.8238020833333334,0.00043441853490245626,0.003035865977545444,0.46843582355147306,16,10
160,0,heat,79.4,0.1403703125,0.025881218634897077,0.10717399648437499,0.8404348958333333,0.00043942286006894463,0.0014562584672246116,0.47968887755216144,16,10
160,0,heat,100,0.1360796875,0.025435355743086113,0.10351317148437499,0.8535260416666667,0.000361072486987552,0.0025347589057596715,0.5275014277453244,16,10
160,0,heat,177.8,0.12843125,0.02507769100091753,0.10062249375,0.875875,0.00025147226353252575,0.0020666482090545535,0.4767847477493703,16,10
160,1,cool,177.8,0.12886874999999998,0.024922018220591605,0.09937711875,0.8759442708333334,0.00043481866196043445,0.002119854483752339,0.4953251376498734,16,10
160,1,cool,100,0.13532968750000002,0.02552278963058983,0.104226046484375,0.8540208333333333,0.0004607301535652918,0.0027109730476341408,0.5357459330491091,16,10
160,1,cool,79.4,0.13983125000000002,0.026156359020083435,0.10946481875,0.8403385416666667,0.0003160434413128582,0.0029275075069573778,0.5030722786099454,16,10
160,1,cool,63.1,0.1460296875,0.026727946105665205,0.11430129648437501,0.8231635416666667,0.0005272981054320105,0.003352547255525023,0.510937354489673,16,10
160,1,cool,39.8,0.1627484375,0.02776658424588076,0.12335731210937499,0.7737833333333334,0.0003435460521548344,0.00283108008706496,0.487639881163326,16,10
160,1,cool,31.6,0.1754640625,0.027803886965154595,0.12368898085937498,0.7368177083333334,0.00028810360949611173,0.0033318691067723786,0.4341810581652771,16,10
160,1,cool,25.1,0.19222968750000002,0.02869803689762322,0.13177237148437498,0.6908515625,0.0006113928857790622,0.0026647911539464473,0.5185111720580321,16,10
160,1,cool,15.85,0.24213906250000003,0.03071403825608241,0.150936343359375,0.5580416666666667,0.0006279668859685571,0.0032768436012825,0.6364394463649091,16,10
160,1,cool,10,0.3332203125,0.0313185918709214,0.15693667148437504,0.3627927083333333,0.0007385921056941722,0.0029576336708206563,0.9507394452477714,16,10
160,1,cool,7.94,0.40072343750000006,0.03143591691932325,0.15811469960937496,0.24986354166666666,0.0006724141824528026,0.0047779413150706935,1.3679357633511495,16,10
160,1,cool,6.31,0.4814625,0.03095065629352631,0.1532709,0.14960520833333332,0.0007839881416513889,0.005680844344905111,3.059807951400603,16,10
160,1,cool,6.03,0.49694375,0.03038996480645379,0.14776799375,0.13225052083333333,0.001260265326304562,0.008367324001639132,3.3345214027991252,16,10
160,1,cool,5.89,0.5081765625,0.029752384317203784,0.141632699609375,0.1225421875,0.0016685934715299682,0.005181807519671323,4.238324483664622,16,10
160,1,cool,5.75,0.5203296875,0.028810308645992388,0.13280542148437502,0.11256041666666666,0.0014647467971615187,0.004891401950300372,4.604656611012775,16,10
