N,lam,g,replica,exits,fallbacks,first_exit_sweeps,end_sweeps,went_through
64,1.05,1.5,0,1,0,5575.8984375,5591.078125,True
64,1.05,1.5,1,1,0,2481.421875,2526.34375,True
64,1.05,1.5,2,1,0,7250.9140625,7281.640625,True
64,1.05,1.5,3,1,0,2264.09375,2270.78125,True
64,1.05,1.5,4,2,1,11988.2734375,18158.5859375,True
64,1.05,1.5,5,2,1,28.9609375,13429.03125,True
64,1.05,1.5,6,4,3,43195.59375,66450.1953125,True
64,1.05,1.5,7,1,0,80985.171875,80989.1875,True
64,1.05,1.5,8,2,1,6355.9375,8696.8203125,True
64,1.05,1.5,9,1,0,4541.4609375,4573.0234375,True
64,1.05,1.5,10,2,1,585.328125,2138.765625,True
64,1.05,1.5,11,1,0,36634.7578125,36640.796875,True
64,1.05,1.5,12,2,1,312.71875,10931.2265625,True
64,1.05,1.5,13,1,0,11458.703125,11492.140625,True
64,1.05,1.5,14,1,0,18281.1328125,18304.3984375,True
64,1.05,1.5,15,1,0,2432.25,2435.3984375,True
64,1.05,1.5,16,1,0,10775.7734375,10780.28125,True
64,1.05,1.5,17,1,0,36974.375,36991.53125,True
64,1.05,1.5,18,2,1,17299.265625,19562.7734375,True
64,1.05,1.5,19,1,0,775.1796875,796.9140625,True
64,1.05,1.5,20,2,1,5976.34375,7815.953125,True
64,1.05,1.5,21,2,1,1078.578125,8596.21875,True
64,1.05,1.5,22,2,1,6402.4453125,27903.0,True
64,1.05,1.5,23,1,0,3403.1796875,3420.453125,True
64,1.05,1.5,24,1,0,1308.6328125,1340.53125,True
64,1.05,1.5,25,1,0,5983.4609375,6000.046875,True
64,1.05,1.5,26,4,3,802.796875,26274.9921875,True
64,1.05,1.5,27,1,0,16.4296875,31.4609375,True
64,1.05,1.5,28,2,1,1097.578125,14104.203125,True
64,1.05,1.5,29,1,0,2858.328125,2868.1796875,True
64,1.05,1.5,30,2,1,4581.3984375,9477.453125,True
64,1.05,1.5,31,1,0,26574.46875,26608.875,True
64,1.05,1.5,32,3,2,8571.5546875,39584.625,True
64,1.05,1.5,33,1,0,3164.125,3173.53125,True
64,1.05,1.5,34,1,0,14177.734375,14181.234375,True
64,1.05,1.5,35,1,0,2789.875,2795.65625,True
64,1.05,1.5,36,2,1,11282.296875,28870.53125,True
64,1.05,1.5,37,1,0,2433.71875,2437.2734375,True
64,1.05,1.5,38,1,0,127.03125,140.5078125,True
64,1.05,1.5,39,1,0,4135.1015625,4153.5859375,True
