N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
192,48,4,101,1.35,1.5,2097300080,105640,610,1.0,0.9510416666666675,1.4000000000000004,0.8022482638888899,2400,100200,0.75,0.0,955,3,0.7,40,0,148,40,4,0,0,0,1475,3,0.6590909090909091,88,0,100,88,4,0,0,0,1970,5,0.7258064516129032,124,0,58,124,10,0,0,0
192,48,4,102,1.35,1.5,1592446949,102365,445,1.0,1.1729166666666677,1.4000000000000004,1.0164930555555565,6600,100200,0.75,0.0,745,4,0.7,40,0,148,40,4,0,0,0,1025,4,0.5454545454545454,88,0,100,88,4,0,0,0,1245,3,0.6666666666666666,129,0,56,129,6,1,0,0
192,48,4,103,1.35,1.5,957365497,10080,335,1.0,1.400000000000001,1.4000000000000004,1.3123263888888899,2400,4200,0.75,0.0,660,5,0.625,48,0,140,48,4,0,0,0,830,2,0.625,96,0,94,96,2,0,0,0,980,2,0.5277777777777778,144,0,48,144,0,0,0,0
192,48,4,104,1.35,1.5,1127905136,101955,320,1.0,1.2599739583333343,1.4000000000000004,0.28404513888889005,27000,100200,0.75,0.0,625,2,0.6551724137931034,29,0,154,29,8,1,0,0,940,6,0.5606060606060606,66,0,111,66,15,0,0,0,1270,6,0.7291666666666666,96,0,72,96,24,0,0,0
192,48,4,105,1.35,1.5,2801188283,14165,205,1.0,1.400000000000001,1.4000000000000004,1.3123263888888899,8400,10200,0.75,0.20833333333333304,225,2,0.75,48,0,144,48,0,0,0,0,430,5,0.6162790697674418,86,0,101,86,5,0,0,0,1005,1,1.0,144,0,48,144,0,0,0,0
192,48,4,106,1.35,1.5,3195192346,101545,215,1.0,1.2604166666666676,1.4000000000000004,0.7898263888888899,25800,100200,0.75,0.08333333333333304,645,5,0.6666666666666666,48,0,140,48,4,0,0,0,755,5,0.5116279069767442,86,0,99,86,7,0,0,0,905,4,0.45161290322580644,124,0,58,124,10,0,0,0
192,48,4,107,1.35,1.5,3182065012,16780,450,1.0,1.400000000000001,1.4000000000000004,0.8722829861111121,13800,15600,0.75,0.08333333333333304,525,2,0.6666666666666666,48,0,144,48,0,0,0,0,710,2,0.5384615384615384,104,0,88,104,0,0,0,0,975,1,1.0,140,0,50,140,2,0,0,0
192,48,4,108,1.35,1.5,2532147456,103635,360,1.0,1.2864583333333344,1.4000000000000004,1.1261197916666676,82200,100200,0.75,0.0,1255,9,0.4,40,0,144,40,8,0,0,0,1365,5,0.5238095238095238,84,0,102,84,6,0,0,0,1795,10,0.515625,128,0,52,128,12,0,0,0
192,48,4,109,1.35,1.5,476674556,101390,470,1.0,1.2598090277777787,1.4000000000000004,0.2810243055555566,38400,100200,0.75,0.08333333333333304,510,6,0.40816326530612246,49,1,138,49,4,0,0,0,600,14,0.2647058823529412,68,0,108,68,16,0,0,0,795,6,0.5,94,0,72,94,24,2,0,0
192,48,4,110,1.35,1.5,665366651,101385,205,1.0,1.3125000000000009,1.4000000000000004,1.1286979166666677,63000,100200,0.75,0.16666666666666696,320,3,0.9,40,0,148,40,4,0,0,0,620,4,0.5,88,0,100,88,4,0,0,0,945,4,0.5294117647058824,136,0,52,136,4,0,0,0
192,48,4,111,1.35,1.5,917465238,101275,295,1.0,0.9807986111111121,1.4000000000000004,0.18092013888888991,72000,100200,0.75,0.125,340,3,0.5,40,0,148,40,4,0,0,0,455,3,0.9444444444444444,72,0,108,72,12,0,0,0,910,5,0.6363636363636364,110,0,65,110,17,0,0,0
192,48,4,112,1.35,1.5,3572462978,102050,225,1.0,1.1740711805555566,1.4000000000000004,0.6163888888888899,24600,100200,0.75,0.22916666666666696,225,4,0.5238095238095238,42,0,143,42,7,0,0,0,695,2,0.6,90,0,99,90,3,0,0,0,885,6,0.4626865671641791,134,0,51,134,7,0,0,0
192,48,4,113,1.35,1.5,2647750039,105310,290,1.0,1.2020833333333343,1.4000000000000004,1.1881423611111122,0,100200,0.75,0.0,1450,4,0.45,40,0,148,40,4,0,0,0,2590,6,0.75,80,0,104,80,8,0,0,0,3680,4,0.859375,128,0,56,128,8,0,0,0
192,48,4,114,1.35,1.5,681997443,4780,205,1.0,1.400000000000001,1.4000000000000004,1.307968750000001,2400,3600,0.75,0.375,205,8,0.5925925925925926,54,0,129,54,9,0,0,0,425,2,0.6666666666666666,96,0,96,96,0,0,0,0,665,2,0.8888888888888888,144,0,48,144,0,0,0,0
192,48,4,115,1.35,1.5,2460141269,101400,255,1.0,0.9088368055555566,1.4000000000000004,0.26368923611111206,62400,100200,0.75,0.08333333333333304,425,3,0.9,40,0,148,40,4,0,0,0,720,6,0.5789473684210527,76,0,106,76,10,0,0,0,820,7,0.4574468085106383,94,0,74,94,22,2,0,0
192,48,4,116,1.35,1.5,226817744,101125,210,1.0,1.231250000000001,1.4000000000000004,0.3392100694444453,18000,100200,0.75,0.20833333333333304,210,8,0.375,32,0,152,32,8,0,0,0,490,9,0.5277777777777778,72,0,104,72,16,0,0,0,675,8,0.36538461538461536,104,1,67,104,19,1,0,0
192,48,4,117,1.35,1.5,1296726348,101050,205,1.0,0.8498611111111122,1.4000000000000004,0.16650173611111185,22800,100200,0.75,0.1875,300,6,0.7,40,0,144,40,8,0,0,0,380,3,0.6052631578947368,76,0,106,76,10,0,0,0,700,5,0.48484848484848486,99,0,72,99,18,3,0,0
192,48,4,118,1.35,1.5,908380015,100975,205,1.0,1.252968750000001,1.4000000000000004,0.45286458333333435,42000,100200,0.75,0.5,205,2,0.5652173913043478,92,0,98,92,2,0,0,0,205,2,0.5652173913043478,92,0,98,92,2,0,0,0,530,2,0.53125,128,0,56,128,8,0,0,0
192,48,4,119,1.35,1.5,1962949854,101410,205,1.0,1.0755902777777786,1.4000000000000004,0.4756944444444454,52200,100200,0.75,0.08333333333333304,315,10,0.375,32,0,148,32,12,0,0,0,515,5,0.75,80,0,104,80,8,0,0,0,770,5,0.6140350877192983,114,0,62,114,14,2,0,0
