N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
144,36,4,3,1.25,1.5,1364021302,104810,1570,1.0,0.8423032407407408,1.0,0.7528356481481482,25200,100200,0.75,1680,4,0.42857142857142855,28,0,112,28,4,0,0,0,2510,3,0.9375,64,0,76,64,4,0,0,0,3220,3,0.92,100,0,40,100,4,0,0,0
144,36,4,5,1.25,1.5,1208683797,101280,255,1.0,0.8666087962962963,1.0,0.7274305555555555,18000,100200,0.75,205,1,1.0,36,0,108,36,0,0,0,0,455,2,0.96875,64,0,76,64,4,0,0,0,730,1,1.0,100,0,40,100,4,0,0,0
