n,budget_per_point,replica,acceptance,h_per_point,demon_end,temperature,squares,surplus,curled,flat,melted,d0,d1,d2,d3,d4,d5,d6
144,0.5,0,0.0001,0.4861111111111111,2.0,4.173833309239656,140,1,0,129,15,0,0,129,14,1,0,0
144,0.5,1,0.0002,0.4861111111111111,2.0,4.723302148363019,140,1,0,129,15,0,0,129,14,1,0,0
144,0.5,2,0.0001,0.4583333333333333,6.0,3.945404833212696,141,3,1,130,13,0,1,130,13,0,0,0
144,1.0,0,0.0006,0.9722222222222222,4.0,3.8969647625129222,136,2,0,116,28,0,0,116,24,4,0,0
144,1.0,1,0.0006,1.0,0.0,4.302304215747422,135,0,0,111,33,0,0,111,30,3,0,0
144,1.0,2,0.0005,1.0,0.0,5.334094038457482,135,0,0,109,35,0,0,109,34,1,0,0
144,2.0,0,0.0026,2.0,0.0,4.035644807749573,129,8,1,88,55,0,1,88,50,4,1,0
144,2.0,1,0.0026,2.0,0.0,4.659239606818122,129,8,2,84,58,0,2,84,54,4,0,0
144,2.0,2,0.0035,1.9861111111111112,2.0,4.567306083762327,128,5,1,83,60,0,1,83,55,5,0,0
144,4.0,0,0.0143,4.0,0.0,4.898334999959612,111,8,2,44,98,0,2,44,69,23,5,1
144,4.0,1,0.0149,3.986111111111111,2.0,4.976256401535557,113,13,3,45,96,0,3,45,66,29,1,0
144,4.0,2,0.0147,4.0,0.0,4.87682575537923,111,8,2,42,100,0,2,42,69,28,3,0
