N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
144,36,4,0,1.25,1.5,2159753277,5060,685,1.0,1.0,1.0,0.9884259259259259,0,1800,0.75,1655,1,1.0,36,0,108,36,0,0,0,0,1690,2,0.6666666666666666,72,0,72,72,0,0,0,0,1825,1,1.0,104,0,38,104,2,0,0,0
144,36,4,1,1.25,1.5,2664570461,5755,400,1.0,1.0,1.0,0.8898148148148147,600,2400,0.75,735,1,1.0,36,0,108,36,0,0,0,0,910,1,1.0,72,0,72,72,0,0,0,0,1190,1,1.0,108,0,36,108,0,0,0,0
144,36,4,2,1.25,1.5,3151085730,13475,760,1.0,1.0,1.0,0.9006944444444445,10800,12000,0.75,940,1,1.0,36,0,108,36,0,0,0,0,1120,1,1.0,76,0,68,76,0,0,0,0,1265,1,1.0,108,0,36,108,0,0,0,0
144,36,4,3,1.25,1.5,1364021302,34610,1570,1.0,0.7986111111111112,1.0,0.7528356481481482,0,30000,0.75,1680,4,0.42857142857142855,28,0,112,28,4,0,0,0,2510,3,0.9375,64,0,76,64,4,0,0,0,3220,3,0.92,100,0,40,100,4,0,0,0
144,36,4,4,1.25,1.5,4249312835,26235,2040,1.0,1.0,1.0,0.9020833333333333,21000,22200,0.75,2430,1,1.0,36,0,108,36,0,0,0,0,2660,1,1.0,72,0,72,72,0,0,0,0,2880,1,1.0,108,0,36,108,0,0,0,0
144,36,4,5,1.25,1.5,1208683797,31080,255,1.0,0.8697916666666666,1.0,0.7274305555555555,14400,30000,0.75,205,1,1.0,36,0,108,36,0,0,0,0,455,2,0.96875,64,0,76,64,4,0,0,0,730,1,1.0,100,0,40,100,4,0,0,0
144,36,4,6,1.25,1.5,654865586,5125,235,1.0,1.0,1.0,0.9013888888888889,3000,4200,0.75,205,1,1.0,36,0,108,36,0,0,0,0,445,1,1.0,72,0,72,72,0,0,0,0,735,1,1.0,108,0,36,108,0,0,0,0
144,36,4,7,1.25,1.5,4066590479,3085,380,1.0,1.0,1.0,0.9942129629629629,0,1800,0.75,565,1,1.0,32,0,110,32,2,0,0,0,810,1,1.0,72,0,72,72,0,0,0,0,1110,1,1.0,104,0,38,104,2,0,0,0
144,36,4,8,1.25,1.5,3563917366,3975,205,1.0,1.0,1.0,0.9976851851851852,0,1200,0.75,355,1,1.0,36,0,108,36,0,0,0,0,655,1,1.0,72,0,72,72,0,0,0,0,930,1,1.0,112,0,32,112,0,0,0,0
144,36,4,9,1.25,1.5,2755472392,28100,580,1.0,1.0,1.0,0.6800925925925925,24000,25800,0.75,715,2,0.9583333333333334,24,0,114,24,6,0,0,0,1630,2,0.967741935483871,62,0,77,62,5,0,0,0,1960,2,0.9795918367346939,98,0,41,98,5,0,0,0
144,36,4,10,1.25,1.5,3319644976,5595,1795,1.0,1.0,1.0,0.9965277777777778,0,1200,0.75,3540,2,0.8,40,0,104,40,0,0,0,0,3830,1,1.0,72,0,72,72,0,0,0,0,4140,1,1.0,108,0,36,108,0,0,0,0
144,36,4,11,1.25,1.5,777679770,10810,845,1.0,1.0,1.0,0.898611111111111,7200,9000,0.75,1020,1,1.0,36,0,108,36,0,0,0,0,1260,1,1.0,72,0,72,72,0,0,0,0,1485,1,1.0,108,0,36,108,0,0,0,0
144,36,4,12,1.25,1.5,288959374,5060,1155,1.0,1.0,1.0,0.9594907407407407,0,1800,0.75,2490,1,1.0,36,0,108,36,0,0,0,0,2590,1,1.0,72,0,72,72,0,0,0,0,2885,4,0.94,100,0,40,100,4,0,0,0
144,36,4,13,1.25,1.5,2978653790,5175,650,1.0,1.0,1.0,0.9017361111111111,1800,3600,0.75,805,1,1.0,36,0,108,36,0,0,0,0,1160,1,1.0,72,0,72,72,0,0,0,0,1365,1,1.0,108,0,36,108,0,0,0,0
144,36,4,14,1.25,1.5,2535156405,1895,205,1.0,1.0,1.0,1.0,0,1200,0.75,205,1,1.0,40,0,104,40,0,0,0,0,290,1,1.0,72,0,72,72,0,0,0,0,460,1,1.0,108,0,36,108,0,0,0,0
144,36,4,15,1.25,1.5,2422792968,8005,1270,1.0,1.0,1.0,0.8954861111111111,4800,6000,0.75,1540,1,1.0,36,0,108,36,0,0,0,0,1720,1,1.0,76,0,68,76,0,0,0,0,1835,1,1.0,108,0,36,108,0,0,0,0
144,36,4,16,1.25,1.5,1198906170,8930,265,1.0,1.0,1.0,0.9024305555555555,3600,4800,0.75,355,1,1.0,40,0,104,40,0,0,0,0,495,1,1.0,72,0,72,72,0,0,0,0,805,1,1.0,112,0,32,112,0,0,0,0
144,36,4,17,1.25,1.5,979766728,31330,370,1.0,0.9027777777777778,1.0,0.8996527777777777,0,30000,0.75,595,1,1.0,36,0,108,36,0,0,0,0,895,1,1.0,72,0,72,72,0,0,0,0,1025,1,1.0,108,0,36,108,0,0,0,0
144,36,4,18,1.25,1.5,1852391965,2570,440,1.0,1.0,1.0,1.0,0,1200,0.75,610,1,1.0,36,0,108,36,0,0,0,0,695,1,1.0,72,0,72,72,0,0,0,0,840,1,1.0,108,0,36,108,0,0,0,0
144,36,4,19,1.25,1.5,322072415,3590,210,1.0,1.0,1.0,0.8954861111111111,600,2400,0.75,215,1,1.0,40,0,104,40,0,0,0,0,480,1,1.0,72,0,72,72,0,0,0,0,675,1,1.0,108,0,36,108,0,0,0,0
144,36,4,20,1.25,1.5,987902260,17800,205,1.0,1.0,1.0,0.8954861111111111,10800,12000,0.75,230,2,0.7777777777777778,36,0,108,36,0,0,0,0,340,2,0.5,72,0,72,72,0,0,0,0,480,2,0.5185185185185185,108,0,36,108,0,0,0,0
144,36,4,21,1.25,1.5,1664647084,5340,1725,1.0,1.0,1.0,0.8773148148148148,1200,3000,0.75,1815,1,1.0,36,0,108,36,0,0,0,0,2015,1,1.0,72,0,70,72,2,0,0,0,2250,1,1.0,108,0,36,108,0,0,0,0
144,36,4,22,1.25,1.5,3239982364,16590,1130,1.0,1.0,1.0,0.9020833333333333,10200,12000,0.75,1450,1,1.0,36,0,108,36,0,0,0,0,1485,2,0.6111111111111112,72,0,72,72,0,0,0,0,1760,4,0.58,100,0,40,100,4,0,0,0
144,36,4,23,1.25,1.5,723487872,8535,335,1.0,1.0,1.0,0.9965277777777778,0,1200,0.75,385,1,1.0,36,0,108,36,0,0,0,0,545,1,1.0,72,0,72,72,0,0,0,0,740,1,1.0,108,0,36,108,0,0,0,0
144,36,4,24,1.25,1.5,1878094560,4475,695,1.0,1.0,1.0,0.9013888888888889,1800,3000,0.75,855,1,1.0,36,0,108,36,0,0,0,0,1060,1,1.0,72,0,72,72,0,0,0,0,1240,1,1.0,108,0,36,108,0,0,0,0
