N,replica,protocol,leg,k,g,lam,phi,chi,tau_int,acceptance,swap_rate,round_trips,snapshots,snap_no_fluct,snap_no_xi,diam_mean,xi_over_diam,xi_over_diam_err,xi_pooled_over_diam
196,2,tempering,,0,9.0,1.0,0.33554112244897955,0.17677332692040817,1.1226136823973152,0.3479240008503394,0.5758666666666666,13,1000,0,0,7.982,0.314769136564916,0.014767626264957364,0.24741153695380455
196,2,tempering,,1,8.357,1.0,0.3593044897959184,0.17822222070204083,1.2370454579264643,0.30884068877550946,0.5442,13,1000,0,0,7.999,0.33524326890255524,0.028466253231331222,0.25171600731550675
196,2,tempering,,2,7.76,1.0,0.38518683673469384,0.18006932946734697,1.43476504303205,0.2698579506802713,0.5128666666666667,13,1000,0,0,8.011,0.26977987291217914,0.024978514387989547,0.23085001966906168
196,2,tempering,,3,7.205,1.0,0.41376933673469385,0.1814657680403061,1.742683029049066,0.23112848639455688,0.476,13,1000,0,0,8.034,0.2475578325274351,0.015789654711592983,0.22332196936146104
196,2,tempering,,4,6.69,1.0,0.4435784693877551,0.1820867535489796,2.167444377470607,0.19511116071428627,0.45206666666666667,13,1000,0,0,8.079,0.24577909939584255,0.021872407532305488,0.20912159116921364
196,2,tempering,,5,6.212,1.0,0.475688418367347,0.1815063157913265,2.69365872612688,0.16081955782312954,0.4235333333333333,13,1000,0,0,8.152,1.1064612029711554,0.8595144771303348,0.20156454798252466
196,2,tempering,,6,5.768,1.0,0.5104424489795918,0.17787896551836735,3.5049272654917334,0.12900941751700698,0.39866666666666667,13,1000,0,0,8.281,0.28121397884383237,0.017205175551169093,0.18967768060458243
196,2,tempering,,7,5.356,1.0,0.5463127040816327,0.17163447069336732,4.537567845688292,0.10146315901360553,0.37046666666666667,13,1000,0,0,8.457,0.28750272685467965,0.014976388244541542,0.17684382718887243
196,2,tempering,,8,4.973,1.0,0.5835030102040817,0.16768286618316325,5.672650577276873,0.07742631802721135,0.34813333333333335,13,1000,0,0,8.75,0.3392909900888884,0.024768506918993766,0.2870680585245669
196,2,tempering,,9,4.618,1.0,0.6218690306122449,0.1613228016892857,7.645796515957624,0.05773207908163245,0.3347333333333333,13,1000,0,0,8.926,1.1726780201684859,0.842027214013905,0.24443241154538697
196,2,tempering,,10,4.288,1.0,0.6605297959183674,0.15977904313469388,12.116608759089797,0.04206258503401422,0.3136,13,1000,0,0,9.093,0.28595660047773025,0.011741498051858925,0.24952897717202444
196,2,tempering,,11,3.981,1.0,0.6993265306122449,0.15018569387755099,17.130700291388614,0.029939221938775108,0.29886666666666667,13,1000,0,0,9.289,0.28556936373042147,0.013492228997478487,0.21964862401734342
196,2,tempering,,12,3.697,1.0,0.7387933163265307,0.1434616011219388,23.999486289378254,0.020882823129251053,0.2865333333333333,13,1000,0,0,9.597,0.38055581082617074,0.06675169168937854,0.29530669280461147
196,2,tempering,,13,3.433,1.0,0.7771054081632652,0.13013512104285713,34.36669141104736,0.014321875000000166,0.2654666666666667,13,1000,0,0,9.947,0.30451362190545855,0.03001795647232206,0.24857708151799923
196,2,tempering,,14,3.187,1.0,0.8163998979591837,0.12799710824285718,54.49007181557261,0.00967831632653146,0.2776666666666667,13,1000,0,0,10.388,0.2758890959377849,0.012842750134717376,0.2118507469431566
196,2,tempering,,15,2.96,1.0,0.8534204081632653,0.12549808081632652,98.57752482524816,0.006622810374150818,0.2546,13,1000,0,0,10.892,0.2739297399246286,0.035400363528118546,0.26250716080555575
196,2,tempering,,16,2.748,1.0,0.8901344897959184,0.1110313691346939,133.9320268045475,0.004618983843538456,0.26813333333333333,13,1000,0,0,11.534,0.2824288509103675,0.0242271552878506,0.26407199836766837
196,2,tempering,,17,2.552,1.0,0.9225034693877551,0.10756845886530608,348.9573739504212,0.0034159651360551307,0.23726666666666665,13,1000,0,0,12.389,0.2338028619086894,0.013166207856784384,0.1914772061345543
196,2,tempering,,18,2.369,1.0,0.9545922448979591,0.0931830816,291.1751422527047,0.0026598639455783996,0.29573333333333335,13,1000,0,0,13.436,0.2966412641228671,0.07809727926507157,0.14511066642247167
196,2,tempering,,19,2.2,1.0,0.9740894387755101,0.07856690030153061,658.572558904369,0.0020063988095234174,,13,1000,0,0,14.47,0.21986881488723822,0.013674512740193497,0.13760282744927205
