n,budget_per_point,replica,acceptance,h_per_point,demon_end,temperature,squares,surplus,curled,flat,melted,d0,d1,d2,d3,d4,d5,d6
144,0.5,0,0.0003,0.49583333333333335,0.5999999999999988,4.893208890088258,144,17,10,122,12,2,8,122,12,0,0,0
144,0.5,1,0.0002,0.47361111111111115,3.799999999999999,5.93704284778558,140,1,0,129,15,0,0,129,14,1,0,0
144,0.5,2,0.0002,0.4791666666666667,3.0,6.115911601450306,141,5,2,128,14,0,2,128,14,0,0,0
144,1.0,0,0.0005,0.9763888888888889,3.3999999999999932,5.57812756893731,136,3,1,112,31,0,1,112,29,2,0,0
144,1.0,1,0.0008,0.9861111111111112,1.9999999999999964,4.406657549748804,143,30,25,91,28,0,25,91,27,1,0,0
144,1.0,2,0.0008,1.0,5.329070518200751e-15,4.6416407392922485,135,0,0,109,35,0,0,109,34,1,0,0
144,2.0,0,0.0035,1.9916666666666667,1.199999999999962,4.163258828243137,135,34,17,80,47,0,17,80,42,4,1,0
144,2.0,1,0.0029,1.9749999999999999,3.5999999999999925,4.080341414302208,132,22,8,87,49,0,8,87,43,5,1,0
144,2.0,2,0.0022,1.9694444444444446,4.400000000000019,3.93657691457335,131,18,5,91,48,1,4,91,39,8,1,0
144,4.0,0,0.0171,3.998611111111111,0.2000000000000055,4.921366555837481,113,19,7,45,92,0,7,45,60,25,7,0
144,4.0,1,0.0165,3.9930555555555554,1.0000000000000107,4.891720771459042,112,15,3,45,96,1,2,45,64,28,4,0
144,4.0,2,0.0167,3.9583333333333335,5.999999999999961,5.246564236906732,111,10,3,40,101,0,3,40,70,28,3,0
