N,lam,g,replica,exits,fallbacks,first_exit_sweeps,end_sweeps,went_through
64,1.1,1.5,0,2,1,280.6328125,1496.4609375,True
64,1.1,1.5,1,1,0,2348.9296875,2364.046875,True
64,1.1,1.5,2,1,0,2087.4375,2137.75,True
64,1.1,1.5,3,1,0,5478.375,5499.8203125,True
64,1.1,1.5,4,2,1,23778.453125,28728.375,True
64,1.1,1.5,5,2,1,8622.2890625,11723.171875,True
64,1.1,1.5,6,2,1,1209.0078125,7165.03125,True
64,1.1,1.5,7,2,1,2437.9140625,3715.0859375,True
64,1.1,1.5,8,2,1,7342.96875,7899.4765625,True
64,1.1,1.5,9,1,0,6406.1953125,6422.890625,True
64,1.1,1.5,10,1,0,2068.2890625,2087.640625,True
64,1.1,1.5,11,1,0,385.71875,409.3984375,True
64,1.1,1.5,12,3,2,7873.1640625,23051.78125,True
64,1.1,1.5,13,3,2,2390.0546875,11338.8515625,True
64,1.1,1.5,14,1,0,5303.8828125,5386.84375,True
64,1.1,1.5,15,3,2,11978.703125,21683.3828125,True
64,1.1,1.5,16,3,2,6468.2734375,21137.71875,True
64,1.1,1.5,17,3,2,5227.4296875,6618.2734375,True
64,1.1,1.5,18,1,0,1698.53125,1706.2578125,True
64,1.1,1.5,19,1,0,18645.046875,18653.1484375,True
64,1.1,1.5,20,1,0,2371.6796875,2371.96875,True
64,1.1,1.5,21,1,0,265.7578125,305.9921875,True
64,1.1,1.5,22,2,1,12975.2578125,16133.8359375,True
64,1.1,1.5,23,1,0,7615.2265625,7642.1953125,True
64,1.1,1.5,24,2,1,5506.28125,6622.59375,True
64,1.1,1.5,25,2,1,3435.921875,6477.578125,True
64,1.1,1.5,26,2,1,4.8671875,1820.7421875,True
64,1.1,1.5,27,1,0,640.8984375,697.2734375,True
64,1.1,1.5,28,1,0,9483.6015625,9516.609375,True
64,1.1,1.5,29,1,0,4999.6953125,5006.40625,True
64,1.1,1.5,30,4,3,874.3828125,15492.2109375,True
64,1.1,1.5,31,1,0,3009.609375,3021.9765625,True
64,1.1,1.5,32,5,4,3447.3984375,9569.5703125,True
64,1.1,1.5,33,1,0,312.2734375,322.921875,True
64,1.1,1.5,34,2,1,6299.3046875,9788.4921875,True
64,1.1,1.5,35,3,2,5077.15625,17684.671875,True
64,1.1,1.5,36,1,0,8926.1796875,8954.015625,True
64,1.1,1.5,37,1,0,4622.1484375,4656.3984375,True
64,1.1,1.5,38,2,1,1580.6015625,6555.53125,True
64,1.1,1.5,39,2,1,1900.3125,5359.234375,True
