N,lam,class_id,squares,surplus,pieces,in_babies,H,above_ground,way_out,is_dip
18,1.15,0,18,0,1,0,0.0,0.0,0.0,False
18,1.15,1,18,0,1,0,0.0,0.0,0.0,False
18,1.15,2,18,4,1,0,18.4,18.4,-18.4,False
18,1.15,3,18,2,1,0,9.2,9.2,-9.2,False
18,1.15,4,18,6,1,0,27.599999999999998,27.599999999999998,-9.2,False
18,1.15,5,19,8,1,0,20.799999999999997,20.799999999999997,-11.599999999999998,False
18,1.15,6,19,10,1,0,30.0,30.0,-13.800000000000004,False
18,1.15,7,19,7,1,0,16.199999999999996,16.199999999999996,-9.0,False
18,1.15,8,20,11,1,0,18.599999999999994,18.599999999999994,-6.799999999999997,False
18,1.15,9,20,10,1,0,14.0,14.0,-6.800000000000004,False
18,1.15,10,20,10,1,0,14.0,14.0,-6.800000000000004,False
18,1.15,11,19,9,1,0,25.4,25.4,-11.399999999999999,False
18,1.15,12,20,10,1,0,14.0,14.0,-6.800000000000004,False
18,1.15,13,19,9,1,0,25.4,25.4,-13.600000000000001,False
18,1.15,14,21,14,1,0,16.39999999999999,16.39999999999999,-9.199999999999996,False
18,1.15,15,21,13,1,0,11.799999999999997,11.799999999999997,-4.600000000000001,False
18,1.15,16,19,8,1,0,20.799999999999997,20.799999999999997,-6.799999999999997,False
18,1.15,17,21,12,1,0,7.199999999999996,7.199999999999996,4.600000000000001,True
18,1.15,18,20,11,1,0,18.599999999999994,18.599999999999994,-11.399999999999999,False
18,1.15,19,20,12,1,0,23.199999999999996,23.199999999999996,-6.800000000000004,False
18,1.15,20,22,16,1,0,9.599999999999994,9.599999999999994,2.200000000000003,True
18,1.15,21,20,12,1,0,23.199999999999996,23.199999999999996,-13.600000000000001,False
18,1.15,22,18,8,1,0,36.8,36.8,-18.4,False
18,1.15,23,18,9,1,0,41.4,41.4,-16.0,False
18,1.15,24,18,4,1,0,18.4,18.4,-18.4,False
18,1.15,25,18,0,1,0,0.0,0.0,0.0,False
18,1.2,0,18,0,1,0,0.0,0.0,0.0,False
18,1.2,1,18,0,1,0,0.0,0.0,0.0,False
18,1.2,2,18,4,1,0,19.2,19.2,-19.2,False
18,1.2,3,18,2,1,0,9.6,9.6,-9.6,False
18,1.2,4,18,6,1,0,28.799999999999997,28.799999999999997,-9.599999999999998,False
18,1.2,5,19,8,1,0,22.4,22.4,-12.799999999999999,False
18,1.2,6,19,10,1,0,32.0,32.0,-14.399999999999999,False
18,1.2,7,19,7,1,0,17.6,17.6,-8.000000000000007,False
18,1.2,8,20,11,1,0,20.799999999999997,20.799999999999997,-6.399999999999999,False
18,1.2,9,20,10,1,0,16.0,16.0,-6.400000000000006,False
18,1.2,10,20,10,1,0,16.0,16.0,-6.400000000000006,False
18,1.2,11,19,9,1,0,27.199999999999996,27.199999999999996,-11.199999999999996,False
18,1.2,12,20,10,1,0,16.0,16.0,-6.400000000000006,False
18,1.2,13,19,9,1,0,27.199999999999996,27.199999999999996,-12.799999999999997,False
18,1.2,14,21,14,1,0,19.200000000000003,19.200000000000003,-9.600000000000009,False
18,1.2,15,21,13,1,0,14.399999999999999,14.399999999999999,-4.800000000000004,False
18,1.2,16,19,8,1,0,22.4,22.4,-6.399999999999999,False
18,1.2,17,21,12,1,0,9.599999999999994,9.599999999999994,4.800000000000004,True
18,1.2,18,20,11,1,0,20.799999999999997,20.799999999999997,-11.200000000000003,False
18,1.2,19,20,12,1,0,25.599999999999994,25.599999999999994,-6.3999999999999915,False
18,1.2,20,22,16,1,0,12.799999999999997,12.799999999999997,1.6000000000000014,True
18,1.2,21,20,12,1,0,25.599999999999994,25.599999999999994,-12.799999999999997,False
18,1.2,22,18,8,1,0,38.4,38.4,-19.2,False
18,1.2,23,18,9,1,0,43.199999999999996,43.199999999999996,-16.0,False
18,1.2,24,18,4,1,0,19.2,19.2,-19.2,False
18,1.2,25,18,0,1,0,0.0,0.0,0.0,False
18,1.25,0,18,0,1,0,0.0,0.0,0.0,False
18,1.25,1,18,0,1,0,0.0,0.0,0.0,False
18,1.25,2,18,4,1,0,20.0,20.0,-20.0,False
18,1.25,3,18,2,1,0,10.0,10.0,-10.0,False
18,1.25,4,18,6,1,0,30.0,30.0,-10.0,False
18,1.25,5,19,8,1,0,24.0,24.0,-14.0,False
18,1.25,6,19,10,1,0,34.0,34.0,-15.0,False
18,1.25,7,19,7,1,0,19.0,19.0,-7.0,False
18,1.25,8,20,11,1,0,23.0,23.0,-6.0,False
18,1.25,9,20,10,1,0,18.0,18.0,-6.0,False
18,1.25,10,20,10,1,0,18.0,18.0,-6.0,False
18,1.25,11,19,9,1,0,29.0,29.0,-11.0,False
18,1.25,12,20,10,1,0,18.0,18.0,-6.0,False
18,1.25,13,19,9,1,0,29.0,29.0,-12.0,False
18,1.25,14,21,14,1,0,22.0,22.0,-10.0,False
18,1.25,15,21,13,1,0,17.0,17.0,-5.0,False
18,1.25,16,19,8,1,0,24.0,24.0,-6.0,False
18,1.25,17,21,12,1,0,12.0,12.0,5.0,True
18,1.25,18,20,11,1,0,23.0,23.0,-11.0,False
18,1.25,19,20,12,1,0,28.0,28.0,-6.0,False
