source,N,n_loops,n_cubes,eigenvalue,multiplicity,loc_loops,loc_each_loop,loc_loops_collar,loc_cube,random_max_here,pr_best
n144_adj/N144_rep3,144,2,0,4.347296355,2,0.111111,0.055556|0.055556,0.117812,,0.106288,56.989
n144_adj/N144_rep3,144,2,0,4.414213562,2,0.000000,0.000000|0.000000,0.166667,,0.116274,64.000
n144_adj/N144_rep3,144,2,0,4.465171679,2,0.000000,0.000000|0.000000,0.025995,,0.111354,64.000
n144_adj/N144_rep3,144,2,0,4.467911114,1,0.111111,0.055556|0.055556,0.241516,,0.079101,96.000
n144_adj/N144_rep3,144,2,0,4.555401944,2,0.000000,0.000000|0.000000,0.006701,,0.106276,64.000
n144_adj/N144_rep3,144,2,0,4.684040287,2,0.111111,0.055556|0.055556,0.137106,,0.118947,48.415
n144_adj/N144_rep3,144,2,0,4.714424781,1,0.111111,0.055556|0.055556,0.202928,,0.069667,96.000
n144_adj/N144_rep3,144,2,0,4.730173276,2,0.000000,0.000000|0.000000,0.196227,,0.107919,64.000
n144_adj/N144_rep3,144,2,0,5,3,0.111111,0.055556|0.055556,0.166667,,0.122718,68.611
n144_adj/N144_rep3,144,2,0,5.066917207,2,0.000000,0.000000|0.000000,0.215521,,0.126029,64.000
n144_adj/N144_rep3,144,2,0,5.285575219,2,0.111111,0.055556|0.055556,0.202928,,0.089731,51.039
n144_adj/N144_rep3,144,2,0,5.315959713,1,0.111111,0.055556|0.055556,0.137106,,0.096830,96.000
n144_adj/N144_rep3,144,2,0,5.414213562,2,0.000000,0.000000|0.000000,0.222222,,0.138889,48.000
n144_adj/N144_rep3,144,2,0,5.532088886,2,0.111111,0.055556|0.055556,0.241516,,0.129586,89.548
n144_adj/N144_rep3,144,2,0,5.652703645,1,0.111111,0.055556|0.055556,0.117812,,0.070377,96.000
n144_adj/N144_rep3,144,2,0,5.732050808,2,0.111111,0.055556|0.055556,0.277778,,0.118056,71.334
n144_adj/N144_rep3,144,2,0,5.761509918,2,0.000000,0.000000|0.000000,0.215521,,0.126029,64.000
n144_adj/N144_rep3,144,2,0,5.879385242,2,0.111111,0.055556|0.055556,0.307338,,0.137214,49.167
n144_adj/N144_rep3,144,2,0,5.969615506,2,0.111111,0.055556|0.055556,0.326633,,0.109436,85.022
n144_adj/N144_rep3,144,2,0,6,3,0.111111,0.055556|0.055556,0.166667,,0.114141,72.000
n144_adj/N144_rep3,144,2,0,6.098253849,2,0.000000,0.000000|0.000000,0.196227,,0.107919,64.000
n144_adj/N144_rep3,144,2,0,6.347296355,1,0.111111,0.055556|0.055556,0.117812,,0.070377,96.000
n144_adj/N144_rep3,144,2,0,6.414213562,2,0.000000,0.000000|0.000000,0.166667,,0.116274,64.000
n144_adj/N144_rep3,144,2,0,6.684040287,1,0.111111,0.055556|0.055556,0.137106,,0.096830,96.000
n144_adj/N144_rep3,144,2,0,6.699788782,2,0.000000,0.000000|0.000000,0.130405,,0.100079,64.000
n144_adj/N144_rep3,144,2,0,6.946302449,2,0.000000,0.000000|0.000000,0.091817,,0.119912,64.000
n144_adj/N144_rep3,144,2,0,7,1,0.111111,0.055556|0.055556,0.166667,,0.069444,96.000
n144_adj/N144_rep3,144,2,0,7.14626437,2,0.000000,0.000000|0.000000,0.055556,,0.115673,64.000
n144_adj/N144_rep3,144,2,0,7.285575219,1,0.111111,0.055556|0.055556,0.202928,,0.069667,96.000
n144_adj/N144_rep3,144,2,0,7.293598804,2,0.000000,0.000000|0.000000,0.025995,,0.111354,64.000
n144_adj/N144_rep3,144,2,0,7.383829068,2,0.000000,0.000000|0.000000,0.006701,,0.106276,64.000
n144_adj/N144_rep3,144,2,0,7.532088886,1,0.111111,0.055556|0.055556,0.241516,,0.079101,96.000
n144_adj/N144_rep3,144,2,0,7.732050808,1,0.111111,0.055556|0.055556,0.277778,,0.083333,96.000
n144_adj/N144_rep3,144,2,0,7.879385242,1,0.111111,0.055556|0.055556,0.307338,,0.084343,96.000
n144_adj/N144_rep3,144,2,0,7.969615506,1,0.111111,0.055556|0.055556,0.326633,,0.069667,96.000
n144_adj/N144_rep3,144,2,0,8,1,0.055556,0.027778|0.027778,0.166667,,0.055556,144.000
n144_adj/N144_rep5,144,2,0,0.06271975585,2,0.000000,0.000000|0.000000,0.000000,,0.109251,inf
n144_adj/N144_rep5,144,2,0,0.2482064398,2,0.000000,0.000000|0.000000,0.000000,,0.123222,inf
n144_adj/N144_rep5,144,2,0,0.5485703744,2,0.000000,0.000000|0.000000,0.000000,,0.110786,inf
n144_adj/N144_rep5,144,2,0,0.6217917,1,0.491667,0.245833|0.245833,0.978283,,0.150832,21.140
n144_adj/N144_rep5,144,2,0,0.9510826605,2,0.000000,0.000000|0.000000,0.000000,,0.100078,74.667
n144_adj/N144_rep5,144,2,0,1.082366278,1,0.096583,0.048291|0.048291,0.606908,,0.183699,16.262
n144_adj/N144_rep5,144,2,0,1.159472285,1,0.000341,0.000170|0.000170,0.475905,,0.136702,14.172
n144_adj/N144_rep5,144,2,0,1.438784123,2,0.000000,0.000000|0.000000,0.000000,,0.100728,74.667
n144_adj/N144_rep5,144,2,0,1.753020396,2,0.000000,0.000000|0.000000,0.000000,,0.108722,74.667
n144_adj/N144_rep5,144,2,0,1.775778911,2,0.000000,0.000000|0.000000,0.000000,,0.111914,74.667
n144_adj/N144_rep5,144,2,0,1.826215223,2,0.000000,0.000000|0.000000,0.000000,,0.100293,74.667
n144_adj/N144_rep5,144,2,0,1.885252918,2,0.000000,0.000000|0.000000,0.000000,,0.100252,74.667
n144_adj/N144_rep5,144,2,0,1.991295167,2,0.000000,0.000000|0.000000,0.000000,,0.104334,74.667
n144_adj/N144_rep5,144,2,0,2,3,0.250000,0.125000|0.125000,0.750000,,0.107143,32.000
n144_adj/N144_rep5,144,2,0,2.054280166,1,0.125868,0.062934|0.062934,0.682839,,0.167368,18.446
n144_adj/N144_rep5,144,2,0,2.068168369,2,0.000000,0.000000|0.000000,0.000000,,0.123344,74.667
n144_adj/N144_rep5,144,2,0,2.102899453,1,0.511111,0.255555|0.255555,0.585961,,0.127778,18.034
n144_adj/N144_rep5,144,2,0,2.274073128,2,0.000000,0.000000|0.000000,0.000000,,0.100293,74.667
n144_adj/N144_rep5,144,2,0,2.307978528,2,0.000000,0.000000|0.000000,0.000000,,0.115167,74.667
n144_adj/N144_rep5,144,2,0,2.315028525,1,0.375483,0.187741|0.187741,0.954755,,0.107951,21.749
n144_adj/N144_rep5,144,2,0,2.52587979,1,0.037611,0.018806|0.018806,0.986578,,0.138078,10.716
n144_adj/N144_rep5,144,2,0,2.585786438,4,0.000000,0.000000|0.000000,0.000000,,0.157650,51.412
n144_adj/N144_rep5,144,2,0,2.643104132,2,0.000000,0.000000|0.000000,0.000000,,0.108722,74.667
n144_adj/N144_rep5,144,2,0,2.785395732,1,0.501181,0.250591|0.250591,0.946368,,0.105762,14.596
n144_adj/N144_rep5,144,2,0,2.860190367,1,0.084150,0.042075|0.042075,0.971570,,0.255927,12.408
n144_adj/N144_rep5,144,2,0,2.881378903,2,0.000000,0.000000|0.000000,0.000000,,0.104334,74.667
n144_adj/N144_rep5,144,2,0,3.096895159,2,0.000000,0.000000|0.000000,0.000000,,0.111914,74.667
n144_adj/N144_rep5,144,2,0,3.17431908,2,0.000000,0.000000|0.000000,0.000000,,0.100728,74.667
n144_adj/N144_rep5,144,2,0,3.198062264,2,0.000000,0.000000|0.000000,0.000000,,0.115167,74.667
n144_adj/N144_rep5,144,2,0,3.354843752,1,0.353879,0.176939|0.176939,0.765650,,0.090758,15.271
n144_adj/N144_rep5,144,2,0,3.445041868,2,0.000000,0.000000|0.000000,0.000000,,0.100078,74.667
n144_adj/N144_rep5,144,2,0,3.535876588,1,0.119052,0.059526|0.059526,0.526420,,0.168841,15.571
n144_adj/N144_rep5,144,2,0,3.548909799,1,0.386409,0.193204|0.193204,0.935429,,0.114896,19.146
n144_adj/N144_rep5,144,2,0,3.620787875,2,0.000000,0.000000|0.000000,0.000000,,0.100252,74.667
n144_adj/N144_rep5,144,2,0,3.675896304,2,0.000000,0.000000|0.000000,0.000000,,0.110786,74.667
n144_adj/N144_rep5,144,2,0,3.803703325,2,0.000000,0.000000|0.000000,0.000000,,0.123344,74.667
n144_adj/N144_rep5,144,2,0,3.852081911,2,0.000000,0.000000|0.000000,0.000000,,0.123222,74.667
n144_adj/N144_rep5,144,2,0,3.962431405,2,0.000000,0.000000|0.000000,0.000000,,0.109251,74.667
