N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
192,48,4,0,1.15,1.5,532577443,13690,1350,1.0,0.5999999999999996,0.5999999999999996,0.492786458333333,3000,4200,0.75,0.0,7615,1,1.0,48,0,144,48,0,0,0,0,8200,1,1.0,96,0,96,96,0,0,0,0,9035,1,1.0,144,0,48,144,0,0,0,0
192,48,4,1,1.15,1.5,233708387,26520,975,1.0,0.5999999999999996,0.5999999999999996,0.5363368055555552,13800,15000,0.75,0.0,9895,1,1.0,48,0,144,48,0,0,0,0,10350,1,1.0,96,0,96,96,0,0,0,0,10530,1,1.0,144,0,48,144,0,0,0,0
192,48,4,2,1.15,1.5,1584500850,4640,245,1.0,0.5999999999999996,0.5999999999999996,0.5386979166666663,1200,2400,0.75,0.08333333333333304,810,1,1.0,48,0,144,48,0,0,0,0,1295,1,1.0,96,0,96,96,0,0,0,0,1880,1,1.0,144,0,48,144,0,0,0,0
192,48,4,3,1.15,1.5,3681085742,10045,2385,1.0,0.5999999999999996,0.5999999999999996,0.5669618055555552,600,1800,0.75,0.0,6850,1,1.0,48,0,144,48,0,0,0,0,7265,1,1.0,96,0,96,96,0,0,0,0,7645,1,1.0,144,0,48,144,0,0,0,0
192,48,4,4,1.15,1.5,2466914897,5485,2355,1.0,0.5999999999999996,0.5999999999999996,0.5992013888888885,0,1200,0.75,0.0,2760,1,1.0,48,0,144,48,0,0,0,0,3405,1,1.0,100,0,92,100,0,0,0,0,3970,1,1.0,148,0,44,148,0,0,0,0
192,48,4,5,1.15,1.5,507372403,14225,4295,1.0,0.5999999999999996,0.5999999999999996,0.5327951388888885,7200,8400,0.75,0.0,4475,1,1.0,52,0,140,52,0,0,0,0,4890,1,1.0,96,0,96,96,0,0,0,0,5175,1,1.0,144,0,48,144,0,0,0,0
192,48,4,6,1.15,1.5,1312572641,10410,2295,1.0,0.5999999999999996,0.5999999999999996,0.5968055555555551,0,1800,0.75,0.0,2525,1,1.0,48,0,144,48,0,0,0,0,2845,1,1.0,96,0,96,96,0,0,0,0,3225,1,1.0,144,0,48,144,0,0,0,0
192,48,4,7,1.15,1.5,2175220710,5860,1810,1.0,0.5999999999999996,0.5999999999999996,0.5920138888888885,0,1800,0.75,0.0,2160,2,0.8478260869565217,46,0,145,46,1,0,0,0,2725,1,1.0,96,0,96,96,0,0,0,0,3035,1,1.0,144,0,48,144,0,0,0,0
192,48,4,8,1.15,1.5,1733402777,9960,4400,1.0,0.5999999999999996,0.5999999999999996,0.5372222222222218,2400,3600,0.75,0.0,5105,1,1.0,48,0,144,48,0,0,0,0,5440,1,1.0,96,0,96,96,0,0,0,0,5770,1,1.0,144,0,48,144,0,0,0,0
192,48,4,9,1.15,1.5,778795330,13140,9365,1.0,0.5999999999999996,0.5999999999999996,0.5871180555555552,0,1800,0.75,0.0,9645,1,1.0,48,0,144,48,0,0,0,0,10180,1,1.0,96,0,96,96,0,0,0,0,10730,1,1.0,144,0,48,144,0,0,0,0
192,48,4,10,1.15,1.5,2476507439,33260,1115,1.0,0.5999999999999996,0.5999999999999996,0.5389930555555552,16200,17400,0.75,0.0,14790,1,1.0,48,0,144,48,0,0,0,0,15165,1,1.0,104,0,88,104,0,0,0,0,15430,1,1.0,144,0,48,144,0,0,0,0
192,48,4,11,1.15,1.5,2995907001,11830,8220,1.0,0.5999999999999996,0.5999999999999996,0.5920138888888885,0,1800,0.75,0.0,8485,1,1.0,48,0,144,48,0,0,0,0,9185,1,1.0,96,0,96,96,0,0,0,0,9525,1,1.0,144,0,48,144,0,0,0,0
192,48,4,12,1.15,1.5,1481223612,19960,2890,1.0,0.5999999999999996,0.5999999999999996,0.5389930555555552,12000,13200,0.75,0.0,5440,1,1.0,48,0,144,48,0,0,0,0,5810,1,1.0,96,0,96,96,0,0,0,0,6370,1,1.0,144,0,48,144,0,0,0,0
192,48,4,13,1.15,1.5,2482596003,22830,5540,1.0,0.5999999999999996,0.5999999999999996,0.5386979166666663,13200,14400,0.75,0.0,6545,2,0.8333333333333334,48,0,144,48,0,0,0,0,7060,1,1.0,96,0,96,96,0,0,0,0,7750,1,1.0,144,0,48,144,0,0,0,0
192,48,4,14,1.15,1.5,465642408,38655,9040,1.0,0.5999999999999996,0.5999999999999996,0.5369270833333329,17400,18600,0.75,0.0,9260,1,1.0,48,0,144,48,0,0,0,0,9890,1,1.0,96,0,96,96,0,0,0,0,10230,1,1.0,144,0,48,144,0,0,0,0
192,48,4,15,1.15,1.5,94217764,21765,715,1.0,0.5999999999999996,0.5999999999999996,0.5319097222222219,17400,19200,0.75,0.0,1360,1,1.0,48,0,144,48,0,0,0,0,1590,1,1.0,96,0,96,96,0,0,0,0,2185,1,1.0,144,0,48,144,0,0,0,0
192,48,4,16,1.15,1.5,1642429136,9710,1665,1.0,0.5999999999999996,0.5999999999999996,0.5378124999999997,5400,6600,0.75,0.0,1835,1,1.0,48,0,144,48,0,0,0,0,2265,1,1.0,96,0,96,96,0,0,0,0,2785,1,1.0,144,0,48,144,0,0,0,0
192,48,4,17,1.15,1.5,32296888,15110,1395,1.0,0.5999999999999996,0.5999999999999996,0.5319618055555552,8400,10200,0.75,0.0,1585,1,1.0,52,0,140,52,0,0,0,0,1850,1,1.0,96,0,96,96,0,0,0,0,2510,1,1.0,144,0,48,144,0,0,0,0
192,48,4,18,1.15,1.5,1384953220,24075,1180,1.0,0.5999999999999996,0.5999999999999996,0.5190624999999996,18600,20400,0.75,0.0,1990,1,1.0,48,0,144,48,0,0,0,0,2275,1,1.0,96,0,96,96,0,0,0,0,2880,1,1.0,144,0,48,144,0,0,0,0
192,48,4,19,1.15,1.5,3986428839,26750,890,1.0,0.5999999999999996,0.5999999999999996,0.5357465277777774,22200,24000,0.75,0.0,1225,1,1.0,48,0,144,48,0,0,0,0,1745,1,1.0,100,0,92,100,0,0,0,0,2345,1,1.0,144,0,48,144,0,0,0,0
192,48,4,20,1.15,1.5,77417821,14480,325,1.0,0.5999999999999996,0.5999999999999996,0.5386979166666663,10800,12600,0.75,0.0,660,1,1.0,48,0,144,48,0,0,0,0,960,1,1.0,96,0,96,96,0,0,0,0,1320,1,1.0,148,0,44,148,0,0,0,0
192,48,4,21,1.15,1.5,1321047434,9090,3820,1.0,0.5999999999999996,0.5999999999999996,0.5375173611111107,1800,3600,0.75,0.0,4115,1,1.0,48,0,144,48,0,0,0,0,4635,1,1.0,96,0,96,96,0,0,0,0,4895,1,1.0,144,0,48,144,0,0,0,0
192,48,4,22,1.15,1.5,351200507,6300,1890,1.0,0.5999999999999996,0.5999999999999996,0.5392881944444441,1800,3000,0.75,0.0,2145,1,1.0,48,0,144,48,0,0,0,0,2550,1,1.0,100,0,92,100,0,0,0,0,2905,1,1.0,144,0,48,144,0,0,0,0
192,48,4,23,1.15,1.5,2602125282,13275,1260,1.0,0.5999999999999996,0.5999999999999996,0.529270833333333,2400,4200,0.75,0.0,3075,1,1.0,48,0,144,48,0,0,0,0,3400,1,1.0,96,0,96,96,0,0,0,0,3840,1,1.0,144,0,48,144,0,0,0,0
192,48,4,24,1.15,1.5,4080029185,200200,270,1.0104166666666667,0.5749999999999996,0.5999999999999996,0.5749999999999996,0,100200,0.75,0.0,6135,3,0.9,40,0,148,40,4,0,0,0,7355,3,0.9545454545454546,88,0,100,88,4,0,0,0,10270,3,0.9705882352941176,136,0,52,136,4,0,0,0
192,48,4,25,1.15,1.5,4271309183,8805,925,1.0,0.5999999999999996,0.5999999999999996,0.5354513888888885,5400,6600,0.75,0.0,1295,1,1.0,48,0,144,48,0,0,0,0,1635,1,1.0,96,0,96,96,0,0,0,0,1890,1,1.0,144,0,48,144,0,0,0,0
192,48,4,26,1.15,1.5,2106051887,41510,5735,1.0,0.5999999999999996,0.5999999999999996,0.5386979166666663,22200,23400,0.75,0.0,5985,1,1.0,48,0,144,48,0,0,0,0,6465,1,1.0,96,0,96,96,0,0,0,0,6770,1,1.0,144,0,48,144,0,0,0,0
192,48,4,27,1.15,1.5,1721106740,45825,2835,1.0,0.5999999999999996,0.5999999999999996,0.526458333333333,40200,41400,0.75,0.0,3385,1,1.0,48,0,144,48,0,0,0,0,3800,1,1.0,96,0,96,96,0,0,0,0,4170,1,1.0,144,0,48,144,0,0,0,0
192,48,4,28,1.15,1.5,3375985451,16070,7850,1.0,0.5999999999999996,0.5999999999999996,0.539583333333333,5400,6600,0.75,0.0,8260,1,1.0,48,0,144,48,0,0,0,0,8600,1,1.0,96,0,96,96,0,0,0,0,9155,1,1.0,144,0,48,144,0,0,0,0
192,48,4,29,1.15,1.5,173884303,12615,320,1.0,0.5999999999999996,0.5999999999999996,0.5378124999999997,6600,8400,0.75,0.0,2285,1,1.0,48,0,144,48,0,0,0,0,3160,1,1.0,100,0,92,100,0,0,0,0,3860,1,1.0,144,0,48,144,0,0,0,0
192,48,4,30,1.15,1.5,1802389761,101575,2220,1.0,0.5999999999999996,0.5999999999999996,0.5392881944444441,76200,77400,0.75,0.0,2555,1,1.0,48,0,144,48,0,0,0,0,2955,2,0.9166666666666666,96,0,96,96,0,0,0,0,3260,1,1.0,144,0,48,144,0,0,0,0
192,48,4,31,1.15,1.5,1274521516,8310,3135,1.0,0.5999999999999996,0.5999999999999996,0.5389930555555552,1800,3000,0.75,0.0,3395,1,1.0,48,0,144,48,0,0,0,0,4150,1,1.0,96,0,96,96,0,0,0,0,4515,1,1.0,144,0,48,144,0,0,0,0
192,48,4,32,1.15,1.5,2392863382,16360,2950,1.0,0.5999999999999996,0.5999999999999996,0.5165104166666663,8400,10200,0.75,0.0,4775,1,1.0,52,0,140,52,0,0,0,0,5030,1,1.0,96,0,96,96,0,0,0,0,5515,1,1.0,144,0,48,144,0,0,0,0
192,48,4,33,1.15,1.5,4214655092,4695,595,1.0,0.5999999999999996,0.5999999999999996,0.595208333333333,0,1800,0.75,0.0,1480,1,1.0,52,0,140,52,0,0,0,0,2000,1,1.0,96,0,96,96,0,0,0,0,2600,1,1.0,144,0,48,144,0,0,0,0
192,48,4,34,1.15,1.5,1521948030,4855,810,1.0,0.5999999999999996,0.5999999999999996,0.5960069444444441,0,1800,0.75,0.0,2005,1,1.0,48,0,144,48,0,0,0,0,2380,1,1.0,96,0,96,96,0,0,0,0,2690,1,1.0,148,0,44,148,0,0,0,0
192,48,4,35,1.15,1.5,667691992,6765,3445,1.0,0.5999999999999996,0.5999999999999996,0.5748958333333329,0,1800,0.75,0.0,3925,1,1.0,48,0,144,48,0,0,0,0,4240,1,1.0,96,0,96,96,0,0,0,0,4590,1,1.0,144,0,48,144,0,0,0,0
