N,points,protocol,budget_per_point,replica,folded,flat,melted,folded_share,phi_end,h_end_per_point,drift,symmetries_end,d0,d1,d2,d3,d4,d5,d6
64,named,single,0.5,0,0,56,8,0.0,0.96875,0.5,0.0,1,0,0,56,8,0,0,0
64,named,single,0.5,1,0,56,8,0.0,0.96875,0.5,0.0,1,0,0,56,8,0,0,0
64,named,single,0.5,2,0,57,7,0.0,0.96875,0.5,0.0,1,0,0,57,6,1,0,0
64,named,single,0.5,3,0,60,4,0.0,0.984375,0.484375,0.0,1,0,0,60,4,0,0,0
64,named,single,0.5,4,0,56,8,0.0,0.96875,0.5,0.0,1,0,0,56,8,0,0,0
64,named,single,0.5,5,0,57,7,0.0,0.96875,0.5,0.0,1,0,0,57,6,1,0,0
64,named,single,1.0,0,1,50,13,0.07142857142857142,0.953125,0.984375,0.0,1,0,1,50,13,0,0,0
64,named,single,1.0,1,2,52,10,0.16666666666666666,0.96875,0.890625,0.0,1,0,2,52,10,0,0,0
64,named,single,1.0,2,2,53,9,0.18181818181818182,0.96875,0.96875,0.0,1,0,2,53,8,1,0,0
64,named,single,1.0,3,0,52,12,0.0,0.953125,0.984375,0.0,1,0,0,52,12,0,0,0
64,named,single,1.0,4,4,52,8,0.3333333333333333,0.984375,0.875,0.0,1,0,4,52,8,0,0,0
64,named,single,1.0,5,1,51,12,0.07692307692307693,0.953125,0.984375,0.0,1,0,1,51,11,1,0,0
64,named,single,2.0,0,3,36,25,0.10714285714285714,0.90625,1.96875,0.0,1,0,3,36,23,2,0,0
64,named,single,2.0,1,3,40,21,0.125,0.921875,1.953125,0.0,1,0,3,40,19,2,0,0
64,named,single,2.0,2,7,40,17,0.2916666666666667,0.953125,2.0,0.0,1,0,7,40,15,2,0,0
64,named,single,2.0,3,1,40,23,0.041666666666666664,0.890625,1.984375,0.0,1,0,1,40,18,4,1,0
64,named,single,2.0,4,0,41,23,0.0,0.90625,1.890625,0.0,1,0,0,41,22,1,0,0
64,named,single,2.0,5,3,36,25,0.10714285714285714,0.90625,1.96875,0.0,1,0,3,36,23,2,0,0
64,named,single,4.0,0,4,22,38,0.09523809523809523,0.796875,3.953125,0.0,1,0,4,22,21,16,1,0
64,named,single,4.0,1,1,19,44,0.022222222222222223,0.765625,3.984375,0.0,1,0,1,19,28,15,1,0
64,named,single,4.0,2,0,25,39,0.0,0.796875,3.875,0.0,1,0,0,25,28,9,2,0
64,named,single,4.0,3,1,20,43,0.022727272727272728,0.796875,3.796875,0.0,1,0,1,20,33,10,0,0
64,named,single,4.0,4,1,26,37,0.02631578947368421,0.796875,3.875,0.0,1,0,1,26,24,10,3,0
64,named,single,4.0,5,0,19,45,0.0,0.765625,3.984375,0.0,1,0,0,19,30,15,0,0
64,named,bath,2.0,0,5,50,9,0.35714285714285715,0.984375,0.875,0.0,1,0,5,50,9,0,0,0
64,named,bath,2.0,1,0,56,8,0.0,0.96875,0.5,0.0,1,0,0,56,8,0,0,0
64,named,bath,2.0,2,0,56,8,0.0,0.96875,0.5,0.0,1,0,0,56,8,0,0,0
64,named,bath,2.0,3,2,55,7,0.2222222222222222,0.984375,0.875,0.0,1,1,1,55,7,0,0,0
64,named,bath,2.0,4,0,56,8,0.0,0.96875,0.5,0.0,1,0,0,56,8,0,0,0
64,named,bath,2.0,5,6,52,6,0.5,1.0,0.859375,0.0,1,0,6,52,6,0,0,0
64,named,bath,4.0,0,0,48,16,0.0,0.9375,1.0,0.0,1,0,0,48,16,0,0,0
64,named,bath,4.0,1,2,56,6,0.25,0.984375,0.484375,0.0,1,0,2,56,6,0,0,0
64,named,bath,4.0,2,0,48,16,0.0,0.9375,1.078125,0.0,1,0,0,48,16,0,0,0
64,named,bath,4.0,3,10,44,10,0.5,1.0,0.78125,0.0,1,0,10,44,10,0,0,0
64,named,bath,4.0,4,2,44,18,0.1,0.9375,1.3125,0.0,1,0,2,44,18,0,0,0
64,named,bath,4.0,5,0,52,12,0.0,0.953125,0.984375,0.0,1,0,0,52,12,0,0,0
64,named,bath,8.0,0,0,36,28,0.0,0.875,2.390625,0.0,1,0,0,36,24,4,0,0
64,named,bath,8.0,1,2,37,25,0.07407407407407407,0.890625,2.0625,0.0,1,0,2,37,20,5,0,0
64,named,bath,8.0,2,4,41,19,0.17391304347826086,0.9375,1.625,0.0,1,0,4,41,18,1,0,0
64,named,bath,8.0,3,5,26,33,0.13157894736842105,0.875,2.625,0.0,1,0,5,26,30,2,1,0
64,named,bath,8.0,4,2,32,30,0.0625,0.875,2.390625,0.0,1,0,2,32,26,4,0,0
64,named,bath,8.0,5,1,33,30,0.03225806451612903,0.875,2.390625,0.0,1,0,1,33,27,3,0,0
64,named,bath,16.0,0,1,14,49,0.02,0.6875,5.390625,0.0,1,0,1,14,23,20,6,0
64,named,bath,16.0,1,0,8,56,0.0,0.625,6.078125,0.0,1,0,0,8,25,23,7,1
64,named,bath,16.0,2,0,20,44,0.0,0.765625,4.0625,0.0,1,0,0,20,29,14,1,0
64,named,bath,16.0,3,1,11,52,0.018867924528301886,0.75,4.546875,0.0,1,0,1,11,39,13,0,0
64,named,bath,16.0,4,3,12,49,0.057692307692307696,0.71875,5.046875,0.0,1,0,3,12,30,13,5,1
64,named,bath,16.0,5,0,8,56,0.0,0.65625,5.890625,0.0,1,0,0,8,31,18,7,0
