N,protocol,points,E,achieved,radius,leak,local_heat,replica,block,sweep,h,folded,flat,melted,d0,d1,d2,d3,d4,d5,d6,pieces_folded,largest_folded,pieces_damage,largest_damage,stores_total,stores_max,lost,drift,symmetries,final
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,36,3600,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,37,3700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,38,3800,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,39,3900,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,0,40,4000,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,True
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,0,0,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,1,100,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,4,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,2,200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,3,300,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,4,400,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,5,500,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,6,600,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,7,700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,8,800,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,9,900,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,10,1000,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,11,1100,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,12,1200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,13,1300,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,14,1400,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,15,1500,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,16,1600,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,17,1700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,18,1800,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,19,1900,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,20,2000,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,21,2100,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,22,2200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,23,2300,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,24,2400,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,25,2500,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,26,2600,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,27,2700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,28,2800,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
