N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,0,1.2,1.5,1500642930,16900,435,1.0,0.7999999999999998,0.7999999999999998,0.5941666666666665,15000,16200,0.75,0.0,455,1,1.0,16,0,48,16,0,0,0,0,515,1,1.0,32,0,32,32,0,0,0,0,585,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1,1.2,1.5,3226384757,6735,555,1.0,0.7999999999999998,0.7999999999999998,0.5966666666666665,4800,6000,0.75,0.0,565,1,1.0,16,0,48,16,0,0,0,0,610,1,1.0,32,0,32,32,0,0,0,0,660,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2,1.2,1.5,81527682,13650,1825,1.0,0.7999999999999998,0.7999999999999998,0.5983333333333332,9000,10800,0.75,0.0,2690,1,1.0,16,0,48,16,0,0,0,0,2725,1,1.0,32,0,32,32,0,0,0,0,2770,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3,1.2,1.5,3123719266,2595,650,1.0,0.7999999999999998,0.7999999999999998,0.7370833333333332,600,1800,0.75,0.0,660,1,1.0,16,0,48,16,0,0,0,0,695,1,1.0,44,0,20,44,0,0,0,0,715,1,1.0,48,0,16,48,0,0,0,0
64,16,4,4,1.2,1.5,2413046449,4660,1860,1.0,0.7999999999999998,0.7999999999999998,0.7974999999999999,0,1200,0.75,0.0,3190,1,1.0,20,0,44,20,0,0,0,0,3235,1,1.0,32,0,32,32,0,0,0,0,3270,1,1.0,48,0,16,48,0,0,0,0
64,16,4,5,1.2,1.5,3954079210,15235,,1.0,0.7999999999999998,0.7999999999999998,0.5958333333333332,13200,15000,0.75,0.875,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0
64,16,4,6,1.2,1.5,353745938,7005,610,1.0,0.7999999999999998,0.7999999999999998,0.7008333333333332,600,1800,0.75,0.0,5100,1,1.0,16,0,48,16,0,0,0,0,5135,1,1.0,32,0,32,32,0,0,0,0,5160,1,1.0,48,0,16,48,0,0,0,0
64,16,4,7,1.2,1.5,2426910376,10555,3860,1.0,0.7999999999999998,0.7999999999999998,0.5983333333333332,5400,6600,0.75,0.0,3875,1,1.0,16,0,48,16,0,0,0,0,3890,1,1.0,32,0,32,32,0,0,0,0,3935,1,1.0,48,0,16,48,0,0,0,0
64,16,4,8,1.2,1.5,1027200239,4195,2815,1.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0,1200,0.75,0.0,2825,1,1.0,16,0,48,16,0,0,0,0,2840,1,1.0,32,0,32,32,0,0,0,0,2910,1,1.0,48,0,16,48,0,0,0,0
64,16,4,9,1.2,1.5,1142549362,2795,840,1.0,0.7999999999999998,0.7999999999999998,0.7749999999999998,0,1800,0.75,0.0,850,1,1.0,16,0,48,16,0,0,0,0,915,1,1.0,32,0,32,32,0,0,0,0,960,1,1.0,48,0,16,48,0,0,0,0
64,16,4,10,1.2,1.5,1828899791,5055,510,1.0,0.7999999999999998,0.7999999999999998,0.5958333333333332,3000,4200,0.75,0.0,550,1,1.0,16,0,48,16,0,0,0,0,670,1,1.0,32,0,32,32,0,0,0,0,780,1,1.0,48,0,16,48,0,0,0,0
64,16,4,11,1.2,1.5,3172218463,4030,2065,1.0,0.7999999999999998,0.7999999999999998,0.7924999999999999,0,1800,0.75,0.0,2065,4,0.25,8,0,52,8,4,0,0,0,2175,1,1.0,32,0,32,32,0,0,0,0,2205,1,1.0,48,0,16,48,0,0,0,0
64,16,4,12,1.2,1.5,3238202397,6260,1090,1.0,0.7999999999999998,0.7999999999999998,0.5720833333333332,1800,3000,0.75,0.0,3190,1,1.0,20,0,44,20,0,0,0,0,3205,1,1.0,32,0,32,32,0,0,0,0,3245,1,1.0,52,0,12,52,0,0,0,0
64,16,4,13,1.2,1.5,88828034,7050,205,1.0,0.7999999999999998,0.7999999999999998,0.5933333333333332,5400,6600,0.75,0.9375,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0
64,16,4,14,1.2,1.5,2520127093,7730,2035,1.0,0.7999999999999998,0.7999999999999998,0.5949999999999998,4200,5400,0.75,0.0,2060,1,1.0,16,0,48,16,0,0,0,0,2085,1,1.0,32,0,32,32,0,0,0,0,2125,1,1.0,48,0,16,48,0,0,0,0
64,16,4,15,1.2,1.5,295705006,1945,510,1.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0,1200,0.75,0.0,530,1,1.0,16,0,48,16,0,0,0,0,595,1,1.0,32,0,32,32,0,0,0,0,655,1,1.0,52,0,12,52,0,0,0,0
64,16,4,16,1.2,1.5,1688750069,2480,535,1.0,0.7999999999999998,0.7999999999999998,0.7899999999999998,0,1800,0.75,0.0,560,1,1.0,16,0,48,16,0,0,0,0,650,1,1.0,32,0,32,32,0,0,0,0,670,1,1.0,52,0,12,52,0,0,0,0
64,16,4,17,1.2,1.5,3050212190,2685,665,1.0,0.7999999999999998,0.7999999999999998,0.7949999999999998,0,1800,0.75,0.0,715,1,1.0,16,0,48,16,0,0,0,0,760,1,1.0,32,0,32,32,0,0,0,0,825,1,1.0,48,0,16,48,0,0,0,0
64,16,4,18,1.2,1.5,979739276,126985,1535,1.0,0.5999999999999999,0.7999999999999998,0.49374999999999986,12000,100200,0.75,0.0,1535,4,0.25,8,0,52,8,4,0,0,0,1690,3,0.8333333333333334,24,0,36,24,4,0,0,0,2000,3,0.9,40,0,20,40,4,0,0,0
64,16,4,19,1.2,1.5,1963443800,7225,4130,1.0,0.7999999999999998,0.7999999999999998,0.5691666666666664,1800,3000,0.75,0.0,4140,1,1.0,16,0,48,16,0,0,0,0,4165,1,1.0,32,0,32,32,0,0,0,0,4205,1,1.0,52,0,12,52,0,0,0,0
64,16,4,20,1.2,1.5,4063859319,6745,3615,1.0,0.7999999999999998,0.7999999999999998,0.5933333333333332,1800,3000,0.75,0.0,3635,1,1.0,20,0,44,20,0,0,0,0,3675,1,1.0,32,0,32,32,0,0,0,0,3730,1,1.0,48,0,16,48,0,0,0,0
64,16,4,21,1.2,1.5,3605272353,4360,3030,1.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0,1200,0.75,0.0,3040,1,1.0,16,0,48,16,0,0,0,0,3070,1,1.0,32,0,32,32,0,0,0,0,3115,1,1.0,48,0,16,48,0,0,0,0
64,16,4,22,1.2,1.5,3480078240,6415,1475,1.0,0.7999999999999998,0.7999999999999998,0.5949999999999998,3600,4800,0.75,0.0,1485,1,1.0,16,0,48,16,0,0,0,0,1530,1,1.0,36,0,28,36,0,0,0,0,1585,1,1.0,48,0,16,48,0,0,0,0
64,16,4,23,1.2,1.5,1206545720,7580,645,1.0,0.7999999999999998,0.7999999999999998,0.5991666666666665,4200,5400,0.75,0.0,2055,1,1.0,16,0,48,16,0,0,0,0,2070,1,1.0,32,0,32,32,0,0,0,0,2100,1,1.0,48,0,16,48,0,0,0,0
64,16,4,24,1.2,1.5,4204898875,7985,395,1.0,0.7999999999999998,0.7999999999999998,0.7837499999999998,0,1800,0.75,0.0,6050,1,1.0,16,0,48,16,0,0,0,0,6080,1,1.0,32,0,32,32,0,0,0,0,6130,1,1.0,48,0,16,48,0,0,0,0
64,16,4,25,1.2,1.5,1013105185,3600,1845,1.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0,1200,0.75,0.0,1870,1,1.0,12,0,50,12,2,0,0,0,2055,1,1.0,32,0,32,32,0,0,0,0,2100,1,1.0,48,0,16,48,0,0,0,0
64,16,4,26,1.2,1.5,777627612,12250,865,1.0,0.7999999999999998,0.7999999999999998,0.5845833333333332,8400,9600,0.75,0.0,2435,1,1.0,16,0,48,16,0,0,0,0,2510,1,1.0,32,0,32,32,0,0,0,0,2625,1,1.0,48,0,16,48,0,0,0,0
64,16,4,27,1.2,1.5,1111695361,6635,480,1.0,0.7999999999999998,0.7999999999999998,0.5999999999999999,4800,6000,0.75,0.0,495,1,1.0,16,0,48,16,0,0,0,0,555,1,1.0,36,0,28,36,0,0,0,0,595,1,1.0,48,0,16,48,0,0,0,0
64,16,4,28,1.2,1.5,20028403,9275,430,1.0,0.7999999999999998,0.7999999999999998,0.5799999999999997,6000,7200,0.75,0.0,1825,1,1.0,16,0,48,16,0,0,0,0,1890,1,1.0,32,0,32,32,0,0,0,0,1930,1,1.0,52,0,12,52,0,0,0,0
64,16,4,29,1.2,1.5,2150120794,9700,5700,1.0,0.7999999999999998,0.7999999999999998,0.7766666666666665,0,1800,0.75,0.0,7800,1,1.0,16,0,48,16,0,0,0,0,7835,1,1.0,36,0,28,36,0,0,0,0,7855,1,1.0,48,0,16,48,0,0,0,0
64,16,4,30,1.2,1.5,2386085528,4315,1765,1.0,0.7999999999999998,0.7999999999999998,0.5908333333333331,1200,2400,0.75,0.0,1785,1,1.0,24,0,40,24,0,0,0,0,1810,1,1.0,32,0,32,32,0,0,0,0,1845,1,1.0,48,0,16,48,0,0,0,0
64,16,4,31,1.2,1.5,480185834,3075,1275,1.0,0.7999999999999998,0.7999999999999998,0.6741666666666665,600,1800,0.75,0.9375,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0
64,16,4,32,1.2,1.5,770335788,13725,8790,1.0,0.7999999999999998,0.7999999999999998,0.5941666666666665,3600,4800,0.75,0.0,8805,1,1.0,20,0,44,20,0,0,0,0,8825,1,1.0,32,0,32,32,0,0,0,0,8875,1,1.0,48,0,16,48,0,0,0,0
64,16,4,33,1.2,1.5,254933179,2140,205,1.0,0.7999999999999998,0.7999999999999998,0.7824999999999999,0,1800,0.75,0.375,205,1,1.0,32,0,32,32,0,0,0,0,205,1,1.0,32,0,32,32,0,0,0,0,285,1,1.0,48,0,16,48,0,0,0,0
64,16,4,34,1.2,1.5,118999480,11010,4125,1.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0,1200,0.75,0.0,8795,1,1.0,16,0,48,16,0,0,0,0,8885,1,1.0,32,0,32,32,0,0,0,0,8925,1,1.0,48,0,16,48,0,0,0,0
