N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g,energy
64,0,1625,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1650,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1675,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1700,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1725,1.03125,0.21875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.59375
64,0,1750,1.015625,0.203125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.765625
64,0,1775,1.015625,0.203125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.765625
64,0,1800,1.015625,0.203125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.765625
64,0,1825,1.015625,0.203125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.765625
64,0,1850,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,1875,1.0,0.15625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.78125
64,0,1900,1.0,0.15625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.78125
64,0,1925,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,1950,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,1975,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2000,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2025,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2050,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2075,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2100,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2125,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2150,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2175,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2200,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2225,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2250,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2275,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2300,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2325,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2350,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2375,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2400,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2425,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2450,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2475,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2500,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2525,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2550,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2575,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2600,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2625,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2650,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2675,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2700,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2725,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2750,1.0,0.140625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.703125
64,0,2775,1.0,0.15625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.78125
64,0,2800,1.0,0.15625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.78125
64,0,2825,0.984375,0.125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.875
64,0,2850,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,2875,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.890625
64,0,2900,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.890625
64,0,2925,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.890625
64,0,2950,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.890625
64,0,2975,0.96875,0.078125,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.890625
64,0,3000,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3025,0.96875,0.046875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.734375
64,0,3050,0.96875,0.046875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.734375
64,0,3075,0.96875,0.046875,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.734375
64,0,3100,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3125,0.96875,0.0625,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.8125
64,0,3150,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3175,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3200,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3225,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3250,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3275,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3300,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3325,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3350,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3375,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3400,0.984375,0.109375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.796875
64,0,3425,0.984375,0.109375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.796875
64,0,3450,0.984375,0.109375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.796875
64,0,3475,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3500,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3525,0.984375,0.09375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.71875
64,0,3550,0.984375,0.109375,1,1.0,0.0,0.0,16,4,1.25,none,1.5,0.796875
