N,D,replica,leg,g,ln_g,squares_per_vertex,spv_err,phi,acceptance,tau_int,surplus,lam
500,3,0,cool,31.748,3.457829731228629,1.6738000000000002,0.0018780048023623428,0.13948333333333332,0.6987195,0.5971215553327256,2e-06,1.0
500,3,0,cool,31.3512,3.445252543858326,1.679792,0.0024273240277342357,0.13998266666666667,0.69597225,0.48671096043201767,4e-06,1.0
500,3,0,cool,30.9543,3.432511923244339,1.685468,0.002354086256282045,0.14045566666666667,0.69315275,0.5496014130960694,4e-06,1.0
500,3,0,cool,30.5575,3.419610154669281,1.693372,0.0021758610564316825,0.14111433333333334,0.6902595,0.5167476666365535,2e-06,1.0
500,3,0,cool,30.1606,3.4065364368410784,1.701264,0.0023189200576130245,0.14177199999999998,0.686798,0.54549874001637,2e-06,1.0
500,3,0,cool,29.7638,3.3932928899854935,1.7077360000000001,0.0016292143084861482,0.14231133333333335,0.68394275,0.6213858179745293,4e-06,1.0
500,3,0,cool,29.3669,3.379868189758917,1.716844,0.0019911074135003396,0.14307033333333333,0.68036525,0.5783405055520477,2e-06,1.0
500,3,0,cool,28.9701,3.3662642636220395,1.72196,0.0024381246747449195,0.14349666666666666,0.6773025,0.5365163971519552,3e-06,1.0
500,3,0,cool,28.5732,3.3524692155708027,1.7378920000000002,0.002606973021405475,0.14482433333333333,0.6730095,0.6757922957035457,4e-06,1.0
500,3,0,cool,28.1764,3.3384847481323545,1.7455120000000002,0.002435088787723349,0.14545933333333333,0.6698655,0.5669124173733238,2e-06,1.0
500,3,0,cool,27.7795,3.3242983386041063,1.7601720000000003,0.0018509467245234363,0.146681,0.665606,0.5585853528222052,3e-06,1.0
500,3,0,cool,27.3827,3.309911427124086,1.7688920000000004,0.002219571998742089,0.14740766666666666,0.66199,0.6296671150438897,5e-06,1.0
500,3,0,cool,26.9858,3.2953108017308543,1.781484,0.0020379088157972203,0.148457,0.65831725,0.5956772972704829,4e-06,1.0
500,3,0,cool,26.589,3.2804975964243703,1.786576,0.0028787262597086277,0.14888133333333334,0.65362125,0.7167198093733322,5e-06,1.0
500,3,0,cool,26.1921,3.265457838581173,1.797128,0.002003783350588586,0.14976066666666665,0.649955,0.5690315371992506,5e-06,1.0
500,3,0,cool,25.7953,3.2501923047898673,1.8107000000000002,0.0015802419821584293,0.15089166666666667,0.64539775,0.614337351042707,6e-06,1.0
500,3,0,cool,25.3984,3.2346861799144193,1.82104,0.0028476895095469897,0.15175333333333332,0.64163425,0.5895245026496325,2e-06,1.0
500,3,0,cool,25.0016,3.218939822820288,1.8330320000000002,0.0021732036231296974,0.15275266666666665,0.63700725,0.5730720267365683,1e-06,1.0
500,3,0,cool,24.6047,3.202937481599839,1.8472080000000002,0.0022019410661831933,0.15393400000000002,0.63226525,0.6696364882878997,4e-06,1.0
500,3,0,cool,24.2079,3.1866790261716385,1.8614000000000002,0.002120341330469225,0.15511666666666668,0.62637225,0.5645146622775922,4e-06,1.0
