n,budget_per_point,replica,acceptance,h_per_point,demon_end,temperature,squares,surplus,curled,flat,melted,d0,d1,d2,d3,d4,d5,d6
144,0.5,0,0.0002,0.4722222222222222,4.0,5.097727239116331,141,4,1,130,13,0,1,130,13,0,0,0
144,0.5,1,0.0002,0.4791666666666667,3.0,5.430690490479158,140,1,0,129,15,0,0,129,14,1,0,0
144,0.5,2,0.0001,0.4375,9.0,7.089547751308218,141,3,1,130,13,0,1,130,13,0,0,0
144,1.0,0,0.0006,0.9791666666666666,3.0,4.509731792908408,138,9,3,116,25,0,3,116,23,2,0,0
144,1.0,1,0.0005,0.9861111111111112,2.0,4.2329018871680235,137,6,1,116,27,0,1,116,25,2,0,0
144,1.0,2,0.0007,0.9791666666666666,3.0,4.748131834251008,138,9,2,117,25,0,2,117,24,1,0,0
144,2.0,0,0.0027,1.9861111111111112,2.0,4.191909987869859,133,22,12,82,50,0,12,82,44,6,0,0
144,2.0,1,0.0032,2.0,0.0,4.6190376681131555,131,16,3,89,52,0,3,89,49,3,0,0
144,2.0,2,0.0028,1.9097222222222223,13.0,5.086897577072655,129,7,2,84,58,0,2,84,54,4,0,0
144,4.0,0,0.0153,3.9722222222222223,4.0,6.022483892388807,112,12,1,45,98,0,1,45,69,27,2,0
144,4.0,1,0.0158,4.0,0.0,5.904826834652166,113,16,4,42,98,0,4,42,72,22,4,0
144,4.0,2,0.0157,4.0,0.0,5.711835078554753,113,16,6,42,96,0,6,42,67,24,5,0
144,8.0,0,0.1522,7.958333333333333,6.0,7.387626667891417,73,2,0,11,133,0,0,11,34,55,36,8
144,8.0,1,0.1525,7.923611111111111,11.0,7.508049619033019,73,1,0,4,140,0,0,4,40,67,22,11
144,8.0,2,0.152,7.951388888888889,7.0,7.423976524040474,74,5,0,6,138,0,0,6,39,61,33,5
144,16.0,0,0.8936,13.555555555555555,352.0,307.90023376877167,22,0,0,0,144,0,0,0,0,15,58,71
144,16.0,1,0.8939,13.333333333333334,384.0,308.8267540681649,24,0,0,0,144,0,0,0,2,17,56,69
144,16.0,2,0.894,14.666666666666666,192.0,308.50924712554826,12,0,0,0,144,0,0,0,0,2,44,98
160,0.5,0,0.0001,0.49375,1.0,4.605264459885067,156,3,0,144,16,0,0,144,16,0,0,0
160,0.5,1,0.0002,0.5,0.0,3.0046600741979033,155,0,0,140,20,0,0,140,20,0,0,0
160,0.5,2,0.0001,0.5,0.0,6.23119438707696,155,0,0,141,19,0,0,141,18,1,0,0
160,1.0,0,0.0005,1.0,0.0,4.843850585314808,155,16,10,122,28,0,10,122,27,0,1,0
160,1.0,1,0.0007,1.0,0.0,4.420459488337422,150,0,0,121,39,0,0,121,38,1,0,0
160,1.0,2,0.001,0.99375,1.0,4.503643963542071,151,3,0,126,34,0,0,126,32,2,0,0
160,2.0,0,0.0026,1.975,4.0,5.275372200957862,144,12,5,94,61,0,5,94,53,8,0,0
160,2.0,1,0.0027,1.9875,2.0,3.9940222963915484,147,22,5,101,54,0,5,101,51,3,0,0
160,2.0,2,0.0026,1.9875,2.0,4.441008025963571,142,6,1,96,63,0,1,96,53,10,0,0
160,4.0,0,0.0147,3.9875,2.0,5.868202030851387,122,6,0,43,117,0,0,43,87,25,5,0
160,4.0,1,0.0144,3.95,8.0,5.940364390139121,123,8,0,47,113,0,0,47,84,23,6,0
160,4.0,2,0.0145,3.975,4.0,5.575238977523239,124,12,1,46,113,0,1,46,83,28,2,0
160,8.0,0,0.1426,8.0,0.0,7.192138658379928,80,0,0,4,156,0,0,4,41,73,35,7
160,8.0,1,0.1434,7.95625,7.0,7.359056566589894,82,5,1,5,154,0,1,5,47,64,34,9
160,8.0,2,0.1437,7.8875,18.0,6.972225538437602,83,6,2,9,149,0,2,9,40,63,40,6
160,16.0,0,0.9059,14.3,272.0,310.8052970114495,17,0,0,0,160,0,0,0,1,10,45,104
160,16.0,1,0.9055,14.8,192.0,312.56383472328946,12,0,0,0,160,0,0,0,0,5,38,117
160,16.0,2,0.9061,14.0,320.0,310.76629617023883,20,0,0,0,160,0,0,0,2,14,46,98
