N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,0,1.05,1.5,3224168883,10795,1000,1.0,0.20000000000000018,0.20000000000000018,0.08385416666666683,8400,9600,0.75,0.0,1025,1,1.0,16,0,48,16,0,0,0,0,1115,1,1.0,32,0,32,32,0,0,0,0,1125,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1,1.05,1.5,248103626,17440,15335,1.0,0.20000000000000018,0.20000000000000018,0.19781250000000017,0,1800,0.75,0.0,15345,1,1.0,16,0,48,16,0,0,0,0,15450,1,1.0,32,0,32,32,0,0,0,0,15565,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2,1.05,1.5,2063643198,11950,9400,1.0,0.20000000000000018,0.20000000000000018,0.051197916666666815,1200,2400,0.75,0.0,9425,1,1.0,20,0,44,20,0,0,0,0,9455,1,1.0,32,0,32,32,0,0,0,0,9480,1,1.0,48,0,16,48,0,0,0,0
64,16,4,3,1.05,1.5,4292409205,33480,765,1.0,0.20000000000000018,0.20000000000000018,0.04354166666666684,22800,24000,0.75,0.0,9265,1,1.0,20,0,44,20,0,0,0,0,9390,1,1.0,32,0,32,32,0,0,0,0,9455,1,1.0,48,0,16,48,0,0,0,0
64,16,4,4,1.05,1.5,940341137,29230,15140,1.0,0.20000000000000018,0.20000000000000018,0.0493229166666668,6600,7800,0.75,0.0,15160,1,1.0,16,0,48,16,0,0,0,0,21155,1,1.0,32,0,32,32,0,0,0,0,21330,1,1.0,48,0,16,48,0,0,0,0
64,16,4,5,1.05,1.5,2874052723,112600,5290,1.25,0.20000000000000018,0.20000000000000018,0.0,11400,12600,0.25,0.0,77760,1,1.0,16,0,48,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
64,16,4,6,1.05,1.5,4003142464,8695,3605,1.0,0.20000000000000018,0.20000000000000018,0.05328125000000011,1200,2400,0.75,0.0,3635,1,1.0,16,0,48,16,0,0,0,0,3735,1,1.0,32,0,32,32,0,0,0,0,3860,1,1.0,48,0,16,48,0,0,0,0
64,16,4,7,1.05,1.5,4129962803,16380,8825,1.0,0.20000000000000018,0.20000000000000018,0.05010416666666681,5400,7200,0.75,0.0,8865,1,1.0,16,0,48,16,0,0,0,0,8955,1,1.0,32,0,32,32,0,0,0,0,9055,1,1.0,48,0,16,48,0,0,0,0
64,16,4,8,1.05,1.5,814898536,45910,13565,1.0,0.20000000000000018,0.20000000000000018,-0.10078124999999988,5400,6600,0.75,0.0,39200,1,1.0,20,0,44,20,0,0,0,0,39220,1,1.0,32,0,32,32,0,0,0,0,39280,1,1.0,48,0,16,48,0,0,0,0
64,16,4,9,1.05,1.5,1638850459,29475,5940,1.0,0.20000000000000018,0.20000000000000018,0.05427083333333346,1800,3000,0.75,0.0,26105,1,1.0,16,0,48,16,0,0,0,0,26170,1,1.0,32,0,32,32,0,0,0,0,26405,1,1.0,48,0,16,48,0,0,0,0
64,16,4,10,1.05,1.5,662365184,9270,6235,1.0,0.20000000000000018,0.20000000000000018,0.12354166666666683,600,1800,0.75,0.0,6255,1,1.0,16,0,48,16,0,0,0,0,6295,1,1.0,32,0,32,32,0,0,0,0,6510,1,1.0,48,0,16,48,0,0,0,0
64,16,4,11,1.05,1.5,2727934315,15900,2605,1.0,0.20000000000000018,0.20000000000000018,0.05130208333333347,9000,10200,0.75,0.0,2630,1,1.0,16,0,48,16,0,0,0,0,5310,1,1.0,36,0,28,36,0,0,0,0,5595,1,1.0,52,0,12,52,0,0,0,0
64,16,4,12,1.05,1.5,3105050043,74810,8455,1.0,0.20000000000000018,0.20000000000000018,0.056250000000000105,4800,6000,0.75,0.0,31840,1,1.0,16,0,48,16,0,0,0,0,68235,1,1.0,32,0,32,32,0,0,0,0,68290,1,1.0,48,0,16,48,0,0,0,0
64,16,4,13,1.05,1.5,43780167,7815,5750,1.0,0.20000000000000018,0.20000000000000018,0.006848958333333488,600,1800,0.75,0.0,5780,1,1.0,16,0,48,16,0,0,0,0,5800,1,1.0,32,0,32,32,0,0,0,0,5910,1,1.0,48,0,16,48,0,0,0,0
