N,replica,protocol,leg,k,g,lam,phi,chi,tau_int,acceptance,swap_rate,round_trips,snapshots,snap_no_fluct,snap_no_xi,diam_mean,xi_over_diam,xi_over_diam_err,xi_pooled_over_diam
676,0,sequential,cool,0,12.0,1.0,0.09817218934911243,0.08112930863905325,0.7062026848087141,0.746862426035503,,,100,0,0,9.0,0.23095542475825342,0.018089653775252627,0.2371940368868803
676,0,sequential,cool,1,11.377,1.0,0.10449630177514793,0.08626470377218934,0.7097743013939172,0.7281661982248521,,,100,0,0,9.0,0.46607375752431174,0.2348835725918023,0.2432900959523775
676,0,sequential,cool,2,10.786,1.0,0.11123742603550296,0.08972409430473373,0.7118346723971147,0.7074858727810651,,,100,0,0,9.0,0.22392737329788667,0.011960134139583103,0.2377710330967153
676,0,sequential,cool,3,10.226,1.0,0.11867366863905325,0.09725220775147927,0.7524892777142547,0.6856435650887578,,,100,0,0,9.0,0.21596086480624546,0.010164366718657702,0.23428431435030905
676,0,sequential,cool,4,9.695,1.0,0.12732588757396449,0.10055809572485208,0.8700414657323459,0.6611819526627218,,,100,0,0,9.01,0.2262947346963787,0.011957370811828683,0.24481001154775672
676,0,sequential,cool,5,9.192,1.0,0.13677781065088757,0.10737476443786984,0.9218751274312487,0.6348556213017751,,,100,0,0,9.0,0.23693877415933365,0.010496000020534737,0.25673924356295846
676,0,sequential,cool,6,8.715,1.0,0.14687884615384614,0.1124880798668639,1.0267550467574857,0.6077505917159766,,,100,0,0,9.0,0.20845858773288944,0.00643612780461902,0.23796975084550887
676,0,sequential,cool,7,8.262,1.0,0.1584386094674556,0.11878428957100594,1.1386999589848308,0.5772967455621301,,,100,0,0,9.0,0.19849590256399444,0.006679459957221139,0.22683799529800533
676,0,sequential,cool,8,7.833,1.0,0.1716585798816568,0.12631257775147933,1.235710372573393,0.5445515532544377,,,100,0,0,9.01,0.20347275054173394,0.005682965039419849,0.20056781329053125
676,0,sequential,cool,9,7.426,1.0,0.18548727810650886,0.12938367994082842,1.3605942758400273,0.5111965236686391,,,100,0,0,9.02,0.217261861348633,0.009070785110278479,0.23304937447207663
676,0,sequential,cool,10,7.041,1.0,0.20118076923076922,0.14007395970414202,1.7043806528277028,0.47565000000000013,,,100,0,0,9.02,0.19171992697454068,0.0048188702074149796,0.2174338364338316
676,0,sequential,cool,11,6.675,1.0,0.2185534023668639,0.14116477454142012,1.7737961806431786,0.4379715236686391,,,100,0,0,9.03,0.19294119395890985,0.004914075744020819,0.185441349557823
676,0,sequential,cool,12,6.329,1.0,0.2376689349112426,0.1546228378106509,2.1627407943784576,0.39904178994082834,,,100,0,0,9.06,0.18767296248605614,0.0059224753916090715,0.1798311321450038
676,0,sequential,cool,13,6.0,1.0,0.2595741124260355,0.1526500319378698,2.328322526263516,0.3582502958579882,,,100,0,0,9.22,0.22036381272947111,0.040739018156249265,0.17624329263946045
676,0,sequential,cool,14,5.688,1.0,0.2825337278106509,0.16030524875739646,2.871325749023032,0.31866227810650893,,,100,0,0,9.28,0.22121147563476867,0.02202328747593085,0.17343888712443803
676,0,sequential,cool,15,5.393,1.0,0.30838698224852074,0.1801066210650887,4.261230983130731,0.27833853550295873,,,100,0,0,9.49,0.22955779692361294,0.027548569792731552,0.16397826245929473
676,0,sequential,cool,16,5.113,1.0,0.3358353550295858,0.17565457087278108,4.57279413821745,0.239350147928994,,,100,0,0,9.85,0.29311892870821354,0.024970910106501494,0.3569647965574143
676,0,sequential,cool,17,4.848,1.0,0.36523210059171596,0.18412702720414198,6.277444728434406,0.2027345414201184,,,100,0,0,9.97,0.3603391967575007,0.03561208685019079,0.3109320157405634
676,0,sequential,cool,18,4.596,1.0,0.3961892011834319,0.17645782365384619,7.474696329502727,0.16901760355029588,,,100,0,0,9.99,0.3657209495282984,0.04723188439645758,0.29011111803654543
676,0,sequential,cool,19,4.357,1.0,0.4313335798816568,0.17309342862426036,12.824530373353568,0.13667366863905323,,,100,0,0,10.01,0.2890703845412045,0.016831555034254275,0.23247698845790055
676,0,sequential,cool,20,4.131,1.0,0.4647217455621302,0.1810731159615385,13.214694871524525,0.10972196745562131,,,100,0,0,10.06,0.2394326523022604,0.006165880823422363,0.21211692556546394
676,0,sequential,cool,21,3.917,1.0,0.501999852071006,0.18471518696745562,22.53564435441235,0.0857261834319527,,,100,0,0,10.19,0.24521523338655335,0.02614517555184186,0.19563937129139136
676,0,sequential,cool,22,3.713,1.0,0.5394897928994083,0.17120907690828402,23.34285063907572,0.0657548076923077,,,100,0,0,10.46,0.9397931714799516,0.5775091204409732,0.1775379740903718
676,0,sequential,cool,23,3.52,1.0,0.5765147928994083,0.15608820118343195,45.02670058014092,0.050253180473372766,,,100,0,0,10.84,0.3681740521795389,0.0503984836172756,0.327256625924285
676,0,sequential,cool,24,3.338,1.0,0.6139079881656805,0.1625446697633136,39.525709553329435,0.03767004437869822,,,100,0,0,11.0,0.3152682726123851,0.03339644127349932,0.2833480840444911
676,0,sequential,cool,25,3.164,1.0,0.6554937869822486,0.15917433366863906,77.77183057342847,0.027287352071005917,,,100,0,0,11.22,0.24495804695661957,0.013489491936915204,0.20840325003713736
676,0,sequential,cool,26,3.0,1.0,0.6874457100591717,0.13169571465976332,87.98225124308442,0.021129807692307687,,,100,0,0,11.6,0.30537249368163716,0.023162543965641408,0.3381582471319306
676,0,sequential,cool,27,2.844,1.0,0.7328711538461539,0.18236707572485208,302.66904739100454,0.014685502958579878,,,100,0,0,12.05,0.31304499385937856,0.060970971895608586,0.25500919238806213
676,0,sequential,cool,28,2.697,1.0,0.7598193786982248,0.13494938400887574,463.37014944213524,0.011500665680473372,,,100,0,0,12.4,0.26736296263397963,0.020542462085141114,0.21511787719037742
676,0,sequential,cool,29,2.557,1.0,0.8013525147928994,0.13335602886094672,830.0929382100542,0.009088461538461538,,,100,0,0,13.12,0.2567098802257481,0.015291044167276077,0.19548152253623474
676,0,sequential,cool,30,2.424,1.0,0.8374812130177515,0.05624533832840237,309.1478510646542,0.007083062130177514,,,100,0,0,13.62,0.2718069181743284,0.024406572689458814,0.2218083461340339
676,0,sequential,cool,31,2.298,1.0,0.8792371301775147,0.14603548152366863,377.1809901461216,0.006608727810650888,,,100,0,0,14.51,0.1996985946470579,0.008704001182627891,0.2000502550935771
676,0,sequential,cool,32,2.179,1.0,0.9001736686390532,0.09432381248520712,671.0406966715924,0.006034985207100591,,,100,0,0,15.38,0.24386934347825467,0.047180998918048875,0.15944953407907853
