N,replica,protocol,leg,k,g,lam,phi,chi,tau_int,acceptance,swap_rate,round_trips,snapshots,snap_no_fluct,snap_no_xi,diam_mean,xi_over_diam,xi_over_diam_err,xi_pooled_over_diam
196,2,sequential,cool,0,12.0,1.0,0.26144693877551023,0.15618601551020406,0.7433721932577485,0.49044489795918395,,,100,0,0,7.77,0.34367714984115905,0.10815445535731234,0.2581424023496034
196,2,sequential,cool,1,11.377,1.0,0.27323367346938776,0.1602525793877551,0.7703331673195526,0.4652522959183672,,,100,0,0,7.9,0.4122761982555093,0.08323695354874487,0.29813728399675327
196,2,sequential,cool,2,10.786,1.0,0.28601785714285716,0.16508754974489792,0.889448695094114,0.43952270408163263,,,100,0,0,7.83,0.3547405846483085,0.06021516131903733,0.27535071187870463
196,2,sequential,cool,3,10.226,1.0,0.299534693877551,0.1654571559183673,0.9264256196460964,0.4132826530612245,,,100,0,0,7.92,0.3583391048657134,0.04515349275921676,0.3213316162025327
196,2,sequential,cool,4,9.695,1.0,0.31379846938775513,0.1768794885204082,1.0349887510746452,0.38632423469387767,,,100,0,0,7.96,0.292044630631913,0.02231253729486051,0.27358684606009187
196,2,sequential,cool,5,9.192,1.0,0.3290173469387755,0.17140429204081634,1.1417060494871991,0.35890229591836736,,,100,0,0,7.96,0.34293715765513677,0.06458600913109167,0.27077381812533086
196,2,sequential,cool,6,8.715,1.0,0.3448372448979592,0.17270937954081633,1.241991417594509,0.33138852040816325,,,100,0,0,7.97,0.31739345547780834,0.04082059841171028,0.2670474518789026
196,2,sequential,cool,7,8.262,1.0,0.36300306122448983,0.1806261124489796,1.3869957769724461,0.30288903061224487,,,100,0,0,7.98,0.32858899672099406,0.07955548900752019,0.23518996272247833
196,2,sequential,cool,8,7.833,1.0,0.3813770408163265,0.17550892852040814,1.585043639153661,0.2755313775510204,,,100,0,0,8.02,0.255304059428411,0.022468207230124285,0.23920360797137577
196,2,sequential,cool,9,7.426,1.0,0.40159387755102044,0.17816982775510204,1.7664852945629193,0.24712678571428578,,,100,0,0,8.01,0.21992163049225533,0.010934091928607587,0.21374585525723877
196,2,sequential,cool,10,7.041,1.0,0.4224709183673469,0.1754775587244898,2.1256798580314094,0.21996403061224484,,,100,0,0,8.02,0.21786853218282345,0.008504657060851236,0.21954761038849802
196,2,sequential,cool,11,6.675,1.0,0.4457382653061224,0.1807259893367347,2.543078049540662,0.1930045918367347,,,100,0,0,8.1,0.2111090088058625,0.008775606517204007,0.20911184985383086
196,2,sequential,cool,12,6.329,1.0,0.46802755102040816,0.1737414512244898,2.9426340279588725,0.16829821428571431,,,100,0,0,8.16,0.24263523277363006,0.025325735203986344,0.2119013066992843
