N,k,replica,seed_columns,planted_cost,f_final,phi_final,bath_T,drift,acceptance,d0,d1,d2,d3,d4,d5,d6,pieces_d1,sizes_d1,h_final
384,4,0,0 24 48 72,48.0,0.96875,1.0078125,0.5078125,0.0,3.3203125e-05,0,12,372,0,0,0,0,3,4 4 4,42.0
384,4,1,0 24 48 72,48.0,0.96875,1.0078125,0.5078125,0.0,3.728298611111111e-05,0,12,372,0,0,0,0,3,4 4 4,42.0
384,4,2,0 24 48 72,48.0,0.96875,1.0078125,0.5078125,0.0,3.511284722222222e-05,0,12,372,0,0,0,0,3,4 4 4,42.0
384,4,3,0 24 48 72,48.0,1.0,1.0,0.5625,0.0,4.769965277777778e-05,0,0,384,0,0,0,0,0,,0.0
384,4,4,0 24 48 72,48.0,0.979166666666667,1.0052083333333333,0.5,0.0,3.5850694444444444e-05,0,10,372,2,0,0,0,3,4 4 2,48.0
384,4,5,0 24 48 72,48.0,0.979166666666667,1.0052083333333333,0.5260416666666666,0.0,3.337673611111111e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,4,6,0 24 48 72,48.0,0.958333333333333,1.0104166666666667,0.4895833333333333,0.0,2.986111111111111e-05,0,16,368,0,0,0,0,4,4 4 4 4,56.0
384,4,7,0 24 48 72,48.0,0.989583333333333,1.0026041666666667,0.5442708333333334,0.0,3.910590277777778e-05,0,4,380,0,0,0,0,1,4,14.0
384,4,8,0 24 48 72,48.0,0.989583333333333,1.0026041666666667,0.453125,0.0,3.628472222222222e-05,0,10,368,6,0,0,0,4,4 2 2 2,84.0
384,4,9,0 24 48 72,48.0,0.96875,1.0078125,0.5078125,0.0,7.074652777777778e-05,0,12,372,0,0,0,0,3,4 4 4,42.0
384,4,10,0 24 48 72,48.0,0.979166666666667,1.0052083333333333,0.5260416666666666,0.0,3.4375e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,4,11,0 24 48 72,48.0,0.96875,1.0078125,0.5078125,0.0,3.355034722222222e-05,0,12,372,0,0,0,0,3,4 4 4,42.0
384,4,12,0 24 48 72,48.0,0.96875,1.0078125,0.5078125,0.0,2.5911458333333332e-05,0,12,372,0,0,0,0,3,4 4 4,42.0
384,4,13,0 24 48 72,48.0,0.989583333333333,1.0026041666666667,0.5182291666666666,0.0,2.6085069444444446e-05,0,6,376,2,0,0,0,2,4 2,34.0
384,4,14,0 24 48 72,48.0,0.979166666666667,1.0052083333333333,0.5260416666666666,0.0,3.107638888888889e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,4,15,0 24 48 72,48.0,0.96875,1.0078125,0.5078125,0.0,3.294270833333333e-05,0,12,372,0,0,0,0,3,4 4 4,42.0
384,4,16,0 24 48 72,48.0,0.979166666666667,1.0052083333333333,0.5260416666666666,0.0,3.064236111111111e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,4,17,0 24 48 72,48.0,0.979166666666667,1.0052083333333333,0.5260416666666666,0.0,4.105902777777778e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,4,18,0 24 48 72,48.0,0.979166666666667,1.0052083333333333,0.5260416666666666,0.0,4.3489583333333334e-05,0,8,376,0,0,0,0,2,4 4,28.0
384,4,19,0 24 48 72,48.0,0.96875,1.0078125,0.5078125,0.0,2.3654513888888888e-05,0,12,372,0,0,0,0,3,4 4 4,42.0
