N,lam,g,replica,class_id,S,X,A,p_interchangeable,p_named,f_interchangeable_chain,f_named_chain,f_named_reweighted
16,1.0,10.0,0,0,20,16,8,0.2,0.32,0.19765,0.3142,0.19370997449156527
16,1.0,10.0,0,1,21,20,6,0.2,0.4266666666666667,0.195,0.43055,0.1990813880904124
16,1.0,10.0,0,2,20,16,32,0.2,0.08,0.19565,0.08155,0.20110819121307635
16,1.0,10.0,0,3,22,24,16,0.2,0.16,0.1983,0.15955,0.1967309129861823
16,1.0,10.0,0,4,24,32,192,0.2,0.013333333333333334,0.2134,0.01415,0.20936953321876375
16,1.0,10.0,1,0,20,16,8,0.2,0.32,0.20455,0.31605,0.19348321829229098
16,1.0,10.0,1,1,21,20,6,0.2,0.4266666666666667,0.20525,0.4275,0.19628399577587657
16,1.0,10.0,1,2,20,16,32,0.2,0.08,0.1992,0.08135,0.19920721161940036
16,1.0,10.0,1,3,22,24,16,0.2,0.16,0.20055,0.1605,0.19651356770076064
16,1.0,10.0,1,4,24,32,192,0.2,0.013333333333333334,0.19045,0.0146,0.21451200661167144
16,1.0,10.0,2,0,20,16,8,0.2,0.32,0.19535,0.31635,0.1988747092475011
16,1.0,10.0,2,1,21,20,6,0.2,0.4266666666666667,0.20225,0.4318,0.20358961463506633
16,1.0,10.0,2,2,20,16,32,0.2,0.08,0.1988,0.0771,0.19387690953668196
16,1.0,10.0,2,3,22,24,16,0.2,0.16,0.2007,0.16145,0.20299239328597474
16,1.0,10.0,2,4,24,32,192,0.2,0.013333333333333334,0.2029,0.0133,0.20066637329477588
16,1.0,10.0,3,0,20,16,8,0.2,0.32,0.19925,0.3212,0.19906880176013508
16,1.0,10.0,3,1,21,20,6,0.2,0.4266666666666667,0.194,0.42295,0.19659748529992793
16,1.0,10.0,3,2,20,16,32,0.2,0.08,0.1985,0.08375,0.20762157095157305
16,1.0,10.0,3,3,22,24,16,0.2,0.16,0.20095,0.15865,0.19665171481472873
16,1.0,10.0,3,4,24,32,192,0.2,0.013333333333333334,0.2073,0.01345,0.20006042717363512
16,1.0,10.0,4,0,20,16,8,0.2,0.32,0.19115,0.3231,0.2003534554925123
16,1.0,10.0,4,1,21,20,6,0.2,0.4266666666666667,0.20005,0.4226,0.19653985675751087
16,1.0,10.0,4,2,20,16,32,0.2,0.08,0.197,0.07965,0.1975630173937308
16,1.0,10.0,4,3,22,24,16,0.2,0.16,0.2041,0.1608,0.19942330945958514
16,1.0,10.0,4,4,24,32,192,0.2,0.013333333333333334,0.2077,0.01385,0.20612036089666075
16,1.0,10.0,5,0,20,16,8,0.2,0.32,0.2007,0.32225,0.1993566148040459
16,1.0,10.0,5,1,21,20,6,0.2,0.4266666666666667,0.1947,0.4236,0.19654180457174672
16,1.0,10.0,5,2,20,16,32,0.2,0.08,0.19965,0.0812,0.20093414581335642
16,1.0,10.0,5,3,22,24,16,0.2,0.16,0.2031,0.15905,0.19678926041634445
16,1.0,10.0,5,4,24,32,192,0.2,0.013333333333333334,0.20185,0.0139,0.20637817439450648
16,0.0,10.0,0,0,20,16,8,0.0015789541816243352,0.02212527178432729,0.00245,0.02185,0.0015664808935034957
16,0.0,10.0,0,1,21,20,6,0.00782061125821959,0.14611625139510329,0.0091,0.14415,0.007750854260819069
16,0.0,10.0,0,2,20,16,32,0.0015789541816243352,0.005531317946081822,0.00225,0.00435,0.0012474493156503807
16,0.0,10.0,0,3,22,24,16,0.03873574114055109,0.2713944490841304,0.0456,0.27775,0.039825177864585434
16,0.0,10.0,0,4,24,32,192,0.9502857392379807,0.5548327097903571,0.9406,0.5519,0.9496100376654416
16,0.0,10.0,1,0,20,16,8,0.0015789541816243352,0.02212527178432729,0.00165,0.01995,0.0014034692775650687
16,0.0,10.0,1,1,21,20,6,0.00782061125821959,0.14611625139510329,0.0099,0.1451,0.007655766623108702
16,0.0,10.0,1,2,20,16,32,0.0015789541816243352,0.005531317946081822,0.00105,0.0046,0.0012944278048720433
16,0.0,10.0,1,3,22,24,16,0.03873574114055109,0.2713944490841304,0.0373,0.2664,0.037482126871512214
16,0.0,10.0,1,4,24,32,192,0.9502857392379807,0.5548327097903571,0.9501,0.56395,0.9521642094229419
16,0.0,10.0,2,0,20,16,8,0.0015789541816243352,0.02212527178432729,0.00135,0.02365,0.0016849184657980252
16,0.0,10.0,2,1,21,20,6,0.00782061125821959,0.14611625139510329,0.00755,0.15085,0.008060357840347742
16,0.0,10.0,2,2,20,16,32,0.0015789541816243352,0.005531317946081822,0.00165,0.0066,0.0018808392176350049
16,0.0,10.0,2,3,22,24,16,0.03873574114055109,0.2713944490841304,0.0382,0.26275,0.03743867457830284
16,0.0,10.0,2,4,24,32,192,0.9502857392379807,0.5548327097903571,0.95125,0.55615,0.9509352098979164
16,0.0,10.0,3,0,20,16,8,0.0015789541816243352,0.02212527178432729,0.0014,0.02095,0.0014920961636391479
16,0.0,10.0,3,1,21,20,6,0.00782061125821959,0.14611625139510329,0.0089,0.1512,0.008076549162609994
16,0.0,10.0,3,2,20,16,32,0.0015789541816243352,0.005531317946081822,0.00135,0.00545,0.0015526346714717623
16,0.0,10.0,3,3,22,24,16,0.03873574114055109,0.2713944490841304,0.0404,0.26605,0.03789710590321673
16,0.0,10.0,3,4,24,32,192,0.9502857392379807,0.5548327097903571,0.94795,0.55635,0.9509816140990623
16,0.0,10.0,4,0,20,16,8,0.0015789541816243352,0.02212527178432729,0.0021,0.02105,0.001480525463455462
16,0.0,10.0,4,1,21,20,6,0.00782061125821959,0.14611625139510329,0.00915,0.1393,0.007348118660071706
16,0.0,10.0,4,2,20,16,32,0.0015789541816243352,0.005531317946081822,0.00115,0.0053,0.0014910755261404178
16,0.0,10.0,4,3,22,24,16,0.03873574114055109,0.2713944490841304,0.0436,0.2706,0.03806462616732048
16,0.0,10.0,4,4,24,32,192,0.9502857392379807,0.5548327097903571,0.944,0.56375,0.951615654183012
16,0.0,10.0,5,0,20,16,8,0.0015789541816243352,0.02212527178432729,0.00165,0.02105,0.0014924473655290743
16,0.0,10.0,5,1,21,20,6,0.00782061125821959,0.14611625139510329,0.0077,0.1408,0.007487051866977209
16,0.0,10.0,5,2,20,16,32,0.0015789541816243352,0.005531317946081822,0.00185,0.005,0.0014180022475335625
16,0.0,10.0,5,3,22,24,16,0.03873574114055109,0.2713944490841304,0.04465,0.27445,0.038917071683558624
16,0.0,10.0,5,4,24,32,192,0.9502857392379807,0.5548327097903571,0.94415,0.5587,0.9506854268364014
