N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g
100,0,660,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,670,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,680,0.97,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,690,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,700,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,710,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,720,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,730,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,740,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,750,0.97,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,760,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,770,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,780,0.98,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,790,0.98,0.25,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,800,0.98,0.25,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,810,0.98,0.25,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,820,0.99,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,830,0.99,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,840,0.99,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,850,0.99,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,860,0.99,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,870,0.99,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,880,0.99,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,890,0.99,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,900,0.99,0.26,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,910,0.99,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,920,0.99,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,930,0.99,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,940,0.99,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,950,0.99,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,960,0.99,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,970,0.99,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,980,0.99,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,990,0.99,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,0,1000,0.99,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,10,0.75,0.06,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,20,0.77,0.04,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,30,0.8,0.05,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,40,0.83,0.06,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,50,0.85,0.08,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,60,0.85,0.08,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,70,0.85,0.07,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,80,0.86,0.07,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,90,0.86,0.07,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,100,0.86,0.07,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,110,0.87,0.09,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,120,0.87,0.09,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,130,0.88,0.1,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,140,0.9,0.13,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,150,0.93,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,160,0.94,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,170,0.94,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,180,0.95,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,190,0.96,0.25,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,200,0.96,0.25,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,210,0.97,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,220,0.97,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,230,0.96,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,240,0.96,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,250,0.96,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,260,0.97,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,270,0.97,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,280,0.97,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,290,0.97,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,300,0.96,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,310,0.96,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,320,0.96,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,330,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,340,0.97,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,350,0.97,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,360,0.97,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,370,0.97,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,380,0.98,0.25,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,390,0.98,0.25,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,400,0.98,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,410,0.99,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,420,0.99,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,430,0.99,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,440,0.99,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,450,0.99,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,460,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,470,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,480,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,490,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,500,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,510,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,520,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,530,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,540,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,550,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,560,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,570,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,580,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,590,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,600,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,610,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,620,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,630,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,640,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,650,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,660,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,670,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,680,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,690,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,700,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,710,1.0,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,720,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,730,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,740,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,750,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,760,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,770,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,780,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,790,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,800,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,810,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,820,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,830,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,840,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,850,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,860,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,870,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,880,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,890,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,900,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,910,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,920,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,930,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,940,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,950,1.0,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,960,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,970,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,980,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,990,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,1,1000,1.01,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,10,0.71,0.05,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,20,0.82,0.12,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,30,0.85,0.16,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,40,0.85,0.16,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,50,0.86,0.14,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,60,0.88,0.16,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,70,0.88,0.15,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,80,0.92,0.23,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,90,0.93,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,100,0.94,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,110,0.95,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,120,0.95,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,130,0.95,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,140,0.96,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,150,0.96,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,160,0.96,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,170,0.96,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,180,0.96,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,190,0.96,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,200,0.96,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,210,0.98,0.32,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,220,0.98,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,230,0.98,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,240,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,250,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,260,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,270,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,280,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,290,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,300,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,310,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,320,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,330,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,340,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,350,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,360,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,370,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,380,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,390,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,400,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,410,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,420,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,430,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,440,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,450,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,460,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,470,0.98,0.28,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,480,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,490,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,500,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,510,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,520,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,530,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,540,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,550,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,560,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,570,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,580,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,590,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,600,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,610,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,620,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,630,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,640,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,650,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,660,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,670,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,680,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,690,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,700,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,710,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,720,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,730,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,740,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,750,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,760,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,770,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,780,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,790,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,800,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,810,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,820,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,830,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,840,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,850,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,860,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,870,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,880,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,890,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,900,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,910,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,920,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,930,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,940,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,950,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,960,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,970,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,980,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,990,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,2,1000,0.99,0.3,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,10,0.77,0.09,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,20,0.8,0.08,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,30,0.84,0.09,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,40,0.85,0.11,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,50,0.86,0.13,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,60,0.86,0.13,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,70,0.86,0.12,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,80,0.87,0.13,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,90,0.88,0.14,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,100,0.88,0.14,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,110,0.89,0.16,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,120,0.9,0.17,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,130,0.91,0.21,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,140,0.92,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,150,0.92,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,160,0.92,0.22,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,170,0.93,0.25,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,180,0.92,0.21,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,190,0.92,0.2,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,200,0.93,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,210,0.93,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,220,0.93,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,230,0.93,0.24,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,240,0.94,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,250,0.94,0.27,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,260,0.95,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,270,0.95,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,280,0.95,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,290,0.95,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
100,3,300,0.95,0.29,1,1.0,0.0,0.0,10,10,1.0,none,0.0
