N,lx,ly,g,replica,left,wait,n_sweeps,phi_start,acceptance,lam,cap
64,16,4,2.0,10,True,83,40000,1.25,4.921875e-05,1.25,none
64,16,4,2.0,11,True,56,40000,1.25,5.46875e-05,1.25,none
64,16,4,2.0,12,True,78,40000,1.25,3.18359375e-05,1.25,none
64,16,4,2.0,13,True,45,40000,1.25,0.000543359375,1.25,none
64,16,4,2.0,14,True,35,40000,1.25,3.90625e-05,1.25,none
64,16,4,2.0,15,True,58,40000,1.25,0.0027505859375,1.25,none
64,16,4,2.5,0,True,52,40000,1.25,0.001227734375,1.25,none
64,16,4,2.5,1,True,16,40000,1.25,0.0003517578125,1.25,none
64,16,4,2.5,2,True,171,40000,1.25,0.000865234375,1.25,none
64,16,4,2.5,3,True,10,40000,1.25,8.8671875e-05,1.25,none
64,16,4,2.5,4,True,34,40000,1.25,0.0004619140625,1.25,none
64,16,4,2.5,5,True,7,40000,1.25,0.0010490234375,1.25,none
64,16,4,2.5,6,True,9,40000,1.25,0.0011591796875,1.25,none
64,16,4,2.5,7,True,18,40000,1.25,0.0005970703125,1.25,none
64,16,4,2.5,8,True,3,40000,1.25,8.76953125e-05,1.25,none
64,16,4,2.5,9,True,14,40000,1.25,0.0012154296875,1.25,none
64,16,4,2.5,10,True,6,40000,1.25,0.000331640625,1.25,none
64,16,4,2.5,11,True,56,40000,1.25,0.0010888671875,1.25,none
64,16,4,2.5,12,True,3,40000,1.25,0.0002228515625,1.25,none
64,16,4,2.5,13,True,12,40000,1.25,8.7890625e-05,1.25,none
64,16,4,2.5,14,True,35,40000,1.25,0.0014220703125,1.25,none
64,16,4,2.5,15,True,32,40000,1.25,0.0013447265625,1.25,none
144,36,4,1.4,0,True,497,40000,1.25,0.00012604166666666666,1.25,none
144,36,4,1.4,1,True,602,40000,1.25,4.5659722222222224e-05,1.25,none
144,36,4,1.4,2,True,1392,40000,1.25,8.663194444444445e-05,1.25,none
144,36,4,1.4,3,True,3471,40000,1.25,0.0002630208333333333,1.25,none
144,36,4,1.4,4,True,364,40000,1.25,0.0001654513888888889,1.25,none
144,36,4,1.4,5,True,778,40000,1.25,0.0006173611111111111,1.25,none
144,36,4,1.4,6,True,1442,40000,1.25,0.00011076388888888888,1.25,none
144,36,4,1.4,7,True,671,40000,1.25,5.607638888888889e-05,1.25,none
144,36,4,1.4,8,True,669,40000,1.25,6.909722222222222e-05,1.25,none
144,36,4,1.4,9,True,2578,40000,1.25,0.00015486111111111112,1.25,none
144,36,4,1.4,10,True,1385,40000,1.25,9.045138888888888e-05,1.25,none
144,36,4,1.4,11,True,1337,40000,1.25,0.00013385416666666667,1.25,none
144,36,4,1.4,12,True,93,40000,1.25,2.604166666666667e-05,1.25,none
144,36,4,1.4,13,True,5285,40000,1.25,0.0002612847222222222,1.25,none
144,36,4,1.4,14,True,876,40000,1.25,6.197916666666667e-05,1.25,none
144,36,4,1.4,15,True,328,40000,1.25,0.00011623263888888889,1.25,none
144,36,4,1.5,0,True,497,40000,1.25,0.00012847222222222223,1.25,none
144,36,4,1.5,1,True,602,40000,1.25,4.5659722222222224e-05,1.25,none
144,36,4,1.5,2,True,569,40000,1.25,5.607638888888889e-05,1.25,none
144,36,4,1.5,3,True,58,40000,1.25,2.4479166666666668e-05,1.25,none
144,36,4,1.5,4,True,364,40000,1.25,0.00016805555555555557,1.25,none
144,36,4,1.5,5,True,778,40000,1.25,0.0006472222222222222,1.25,none
144,36,4,1.5,6,True,1442,40000,1.25,0.00010885416666666667,1.25,none
144,36,4,1.5,7,True,671,40000,1.25,5.555555555555556e-05,1.25,none
144,36,4,1.5,8,True,669,40000,1.25,6.927083333333333e-05,1.25,none
144,36,4,1.5,9,True,1784,40000,1.25,0.00014835069444444444,1.25,none
144,36,4,1.5,10,True,273,40000,1.25,4.6875e-05,1.25,none
144,36,4,1.5,11,True,1337,40000,1.25,0.0001324652777777778,1.25,none
144,36,4,1.5,12,True,93,40000,1.25,2.8993055555555556e-05,1.25,none
144,36,4,1.5,13,True,3699,40000,1.25,0.00019079861111111112,1.25,none
144,36,4,1.5,14,True,876,40000,1.25,6.041666666666667e-05,1.25,none
144,36,4,1.5,15,True,328,40000,1.25,0.00010546875,1.25,none
144,36,4,1.6,0,True,91,40000,1.25,0.00018098958333333332,1.25,none
144,36,4,1.6,1,True,602,40000,1.25,4.5659722222222224e-05,1.25,none
144,36,4,1.6,2,True,127,40000,1.25,3.0034722222222223e-05,1.25,none
144,36,4,1.6,3,True,58,40000,1.25,2.4479166666666668e-05,1.25,none
144,36,4,1.6,4,True,364,40000,1.25,7.395833333333333e-05,1.25,none
144,36,4,1.6,5,True,180,40000,1.25,5.3125e-05,1.25,none
144,36,4,1.6,6,True,75,40000,1.25,9.392361111111111e-05,1.25,none
144,36,4,1.6,7,True,356,40000,1.25,5.121527777777778e-05,1.25,none
144,36,4,1.6,8,True,670,40000,1.25,6.770833333333333e-05,1.25,none
144,36,4,1.6,9,True,1784,40000,1.25,0.0001315972222222222,1.25,none
144,36,4,1.6,10,True,273,40000,1.25,4.357638888888889e-05,1.25,none
144,36,4,1.6,11,True,1276,40000,1.25,9.036458333333333e-05,1.25,none
144,36,4,1.6,12,True,93,40000,1.25,2.9340277777777776e-05,1.25,none
144,36,4,1.6,13,True,301,40000,1.25,0.00010789930555555555,1.25,none
144,36,4,1.6,14,True,736,40000,1.25,0.000140625,1.25,none
144,36,4,1.6,15,True,328,40000,1.25,0.00010902777777777778,1.25,none
144,36,4,1.75,0,True,91,40000,1.25,5.503472222222222e-05,1.25,none
144,36,4,1.75,1,True,582,40000,1.25,4.3489583333333334e-05,1.25,none
144,36,4,1.75,2,True,127,40000,1.25,3.229166666666667e-05,1.25,none
144,36,4,1.75,3,True,58,40000,1.25,2.534722222222222e-05,1.25,none
144,36,4,1.75,4,True,364,40000,1.25,5.7291666666666666e-05,1.25,none
144,36,4,1.75,5,True,180,40000,1.25,5.190972222222222e-05,1.25,none
144,36,4,1.75,6,True,75,40000,1.25,7.621527777777778e-05,1.25,none
144,36,4,1.75,7,True,109,40000,1.25,2.951388888888889e-05,1.25,none
144,36,4,1.75,8,True,670,40000,1.25,7.274305555555555e-05,1.25,none
144,36,4,1.75,9,True,597,40000,1.25,5.286458333333333e-05,1.25,none
144,36,4,1.75,10,True,220,40000,1.25,4.9305555555555555e-05,1.25,none
144,36,4,1.75,11,True,235,40000,1.25,0.0001743923611111111,1.25,none
144,36,4,1.75,12,True,89,40000,1.25,6.371527777777777e-05,1.25,none
144,36,4,1.75,13,True,242,40000,1.25,4.609375e-05,1.25,none
144,36,4,1.75,14,True,308,40000,1.25,5.6770833333333335e-05,1.25,none
144,36,4,1.75,15,True,304,40000,1.25,4.782986111111111e-05,1.25,none
144,36,4,2.0,0,True,23,40000,1.25,0.0004931423611111111,1.25,none
144,36,4,2.0,1,True,474,40000,1.25,0.0006654513888888889,1.25,none
144,36,4,2.0,2,True,127,40000,1.25,4.861111111111111e-05,1.25,none
144,36,4,2.0,3,True,58,40000,1.25,2.4131944444444444e-05,1.25,none
144,36,4,2.0,4,True,342,40000,1.25,0.00015694444444444444,1.25,none
144,36,4,2.0,5,True,33,40000,1.25,0.0007310763888888889,1.25,none
144,36,4,2.0,6,True,18,40000,1.25,0.00014140625,1.25,none
144,36,4,2.0,7,True,109,40000,1.25,3.6458333333333336e-05,1.25,none
144,36,4,2.0,8,True,201,40000,1.25,0.0021080729166666665,1.25,none
144,36,4,2.0,9,True,42,40000,1.25,0.0009522569444444445,1.25,none
144,36,4,2.0,10,True,220,40000,1.25,3.871527777777778e-05,1.25,none
144,36,4,2.0,11,True,235,40000,1.25,0.00048411458333333336,1.25,none
144,36,4,2.0,12,True,89,40000,1.25,8.602430555555555e-05,1.25,none
144,36,4,2.0,13,True,101,40000,1.25,0.00023046875,1.25,none
144,36,4,2.0,14,True,308,40000,1.25,0.0017380208333333334,1.25,none
144,36,4,2.0,15,True,36,40000,1.25,3.654513888888889e-05,1.25,none
144,36,4,2.5,0,True,8,40000,1.25,0.0018723090277777779,1.25,none
144,36,4,2.5,1,True,17,40000,1.25,0.0030505208333333335,1.25,none
144,36,4,2.5,2,True,64,40000,1.25,0.0014460069444444444,1.25,none
144,36,4,2.5,3,True,45,40000,1.25,0.0022891493055555556,1.25,none
