N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
144,36,4,0,1.2,1.5,3274851712,14615,1940,1.0,0.7999999999999995,0.7999999999999998,0.7022222222222217,9600,10800,0.75,0.0,2135,1,1.0,40,0,104,40,0,0,0,0,2220,1,1.0,76,0,68,76,0,0,0,0,2495,1,1.0,108,0,36,108,0,0,0,0
144,36,4,1,1.2,1.5,3797022976,15795,2045,1.0,0.7999999999999995,0.7999999999999998,0.7103703703703699,10800,12600,0.75,0.0,2280,1,1.0,36,0,108,36,0,0,0,0,2410,1,1.0,72,0,72,72,0,0,0,0,2675,1,1.0,108,0,36,108,0,0,0,0
144,36,4,2,1.2,1.5,259133224,102705,705,1.0,0.5777777777777772,0.7999999999999998,0.5665740740740735,2400,100200,0.75,0.0,915,3,0.5,28,0,112,28,4,0,0,0,1515,3,0.78125,64,0,76,64,4,0,0,0,1950,3,0.86,100,0,40,100,4,0,0,0
144,36,4,3,1.2,1.5,1596054806,106815,2990,1.0,0.5777777777777772,0.7999999999999998,0.49935185185185144,3000,100200,0.75,0.0,4070,3,0.875,32,0,108,32,4,0,0,0,5425,3,0.9375,64,0,76,64,4,0,0,0,5940,3,0.84,100,0,40,100,4,0,0,0
144,36,4,4,1.2,1.5,4121619689,6815,2775,1.0,0.7999999999999995,0.7999999999999998,0.7051851851851847,1200,3000,0.75,0.0,2990,1,1.0,36,0,108,36,0,0,0,0,3400,1,1.0,72,0,72,72,0,0,0,0,3555,1,1.0,108,0,36,108,0,0,0,0
144,36,4,5,1.2,1.5,359631872,8850,445,1.0,0.7999999999999995,0.7999999999999998,0.7674074074074069,0,1800,0.75,0.0,565,1,1.0,36,0,108,36,0,0,0,0,1170,1,1.0,72,0,72,72,0,0,0,0,1435,1,1.0,108,0,36,108,0,0,0,0
144,36,4,6,1.2,1.5,2453673878,18355,250,1.0,0.7999999999999995,0.7999999999999998,0.7051851851851847,7200,9000,0.75,0.0,400,1,1.0,36,0,108,36,0,0,0,0,505,2,0.7222222222222222,72,0,72,72,0,0,0,0,745,2,0.7037037037037037,108,0,36,108,0,0,0,0
144,36,4,7,1.2,1.5,2578141981,3520,260,1.0,0.7999999999999995,0.7999999999999998,0.7037037037037033,600,2400,0.75,0.0,395,1,1.0,36,0,108,36,0,0,0,0,645,1,1.0,72,0,72,72,0,0,0,0,770,1,1.0,108,0,36,108,0,0,0,0
144,36,4,8,1.2,1.5,4132605630,14975,2570,1.0,0.7999999999999995,0.7999999999999998,0.7079629629629625,2400,4200,0.75,0.0,3895,1,1.0,36,0,108,36,0,0,0,0,4140,1,1.0,72,0,72,72,0,0,0,0,4355,1,1.0,108,0,36,108,0,0,0,0
144,36,4,9,1.2,1.5,150398449,106635,265,1.0,0.7111111111111106,0.7999999999999998,0.6916666666666662,0,100200,0.75,0.16666666666666696,295,3,0.875,32,0,108,32,4,0,0,0,665,3,0.9375,64,0,76,64,4,0,0,0,1040,3,0.9615384615384616,104,0,36,104,4,0,0,0
