N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,reached,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
96,24,4,0,1.5,1.5,1223715348,505,205,0.9791666666666666,0.8704861111111115,2.0,0.75,205,3,0.4225352112676056,71,0,9,71,15,1,0,0,205,3,0.4225352112676056,71,0,9,71,15,1,0,0,205,3,0.4225352112676056,71,0,9,71,15,1,0,0
96,24,4,1,1.5,1.5,2540735533,505,205,0.9166666666666666,0.2225694444444446,2.0,0.75,205,1,1.0,61,0,3,61,29,3,0,0,205,1,1.0,61,0,3,61,29,3,0,0,205,1,1.0,61,0,3,61,29,3,0,0
96,24,4,2,1.5,1.5,3472974633,505,205,0.9583333333333334,0.45833333333333304,2.0,0.75,205,1,1.0,72,0,4,72,20,0,0,0,205,1,1.0,72,0,4,72,20,0,0,0,205,1,1.0,72,0,4,72,20,0,0,0
96,24,4,3,1.5,1.5,380406286,505,205,0.96875,0.38263888888888875,2.0,0.75,205,3,0.8714285714285714,70,0,7,70,19,0,0,0,205,3,0.8714285714285714,70,0,7,70,19,0,0,0,205,3,0.8714285714285714,70,0,7,70,19,0,0,0
96,24,4,4,1.5,1.5,951702782,505,205,0.90625,0.526041666666667,2.0,0.75,205,2,0.65625,64,0,0,64,29,2,1,0,205,2,0.65625,64,0,0,64,29,2,1,0,205,2,0.65625,64,0,0,64,29,2,1,0
96,24,4,5,1.5,1.5,2281428817,505,205,0.9270833333333334,0.4819444444444443,2.0,0.75,205,3,0.9661016949152542,59,0,5,59,31,1,0,0,205,3,0.9661016949152542,59,0,5,59,31,1,0,0,205,3,0.9661016949152542,59,0,5,59,31,1,0,0
96,24,4,6,1.5,1.5,3086216232,505,205,0.9375,0.26145833333333335,2.0,0.75,205,3,0.84375,64,0,4,64,28,0,0,0,205,3,0.84375,64,0,4,64,28,0,0,0,205,3,0.84375,64,0,4,64,28,0,0,0
96,24,4,7,1.5,1.5,3948421265,505,205,0.96875,0.7048611111111112,2.0,0.75,205,5,0.5303030303030303,66,0,9,66,21,0,0,0,205,5,0.5303030303030303,66,0,9,66,21,0,0,0,205,5,0.5303030303030303,66,0,9,66,21,0,0,0
96,24,4,8,1.5,1.5,1024371209,505,205,0.9583333333333334,0.7555555555555555,2.0,0.75,205,1,1.0,74,0,3,74,19,0,0,0,205,1,1.0,74,0,3,74,19,0,0,0,205,1,1.0,74,0,3,74,19,0,0,0
96,24,4,9,1.5,1.5,1361469621,505,,0.9583333333333334,0.5402777777777776,2.0,0.75,205,3,0.9104477611940298,67,0,7,67,21,1,0,0,205,3,0.9104477611940298,67,0,7,67,21,1,0,0,205,3,0.9104477611940298,67,0,7,67,21,1,0,0
96,24,4,10,1.5,1.5,4066429471,505,205,0.90625,0.43750000000000044,2.0,0.75,205,4,0.5873015873015873,63,0,0,63,30,3,0,0,205,4,0.5873015873015873,63,0,0,63,30,3,0,0,205,4,0.5873015873015873,63,0,0,63,30,3,0,0
96,24,4,11,1.5,1.5,2703094873,505,205,0.9479166666666666,0.842708333333333,2.0,0.75,205,5,0.47540983606557374,61,0,8,61,26,1,0,0,205,5,0.47540983606557374,61,0,8,61,26,1,0,0,205,5,0.47540983606557374,61,0,8,61,26,1,0,0
96,24,4,12,1.5,1.5,3291278145,505,205,0.9479166666666666,0.95,2.0,0.75,205,3,0.5342465753424658,73,0,2,73,20,1,0,0,205,3,0.5342465753424658,73,0,2,73,20,1,0,0,205,3,0.5342465753424658,73,0,2,73,20,1,0,0
96,24,4,13,1.5,1.5,4161893857,505,205,0.9479166666666666,0.4413194444444444,2.0,0.75,205,4,0.40298507462686567,67,0,5,67,23,1,0,0,205,4,0.40298507462686567,67,0,5,67,23,1,0,0,205,4,0.40298507462686567,67,0,5,67,23,1,0,0
96,24,4,14,1.5,1.5,1313238236,505,205,0.9479166666666666,0.4583333333333328,2.0,0.75,205,3,0.8923076923076924,65,0,6,65,24,1,0,0,205,3,0.8923076923076924,65,0,6,65,24,1,0,0,205,3,0.8923076923076924,65,0,6,65,24,1,0,0
