N,t_cool,g_hot,g_cold,replica,followed,block,sweep,g,n_d1,pieces_d1,n_damage,h,final
96,10000,1.25,0.25,0,True,0,0,1.25,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,1,500,1.1533510432382355,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,2,1000,1.0641749031509808,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,3,1500,0.9818937877897055,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,4,2000,0.9059745795971195,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,5,2500,0.8359253812205275,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,6,3000,0.7712923284000122,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,7,3500,0.7116566492814413,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,8,4000,0.6566319511009417,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,9,4500,0.6058617166606634,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,10,5000,0.5590169943749475,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,11,5500,0.5157942669201987,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,12,6000,0.47591348467896966,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,13,6500,0.4391162512365068,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,14,7000,0.40516414917319066,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,15,7500,0.3738371953053052,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,16,8000,0.3449324153653037,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,17,8500,0.3182625288866059,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,18,9000,0.29365473577200474,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,19,9500,0.2709495966835921,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,20,10000,0.25,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,21,10500,0.25,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,22,11000,0.25,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,23,11500,0.25,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,24,12000,0.25,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,25,12500,0.25,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,26,13000,0.25,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,27,13500,0.25,4,1,4,14.0,False
96,10000,1.25,0.25,0,True,28,14000,0.25,4,1,4,14.0,False
