N,lam,g,replica,class_id,S,X,A,p_interchangeable,p_named,f_interchangeable_chain,f_named_chain,f_named_reweighted
18,0.0,10.0,2,7,19,8,1,0.004208819683838979,0.009235006248226658,0.00405,0.00935,0.00426745778183478
18,0.0,10.0,2,8,19,10,1,0.004208819683838979,0.009235006248226658,0.0037,0.0084,0.0038338658146964866
18,0.0,10.0,2,9,19,9,1,0.004208819683838979,0.009235006248226658,0.00425,0.01005,0.004586946599726154
18,0.0,10.0,2,10,20,11,1,0.020846420362486857,0.04574128538695811,0.02165,0.04845,0.02211319032405295
18,0.0,10.0,2,11,20,10,1,0.020846420362486857,0.04574128538695811,0.02215,0.0465,0.02122318575992698
18,0.0,10.0,2,12,19,7,1,0.004208819683838979,0.009235006248226658,0.00525,0.00835,0.003811045184847103
18,0.0,10.0,2,13,20,10,2,0.020846420362486857,0.022870642693479055,0.01755,0.02215,0.02021907804655409
18,0.0,10.0,2,14,20,10,2,0.020846420362486857,0.022870642693479055,0.01805,0.02215,0.02021907804655409
18,0.0,10.0,2,15,21,14,1,0.10325299598796796,0.22655806965511394,0.10945,0.22885,0.10445002282062987
18,0.0,10.0,2,16,19,8,2,0.004208819683838979,0.004617503124113329,0.00465,0.0031,0.002829758101323597
18,0.0,10.0,2,17,21,13,2,0.10325299598796796,0.11327903482755697,0.1012,0.1123,0.10251026928343225
18,0.0,10.0,2,18,21,12,2,0.10325299598796796,0.11327903482755697,0.1009,0.11645,0.10629849383842997
18,0.0,10.0,2,19,19,9,2,0.004208819683838979,0.004617503124113329,0.0034,0.00395,0.0036056595162026485
18,0.0,10.0,2,20,20,11,1,0.020846420362486857,0.04574128538695811,0.0202,0.0435,0.019853947968963948
18,0.0,10.0,2,21,20,12,2,0.020846420362486857,0.022870642693479055,0.0198,0.02185,0.019945230488361484
18,0.0,10.0,2,22,20,12,4,0.020846420362486857,0.011435321346739528,0.02155,0.01115,0.020356001825650394
18,0.0,10.0,2,23,22,16,4,0.5114154370443441,0.2805373662525366,0.5164,0.28135,0.5136467366499317
18,0.0,10.0,2,24,18,8,4,0.000849746039034456,0.00046612890129396194,0.00085,0.00035,0.0006389776357827477
18,0.0,10.0,2,25,18,9,9,0.000849746039034456,0.00020716840057509418,0.001,5e-05,0.00020538566864445465
18,0.0,10.0,3,0,18,0,18,0.000849746039034456,0.00010358420028754709,0.0014,0.0,0.0
18,0.0,10.0,3,1,18,4,2,0.000849746039034456,0.0009322578025879239,0.00045,0.0012,0.0010826904858573557
18,0.0,10.0,3,2,18,0,12,0.000849746039034456,0.00015537630043132065,0.00055,5e-05,0.000270672621464339
18,0.0,10.0,3,3,18,2,4,0.000849746039034456,0.00046612890129396194,0.0009,0.0004,0.0007217936572382372
