N,lam,g,replica,exits,fallbacks,first_exit_sweeps,end_sweeps,went_through
64,1.25,1.5,0,1,0,98.21875,102.5234375,True
64,1.25,1.5,1,1,0,233.953125,238.203125,True
64,1.25,1.5,2,1,0,401.4375,408.859375,True
64,1.25,1.5,3,2,1,281.65625,3144.0078125,True
64,1.25,1.5,4,4,3,232.8125,3401.375,True
64,1.25,1.5,5,1,0,378.28125,395.59375,True
64,1.25,1.5,6,2,1,172.78125,513.796875,True
64,1.25,1.5,7,2,1,769.609375,1992.484375,True
64,1.25,1.5,8,1,0,759.5625,774.2421875,True
64,1.25,1.5,9,2,1,49.359375,1152.390625,True
64,1.25,1.5,10,1,0,2204.7109375,2225.0078125,True
64,1.25,1.5,11,2,1,119.390625,2398.6796875,True
64,1.25,1.5,12,1,0,891.578125,917.1171875,True
64,1.25,1.5,13,2,1,352.1953125,2700.125,True
64,1.25,1.5,14,2,1,2405.0,3895.640625,True
64,1.25,1.5,15,2,1,780.65625,1209.1015625,True
64,1.25,1.5,16,1,0,2954.9453125,2970.046875,True
64,1.25,1.5,17,2,1,1995.390625,2253.71875,True
64,1.25,1.5,18,2,1,989.9375,2344.0,True
64,1.25,1.5,19,1,0,1123.1484375,1160.6953125,True
64,1.25,1.5,20,2,1,392.1328125,935.8125,True
64,1.25,1.5,21,1,0,1865.40625,1866.8515625,True
64,1.25,1.5,22,1,0,383.7265625,388.71875,True
64,1.25,1.5,23,1,0,568.3359375,568.3359375,True
64,1.25,1.5,24,3,2,921.453125,2404.078125,True
64,1.25,1.5,25,1,0,55.8671875,55.8671875,True
64,1.25,1.5,26,1,0,959.0078125,964.4609375,True
64,1.25,1.5,27,1,0,358.9921875,363.75,True
64,1.25,1.5,28,2,1,1166.078125,3558.9609375,True
64,1.25,1.5,29,1,0,991.34375,995.53125,True
64,1.25,1.5,30,2,1,394.90625,1024.46875,True
64,1.25,1.5,31,1,0,434.7421875,444.828125,True
64,1.25,1.5,32,1,0,1242.7734375,1264.9140625,True
64,1.25,1.5,33,2,1,403.1953125,1589.8671875,True
64,1.25,1.5,34,1,0,886.78125,918.796875,True
64,1.25,1.5,35,1,0,1323.921875,1358.296875,True
64,1.25,1.5,36,1,0,574.0390625,599.21875,True
64,1.25,1.5,37,1,0,1224.359375,1234.9609375,True
64,1.25,1.5,38,1,0,19.8359375,19.8359375,True
64,1.25,1.5,39,1,0,1596.609375,1620.9375,True
