N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,1000,1.25,1.5,1690263742,4835,995,1.0,1.0,1.0,0.7627604166666666,1800,3600,0.75,0.0,1030,1,1.0,16,0,48,16,0,0,0,0,1105,1,1.0,32,0,32,32,0,0,0,0,1165,1,1.0,52,0,12,52,0,0,0,0
64,16,4,1001,1.25,1.5,3774854501,2740,835,1.0,1.0,1.0,0.98125,0,1800,0.75,0.0,855,1,1.0,16,0,48,16,0,0,0,0,905,1,1.0,32,0,32,32,0,0,0,0,915,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1002,1.25,1.5,420276463,145130,800,1.0,0.6875,1.0,0.6848958333333333,0,100200,0.75,0.0,810,4,0.25,8,0,52,8,4,0,0,0,875,3,0.8333333333333334,24,0,36,24,4,0,0,0,950,3,0.9,40,0,20,40,4,0,0,0
64,16,4,1003,1.25,1.5,3673538200,5285,1145,1.0,1.0,1.0,0.9046875,600,1800,0.75,0.0,1165,1,1.0,16,0,48,16,0,0,0,0,1215,1,1.0,36,0,28,36,0,0,0,0,1250,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1004,1.25,1.5,3037761144,7930,2535,1.0,1.0,1.0,0.9453125,600,1800,0.75,0.0,5950,1,1.0,16,0,48,16,0,0,0,0,6020,1,1.0,36,0,28,36,0,0,0,0,6090,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1005,1.25,1.5,1678025466,6775,590,1.0,1.0,1.0,0.7796875,4200,6000,0.75,0.0,590,1,1.0,16,0,48,16,0,0,0,0,650,1,1.0,32,0,32,32,0,0,0,0,730,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1006,1.25,1.5,1799208590,1405,205,1.0,1.0,1.0,1.0,0,1200,0.75,1.0,205,1,1.0,64,0,0,64,0,0,0,0,205,1,1.0,64,0,0,64,0,0,0,0,205,1,1.0,64,0,0,64,0,0,0,0
64,16,4,1007,1.25,1.5,2780238715,6505,975,1.0,1.0,1.0,0.76640625,4200,5400,0.75,0.0,980,1,1.0,16,0,48,16,0,0,0,0,1010,1,1.0,32,0,32,32,0,0,0,0,1035,1,1.0,52,0,12,52,0,0,0,0
64,16,4,1008,1.25,1.5,1586474998,7135,585,1.0,1.0,1.0,0.7671875,3000,4800,0.75,0.0,2230,1,1.0,16,0,48,16,0,0,0,0,2300,1,1.0,40,0,24,40,0,0,0,0,2310,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1009,1.25,1.5,3735127396,6065,560,1.0,1.0,1.0,0.9895833333333334,0,1800,0.75,0.0,575,1,1.0,16,0,48,16,0,0,0,0,605,1,1.0,32,0,32,32,0,0,0,0,630,1,1.0,48,0,16,48,0,0,0,0
