N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,reached,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,0,1.25,1.5,3714146177,2095,330,1.0,0.78125,1.0,0.75,355,1,1.0,16,0,48,16,0,0,0,0,415,1,1.0,32,0,32,32,0,0,0,0,465,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1,1.25,1.5,1942749574,3910,365,1.0,0.8604166666666666,1.0,0.75,2595,1,1.0,24,0,40,24,0,0,0,0,2600,1,1.0,36,0,28,36,0,0,0,0,2645,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2,1.25,1.5,479187315,545,240,1.0,0.39192708333333337,1.0,0.75,205,1,1.0,32,0,32,32,0,0,0,0,205,1,1.0,32,0,32,32,0,0,0,0,240,2,0.9782608695652174,46,0,13,46,5,0,0,0
64,16,4,3,1.25,1.5,3252986835,2585,2135,1.0,0.9583333333333334,1.0,0.75,2165,1,1.0,20,0,44,20,0,0,0,0,2200,1,1.0,32,0,32,32,0,0,0,0,2270,1,1.0,48,0,16,48,0,0,0,0
64,16,4,4,1.25,1.5,2614125179,695,270,1.0,0.9098958333333333,1.0,0.75,205,4,0.7857142857142857,28,0,32,28,4,0,0,0,205,4,0.7857142857142857,28,0,32,28,4,0,0,0,270,4,0.85,40,0,20,40,4,0,0,0
64,16,4,5,1.25,1.5,2475991579,795,260,1.0,0.3223958333333333,1.0,0.75,205,4,0.3333333333333333,12,0,48,12,4,0,0,0,275,2,0.9090909090909091,22,0,37,22,5,0,0,0,305,2,0.9666666666666667,30,0,25,30,9,0,0,0
64,16,4,6,1.25,1.5,1011895464,1175,775,1.0,0.96875,1.0,0.75,785,1,1.0,20,0,44,20,0,0,0,0,795,1,1.0,32,0,32,32,0,0,0,0,830,1,1.0,48,0,16,48,0,0,0,0
64,16,4,7,1.25,1.5,242803432,3140,390,1.0,0.778125,1.0,0.75,410,1,1.0,16,0,48,16,0,0,0,0,475,1,1.0,32,0,32,32,0,0,0,0,570,1,1.0,52,0,12,52,0,0,0,0
64,16,4,8,1.25,1.5,993778495,560,205,1.0,0.78125,1.0,0.75,205,1,1.0,40,0,24,40,0,0,0,0,205,1,1.0,40,0,24,40,0,0,0,0,210,1,1.0,48,0,16,48,0,0,0,0
64,16,4,9,1.25,1.5,4277890593,835,225,1.0,0.78125,1.0,0.75,235,1,1.0,24,0,40,24,0,0,0,0,255,1,1.0,36,0,28,36,0,0,0,0,270,1,1.0,48,0,16,48,0,0,0,0
64,16,4,10,1.25,1.5,1977985016,1870,1445,1.0,0.8864583333333333,1.0,0.75,1425,1,1.0,16,0,48,16,0,0,0,0,1475,1,1.0,32,0,32,32,0,0,0,0,1515,1,1.0,48,0,16,48,0,0,0,0
64,16,4,11,1.25,1.5,3048661538,2750,2225,1.0,0.778125,1.0,0.75,2250,1,1.0,16,0,48,16,0,0,0,0,2290,1,1.0,32,0,32,32,0,0,0,0,2320,1,1.0,48,0,16,48,0,0,0,0
64,16,4,12,1.25,1.5,2671488329,2650,2235,1.0,0.778125,1.0,0.75,2255,1,1.0,20,0,44,20,0,0,0,0,2285,1,1.0,32,0,32,32,0,0,0,0,2310,1,1.0,48,0,16,48,0,0,0,0
64,16,4,13,1.25,1.5,184071213,2085,290,1.0,0.771875,1.0,0.75,1720,1,1.0,16,0,48,16,0,0,0,0,1760,1,1.0,32,0,32,32,0,0,0,0,1780,1,1.0,52,0,12,52,0,0,0,0
64,16,4,14,1.25,1.5,749696573,1090,600,1.0,0.7661458333333333,1.0,0.75,605,1,1.0,20,0,44,20,0,0,0,0,635,1,1.0,32,0,32,32,0,0,0,0,660,1,1.0,48,0,16,48,0,0,0,0
64,16,4,15,1.25,1.5,4093692566,505,205,1.0,1.0,1.0,0.75,205,1,1.0,64,0,0,64,0,0,0,0,205,1,1.0,64,0,0,64,0,0,0,0,205,1,1.0,64,0,0,64,0,0,0,0
64,16,4,16,1.25,1.5,3695960682,885,585,1.0,0.7734375,1.0,0.75,205,1,1.0,58,0,5,58,1,0,0,0,205,1,1.0,58,0,5,58,1,0,0,0,205,1,1.0,58,0,5,58,1,0,0,0
