N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g,energy
64,0,2950,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3000,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3050,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3100,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3150,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3200,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3250,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3300,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3350,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3400,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3450,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3500,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3550,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3600,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3650,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3700,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3750,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3800,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3850,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,3900,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
