N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac,swap_rate,round_trips
160,0,temper,6.31,0.4819420833333334,0.03055129617124379,0.14934107163888888,0.14849437500000004,0.00025354451045883695,0.0016521220288336482,3.022864694185387,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.29055555555555557,1
160,0,temper,5.62,0.527135,0.029758605268056498,0.141691934,0.1064103124999996,0.0002870233917716244,0.0014977569591886689,4.313943323008853,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.2604444444444444,1
160,0,temper,5.01,0.5738542708333333,0.02886776943181298,0.13333569791493055,0.07270843750000044,0.0003736393268881037,0.00167054167852235,7.079343063965251,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.24155555555555555,1
160,0,temper,4.5,0.62155875,0.027597841787976224,0.12186253941666667,0.04722003472222218,0.00039959264335147327,0.0025422843236175153,11.038722168075298,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.29533333333333334,1
160,0,temper,4.1,0.6629994791666667,0.02742705523937509,0.12035893745659722,0.03168222222222223,0.00062866104422277,0.0027608851906834268,19.19897331020655,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.27444444444444444,1
160,0,temper,3.75,0.7038533333333334,0.02610783924684095,0.1090590832222222,0.020440381944444506,0.000851651194770792,0.002566544149396608,29.231389712035398,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.263,1
160,0,temper,3.45,0.7465434375,0.02635308555732947,0.11111761894270833,0.012850277777777629,0.0012857871834414984,0.00322270255835297,67.65773248300218,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.275,1
160,0,temper,3.2,0.7903328125,0.02843492280274693,0.12936717356770835,0.008154687499999915,0.002146615717826132,0.006268674712208745,219.74002764213805,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.29944444444444446,1
160,0,temper,3.0,0.8294173958333333,0.030131617089473463,0.14526629574826389,0.005506249999999087,0.0031223455643844705,0.013879394280638665,408.79434245807926,16,10,1.0,2,0.0,1.0003333333333333,0.9999625,0.0,0.0,0.37833333333333335,1
160,0,temper,2.85,0.8746146874999999,0.03380971719765898,0.1828955163177084,0.004098263888888252,0.005538823102791939,0.021254594624912863,2362.957665530416,16,10,1.0,2,0.0,1.0151666666666668,0.99829375,0.0,0.0,0.21833333333333332,1
160,0,temper,2.7,0.9267678125000001,0.014018467002131286,0.031442786734375,0.003693194444444048,0.0009227258787797112,0.002459685819529391,34.96948072912049,16,10,1.0,2,0.0,1.0894166666666667,0.989940625,0.0,0.0,0.516,1
160,0,temper,2.5,0.9380616666666666,0.009080923762970839,0.013194108222222153,0.0030686805555550996,0.0009290451933323294,0.0012597603867175802,608.5903621838592,16,10,1.0,2,0.0,1.1888333333333334,0.9787460416666667,0.0,0.0,0.4106666666666667,1
160,0,temper,2.25,0.9484752083333331,0.006499139362761585,0.006758209993055529,0.0021824652777773903,0.00027226021152756166,0.0003586272476318116,6.713691854161536,16,10,1.0,2,0.0,1.0449166666666667,0.9949347916666668,0.0,0.0,0.07466666666666667,1
160,0,temper,2.0,0.9744301041666664,0.0037352257558924957,0.0022323058315972264,0.0005608333333333432,5.261282687624152e-05,0.0002036689087984127,4.784894817499876,16,10,1.0,2,0.0,1.0038666666666667,0.99850125,0.0,0.0,,1
160,1,temper,6.31,0.4819909375,0.030709934877214577,0.15089601602604163,0.14867937500000006,0.00033683667434559713,0.0012900497780463118,3.026109053763666,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.2907777777777778,1
160,1,temper,5.62,0.527691875,0.02976297260273311,0.14173352610416667,0.10618826388888891,0.0003372102852703974,0.0015515719705407505,4.328784084224413,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.26122222222222224,1
160,1,temper,5.01,0.5742282291666666,0.028563207868500157,0.13053709499826388,0.07255430555555557,0.00041019149510319105,0.0012956315935353064,6.846738363091331,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.24488888888888888,1
160,1,temper,4.5,0.620863125,0.028174161933428324,0.12700534410416667,0.04768166666666699,0.0006879372304902687,0.001871520781307148,11.540790078800844,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.2832222222222222,1
160,1,temper,4.1,0.6625478125,0.026751088965495287,0.11449932173437499,0.03156746527777787,0.0005872936453039517,0.0021712256646903606,16.165949847158192,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.26055555555555554,1
160,1,temper,3.75,0.7048932291666666,0.026534145277625758,0.11264973849826387,0.020202638888888975,0.0009908870562086965,0.0029704853313975614,33.6689594510462,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.29,1
160,1,temper,3.45,0.7454930208333332,0.0272811896856833,0.11908212970659723,0.013173020833333153,0.001711939794554308,0.004843413211962804,75.79471904649446,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.2767777777777778,1
160,1,temper,3.2,0.7873346875,0.026750937287049907,0.11449802331770831,0.008329236111111003,0.0018175671577796003,0.008835023533266671,174.47043190844383,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.26466666666666666,1
160,1,temper,3.0,0.8329865625,0.03172785647857826,0.16106510027604165,0.0053343402777768735,0.0037650446316894203,0.0175422201433858,537.9801388344027,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.2692222222222222,1
160,1,temper,2.85,0.8876784375000001,0.03543781317698551,0.20093417644270845,0.004029374999999513,0.005982021371908524,0.02583836193574324,1869.5934603913868,16,10,1.0,2,0.0,1.0000666666666667,0.9999716666666666,0.0,0.0,0.3938888888888889,1
