N,dims,C,spark,replica,lam,local_heat,sweep,h_per_vertex,d0,d1,d2,d3,d4,d5,d6,d7,melted,pieces_flat,largest_flat,bath_T,total,drift,left,final
288,4 4 18,576,5.0,0,1.4,False,0,3.1999999999999997,0,288,0,0,0,0,0,0,0,0,0,0.008680555555555556,5.0,0.0,False,False
288,4 4 18,576,5.0,0,1.4,False,200,3.1999999999999997,0,288,0,0,0,0,0,0,0,0,0,0.008680555555555556,5.0,0.0,False,False
288,4 4 18,576,5.0,0,1.4,False,400,3.1999999999999997,0,288,0,0,0,0,0,0,0,0,0,0.008680555555555556,5.0,0.0,False,False
288,4 4 18,576,5.0,0,1.4,False,600,3.1999999999999997,0,288,0,0,0,0,0,0,0,0,0,0.008680555555555556,5.0,0.0,False,False
288,4 4 18,576,5.0,0,1.4,False,800,3.1999999999999997,0,288,0,0,0,0,0,0,0,0,0,0.008680555555555556,5.0,0.0,False,False
288,4 4 18,576,5.0,0,1.4,False,1000,3.1999999999999997,0,288,0,0,0,0,0,0,0,0,0,0.008680555555555556,5.0,0.0,False,False
288,4 4 18,576,5.0,0,1.4,False,1200,3.2166666666666655,0,268,16,0,0,4,0,0,4,0,0,0.0003472222222222025,0.19999999999998863,2.2737367544323206e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,1400,3.2166666666666655,0,252,28,0,0,8,0,0,8,0,0,0.0003472222222222025,0.19999999999998863,2.2737367544323206e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,1600,3.2166666666666655,0,204,64,0,0,20,0,0,20,0,0,0.0003472222222222025,0.19999999999998863,2.2737367544323206e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,1800,3.1638888888888883,0,172,87,1,10,17,1,0,28,1,1,0.026736111111111086,15.399999999999984,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,2000,3.1361111111111106,0,136,110,5,9,27,1,0,37,5,1,0.040624999999999946,23.39999999999997,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,2200,3.0999999999999996,0,100,122,17,13,35,1,0,49,11,2,0.0586805555555555,33.79999999999997,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,2400,3.0555555555555554,0,67,135,27,24,32,3,0,59,9,5,0.08090277777777771,46.599999999999966,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,2600,3.008333333333333,0,63,135,29,24,34,3,0,61,9,5,0.10451388888888885,60.199999999999974,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,2800,2.955555555555555,0,51,141,32,27,35,2,0,64,8,8,0.1309027777777777,75.39999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,3000,2.933333333333333,0,39,142,37,32,34,4,0,70,9,11,0.14201388888888877,81.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,3200,2.8972222222222217,0,39,142,37,34,34,2,0,70,9,11,0.16006944444444435,92.19999999999995,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,3400,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,3600,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,3800,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,4000,2.836111111111111,0,46,142,33,37,29,1,0,67,3,23,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,4200,2.836111111111111,0,46,142,33,37,29,1,0,67,3,23,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,4400,2.836111111111111,0,46,142,33,37,29,1,0,67,3,23,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,4600,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,4800,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,5000,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,5200,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,5400,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,5600,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,5800,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,6000,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,6200,2.836111111111111,0,46,142,32,38,30,0,0,68,4,11,0.1906249999999999,109.79999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,6400,2.8416666666666663,0,42,142,34,32,36,2,0,70,2,17,0.18784722222222214,108.19999999999995,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,6600,2.8055555555555554,0,42,142,34,36,32,2,0,70,2,17,0.20590277777777768,118.59999999999995,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,6800,2.7861111111111105,0,42,142,34,36,32,2,0,70,2,17,0.2156249999999999,124.19999999999995,1.1368683772161603e-13,True,False
