N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,0,1.35,1.5,2482258495,2020,220,1.0,1.4000000000000004,1.4000000000000004,1.3971875000000002,0,1200,0.75,0.0,230,4,0.25,8,0,52,8,4,0,0,0,740,1,1.0,32,0,32,32,0,0,0,0,805,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1,1.35,1.5,3218668494,28530,305,1.0,1.4000000000000004,1.4000000000000004,0.7173958333333335,24600,25800,0.75,0.0,305,4,0.25,8,0,52,8,4,0,0,0,310,4,0.7,20,0,36,20,8,0,0,0,460,4,0.5263157894736842,38,0,17,38,9,0,0,0
64,16,4,2,1.35,1.5,3256034574,100405,205,1.0,1.1500000000000004,1.4000000000000004,0.4231770833333338,78000,100200,0.75,1.0,205,2,0.9795918367346939,49,0,8,49,6,1,0,0,205,2,0.9795918367346939,49,0,8,49,6,1,0,0,205,2,0.9795918367346939,49,0,8,49,6,1,0,0
64,16,4,3,1.35,1.5,3379887909,8085,1175,1.0,1.4000000000000004,1.4000000000000004,1.1430729166666669,5400,6600,0.75,0.0,1195,4,0.25,8,0,52,8,4,0,0,0,1400,1,1.0,32,0,32,32,0,0,0,0,1450,1,1.0,48,0,16,48,0,0,0,0
64,16,4,4,1.35,1.5,528369320,2105,215,1.0,1.4000000000000004,1.4000000000000004,1.3690625000000003,0,1800,0.75,0.375,205,1,1.0,24,0,40,24,0,0,0,0,215,1,1.0,36,0,28,36,0,0,0,0,275,1,1.0,48,0,16,48,0,0,0,0
64,16,4,5,1.35,1.5,1272735585,3240,205,1.0,1.4000000000000004,1.4000000000000004,1.1430729166666669,1800,3000,0.75,0.8125,205,1,1.0,52,0,12,52,0,0,0,0,205,1,1.0,52,0,12,52,0,0,0,0,205,1,1.0,52,0,12,52,0,0,0,0
64,16,4,6,1.35,1.5,708760773,2395,390,1.0,1.4000000000000004,1.4000000000000004,1.3915625000000003,0,1800,0.75,0.0,395,1,1.0,16,0,48,16,0,0,0,0,435,4,0.7857142857142857,28,0,32,28,4,0,0,0,485,4,0.85,40,0,20,40,4,0,0,0
64,16,4,7,1.35,1.5,1400466719,100405,205,0.984375,0.9466145833333337,1.4000000000000004,0.44096354166666707,600,100200,0.75,1.0625,205,1,1.0,56,0,2,56,6,0,0,0,205,1,1.0,56,0,2,56,6,0,0,0,205,1,1.0,56,0,2,56,6,0,0,0
64,16,4,8,1.35,1.5,1790030325,4320,440,1.0,1.4000000000000004,1.4000000000000004,1.3823437500000004,0,1800,0.75,0.0,440,4,0.25,8,0,52,8,4,0,0,0,730,1,1.0,32,0,32,32,0,0,0,0,760,1,1.0,44,0,18,44,2,0,0,0
64,16,4,9,1.35,1.5,1512760041,100835,205,1.0,0.9792187500000002,1.4000000000000004,0.15919270833333354,2400,100200,0.75,0.3125,205,4,0.3333333333333333,12,0,48,12,4,0,0,0,220,3,0.7777777777777778,18,0,40,18,4,2,0,0,260,4,0.6666666666666666,30,0,23,30,11,0,0,0
64,16,4,10,1.35,1.5,4242169677,2120,205,1.0,1.4000000000000004,1.4000000000000004,1.3915625000000003,0,1800,0.75,0.25,205,4,0.25,8,0,52,8,4,0,0,0,265,1,1.0,32,0,32,32,0,0,0,0,295,1,1.0,48,0,16,48,0,0,0,0
64,16,4,11,1.35,1.5,2795163941,101340,205,1.0,0.9812500000000002,1.4000000000000004,0.6001562500000003,16200,100200,0.75,0.4375,205,5,0.3333333333333333,12,0,44,12,8,0,0,0,510,5,0.375,16,0,40,16,8,0,0,0,965,2,0.9444444444444444,36,0,22,36,6,0,0,0
64,16,4,12,1.35,1.5,3620889400,100485,205,1.0,1.1440625000000004,1.4000000000000004,0.7860677083333337,10200,100200,0.75,0.5,205,3,0.7894736842105263,19,0,39,19,5,1,0,0,205,3,0.7894736842105263,19,0,39,19,5,1,0,0,230,1,1.0,40,0,20,40,4,0,0,0
64,16,4,13,1.35,1.5,3325954841,100985,270,1.0,1.2250000000000003,1.4000000000000004,1.1333333333333337,600,100200,0.75,0.0,270,4,0.25,8,0,52,8,4,0,0,0,285,3,0.8333333333333334,24,0,36,24,4,0,0,0,505,4,0.8333333333333334,36,0,20,36,8,0,0,0
64,16,4,14,1.35,1.5,3307357975,74885,295,1.0,1.4000000000000004,1.4000000000000004,0.6816145833333334,73200,74400,0.75,0.0,295,4,0.25,8,0,52,8,4,0,0,0,395,4,0.42857142857142855,28,0,32,28,4,0,0,0,410,3,0.5,40,0,20,40,4,0,0,0
64,16,4,15,1.35,1.5,2559136126,113005,205,1.0,1.0625000000000002,1.4000000000000004,1.016510416666667,0,100200,0.75,0.875,205,1,1.0,40,0,16,40,8,0,0,0,205,1,1.0,40,0,16,40,8,0,0,0,205,1,1.0,40,0,16,40,8,0,0,0
64,16,4,16,1.35,1.5,3048044093,100750,310,1.0,1.0625000000000002,1.4000000000000004,0.7725000000000003,1200,100200,0.75,0.0,310,4,0.25,8,0,52,8,4,0,0,0,410,3,0.8333333333333334,24,0,36,24,4,0,0,0,435,4,0.8333333333333334,36,0,20,36,8,0,0,0
64,16,4,17,1.35,1.5,64312342,100440,,1.0,0.9812500000000002,1.4000000000000004,0.7031250000000003,8400,100200,0.75,0.9375,205,1,1.0,42,0,14,42,6,2,0,0,205,1,1.0,42,0,14,42,6,2,0,0,205,1,1.0,42,0,14,42,6,2,0,0
64,16,4,18,1.35,1.5,3596980801,5665,755,1.0,1.4000000000000004,1.4000000000000004,0.014375000000000027,3600,4800,0.75,0.0,755,4,0.25,8,0,52,8,4,0,0,0,765,7,0.25,16,0,40,16,8,0,0,0,775,7,0.25,24,0,28,24,12,0,0,0
64,16,4,19,1.35,1.5,3851169293,100955,210,1.0,0.7301562500000003,1.4000000000000004,0.24000000000000044,17400,100200,0.75,0.25,205,4,0.25,8,0,52,8,4,0,0,0,225,4,0.7,20,0,36,20,8,0,0,0,380,3,0.9090909090909091,33,0,22,33,8,1,0,0
64,16,4,20,1.35,1.5,1462729178,2400,355,1.0,1.4000000000000004,1.4000000000000004,1.2458854166666669,600,1800,0.75,0.0,365,1,1.0,16,0,48,16,0,0,0,0,380,1,1.0,32,0,32,32,0,0,0,0,430,1,1.0,48,0,16,48,0,0,0,0
64,16,4,21,1.35,1.5,733316522,2055,205,1.0,1.4000000000000004,1.4000000000000004,1.381666666666667,0,1800,0.75,0.8125,205,1,1.0,52,0,12,52,0,0,0,0,205,1,1.0,52,0,12,52,0,0,0,0,205,1,1.0,52,0,12,52,0,0,0,0
64,16,4,22,1.35,1.5,1619979547,108330,315,1.0,1.0625000000000002,1.4000000000000004,1.0382812500000003,0,100200,0.75,0.625,205,3,0.875,32,0,28,32,4,0,0,0,205,3,0.875,32,0,28,32,4,0,0,0,315,4,0.8333333333333334,36,0,20,36,8,0,0,0
64,16,4,23,1.35,1.5,2041161342,3975,205,1.0,1.4000000000000004,1.4000000000000004,1.1383333333333336,2400,3600,0.75,0.5,205,1,1.0,36,0,28,36,0,0,0,0,205,1,1.0,36,0,28,36,0,0,0,0,245,3,0.9166666666666666,48,0,12,48,4,0,0,0
64,16,4,24,1.35,1.5,455138384,100680,275,1.0,0.8062500000000004,1.4000000000000004,0.7880989583333338,600,100200,0.75,0.0,275,4,0.25,8,0,52,8,4,0,0,0,340,4,0.5,24,0,36,24,4,0,0,0,350,3,0.9210526315789473,38,0,21,38,5,0,0,0
64,16,4,25,1.35,1.5,2460208202,2700,205,1.0,1.4000000000000004,1.4000000000000004,1.1280208333333337,1200,2400,0.75,0.5625,205,1,1.0,44,0,20,44,0,0,0,0,205,1,1.0,44,0,20,44,0,0,0,0,210,1,1.0,48,0,16,48,0,0,0,0
64,16,4,26,1.35,1.5,3196715801,104735,240,1.0,1.0625000000000002,1.4000000000000004,1.0497395833333336,0,100200,0.75,0.5,205,3,0.8333333333333334,24,0,36,24,4,0,0,0,205,3,0.8333333333333334,24,0,36,24,4,0,0,0,330,3,0.8333333333333334,36,0,20,36,8,0,0,0
64,16,4,27,1.35,1.5,1440921093,5085,1485,1.0,1.4000000000000004,1.4000000000000004,1.1437500000000003,2400,3600,0.75,0.75,205,2,0.9791666666666666,48,0,12,48,4,0,0,0,205,2,0.9791666666666666,48,0,12,48,4,0,0,0,205,2,0.9791666666666666,48,0,12,48,4,0,0,0
64,16,4,28,1.35,1.5,54000061,2160,205,1.0,1.4000000000000004,1.4000000000000004,1.3567187500000004,0,1800,0.75,0.25,205,1,1.0,16,0,48,16,0,0,0,0,240,1,1.0,32,0,32,32,0,0,0,0,265,1,1.0,48,0,16,48,0,0,0,0
64,16,4,29,1.35,1.5,2629584223,1690,290,1.0,1.4000000000000004,1.4000000000000004,1.3943750000000004,0,1200,0.75,0.0,315,1,1.0,16,0,48,16,0,0,0,0,350,1,1.0,32,0,32,32,0,0,0,0,420,1,1.0,48,0,16,48,0,0,0,0
64,16,4,30,1.35,1.5,3372553742,2720,205,1.0,1.4000000000000004,1.4000000000000004,1.3683333333333336,0,1800,0.75,0.6875,205,3,0.9285714285714286,42,0,17,42,5,0,0,0,205,3,0.9285714285714286,42,0,17,42,5,0,0,0,205,3,0.9285714285714286,42,0,17,42,5,0,0,0
64,16,4,31,1.35,1.5,1398687614,2810,395,1.0,1.4000000000000004,1.4000000000000004,1.3831250000000004,0,1800,0.75,0.0,400,4,0.25,8,0,52,8,4,0,0,0,455,4,0.75,24,0,36,24,4,0,0,0,525,1,1.0,48,0,16,48,0,0,0,0
64,16,4,32,1.35,1.5,3938051429,100420,205,1.0,0.9812500000000002,1.4000000000000004,0.47968750000000027,2400,100200,0.75,0.9375,205,1,1.0,40,0,14,40,10,0,0,0,205,1,1.0,40,0,14,40,10,0,0,0,205,1,1.0,40,0,14,40,10,0,0,0
64,16,4,33,1.35,1.5,658128978,4880,510,1.0,1.4000000000000004,1.4000000000000004,0.9241406250000005,3000,4200,0.75,0.0,510,4,0.25,8,0,52,8,4,0,0,0,600,4,0.5833333333333334,24,0,36,24,4,0,0,0,615,4,0.55,40,0,20,40,4,0,0,0
64,16,4,34,1.35,1.5,872644025,2140,215,1.0,1.4000000000000004,1.4000000000000004,1.1166666666666671,600,1800,0.75,0.0,215,4,0.625,16,0,44,16,4,0,0,0,225,4,0.75,24,0,36,24,4,0,0,0,265,4,0.85,40,0,20,40,4,0,0,0
64,16,4,35,1.35,1.5,106579492,2675,215,1.0,1.4000000000000004,1.4000000000000004,0.7872395833333334,600,2400,0.75,0.6875,205,3,0.7777777777777778,36,0,24,36,4,0,0,0,205,3,0.7777777777777778,36,0,24,36,4,0,0,0,215,3,0.7,40,0,20,40,4,0,0,0
64,16,4,36,1.35,1.5,3555248809,102560,205,1.0,1.0625000000000002,1.4000000000000004,1.0625000000000002,1200,100200,0.75,0.25,205,3,0.75,16,0,44,16,4,0,0,0,320,3,0.8333333333333334,24,0,36,24,4,0,0,0,375,3,0.9,40,0,20,40,4,0,0,0
64,16,4,37,1.35,1.5,441973734,2450,320,1.0,1.4000000000000004,1.4000000000000004,1.3915625000000003,0,1800,0.75,0.0,320,4,0.25,8,0,52,8,4,0,0,0,380,1,1.0,32,0,32,32,0,0,0,0,405,4,0.8636363636363636,44,0,16,44,4,0,0,0
64,16,4,38,1.35,1.5,3265563501,5145,205,1.0,1.4000000000000004,1.4000000000000004,0.5417187500000005,3600,4800,0.75,0.25,205,4,0.25,8,0,52,8,4,0,0,0,245,1,1.0,32,0,32,32,0,0,0,0,290,3,0.9347826086956522,46,0,13,46,5,0,0,0
64,16,4,39,1.35,1.5,1728081406,4965,540,1.0,1.4000000000000004,1.4000000000000004,1.132916666666667,3000,4200,0.75,0.0,545,1,1.0,16,0,48,16,0,0,0,0,655,1,1.0,32,0,32,32,0,0,0,0,700,1,1.0,48,0,16,48,0,0,0,0
