N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,2750,1.3,1.5,2168475762,4870,1745,1.0,1.2000000000000002,1.2000000000000002,1.1102083333333335,600,1800,0.75,0.0,2945,1,1.0,16,0,48,16,0,0,0,0,3005,1,1.0,32,0,32,32,0,0,0,0,3050,1,1.0,52,0,12,52,0,0,0,0
64,16,4,2751,1.3,1.5,1365647843,3590,395,1.0,1.2000000000000002,1.2000000000000002,0.9603125000000002,1200,3000,0.75,0.0,435,1,1.0,24,0,40,24,0,0,0,0,455,1,1.0,32,0,32,32,0,0,0,0,515,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2752,1.3,1.5,3379944991,2445,510,1.0,1.2000000000000002,1.2000000000000002,1.1783333333333335,0,1800,0.75,0.0,550,1,1.0,16,0,48,16,0,0,0,0,575,1,1.0,32,0,32,32,0,0,0,0,615,1,1.0,52,0,12,52,0,0,0,0
64,16,4,2753,1.3,1.5,2976346946,2855,685,1.0,1.2000000000000002,1.2000000000000002,1.0019791666666669,600,1800,0.75,0.0,685,4,0.25,8,0,52,8,4,0,0,0,815,1,1.0,32,0,32,32,0,0,0,0,870,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2754,1.3,1.5,3898489352,4560,1305,1.0,1.2000000000000002,1.2000000000000002,0.9617708333333336,1800,3000,0.75,0.0,1305,4,0.25,8,0,52,8,4,0,0,0,1485,1,1.0,32,0,32,32,0,0,0,0,1545,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2755,1.3,1.5,16995715,3490,270,1.0,1.2000000000000002,1.2000000000000002,0.9545833333333336,1200,3000,0.75,0.0,285,1,1.0,16,0,48,16,0,0,0,0,360,1,1.0,32,0,32,32,0,0,0,0,410,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2756,1.3,1.5,37564640,4410,645,1.0,1.2000000000000002,1.2000000000000002,0.9603125000000002,1800,3600,0.75,0.0,645,4,0.25,8,0,52,8,4,0,0,0,700,1,1.0,32,0,32,32,0,0,0,0,755,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2757,1.3,1.5,2000147612,137740,445,1.0,0.8750000000000001,1.2000000000000002,0.8953125000000002,0,100200,0.75,0.0,445,4,0.25,8,0,52,8,4,0,0,0,1130,3,0.8333333333333334,24,0,36,24,4,0,0,0,1305,3,0.9,40,0,20,40,4,0,0,0
64,16,4,2758,1.3,1.5,2907031363,3960,205,1.0,1.2000000000000002,1.2000000000000002,0.9617708333333336,2400,3600,0.75,0.125,220,1,1.0,16,0,48,16,0,0,0,0,260,1,1.0,32,0,32,32,0,0,0,0,315,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2759,1.3,1.5,1972698837,2205,250,1.0,1.2000000000000002,1.2000000000000002,0.9685416666666669,600,1800,0.75,0.3125,205,1,1.0,20,0,44,20,0,0,0,0,260,1,1.0,32,0,32,32,0,0,0,0,275,3,0.8421052631578947,38,0,17,38,9,0,0,0
