N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,1250,1.25,1.5,1639309258,6585,435,1.0,1.0,1.0,0.7703125,4800,6000,0.75,0.0,465,1,1.0,20,0,44,20,0,0,0,0,495,1,1.0,32,0,32,32,0,0,0,0,510,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1251,1.25,1.5,313295069,4420,1235,1.0,1.0,1.0,0.9739583333333334,0,1800,0.75,0.0,1235,4,0.25,8,0,52,8,4,0,0,0,2510,1,1.0,32,0,32,32,0,0,0,0,2560,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1252,1.25,1.5,2411284693,4345,1790,1.0,1.0,1.0,0.809375,600,1800,0.75,0.0,1845,1,1.0,16,0,48,16,0,0,0,0,1875,1,1.0,32,0,32,32,0,0,0,0,1935,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1253,1.25,1.5,4260517547,5115,205,1.0,1.0,1.0,0.7734375,3000,4200,0.75,0.875,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0
64,16,4,1254,1.25,1.5,458090091,2745,655,1.0,1.0,1.0,0.984375,0,1800,0.75,0.0,660,1,1.0,16,0,48,16,0,0,0,0,790,1,1.0,32,0,32,32,0,0,0,0,870,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1255,1.25,1.5,2371934238,1695,375,1.0,1.0,1.0,1.0,0,1200,0.75,0.0,375,1,1.0,16,0,48,16,0,0,0,0,390,2,0.5588235294117647,34,0,29,34,1,0,0,0,455,1,1.0,52,0,12,52,0,0,0,0
64,16,4,1256,1.25,1.5,559043616,2240,255,1.0,1.0,1.0,0.9791666666666666,0,1800,0.75,0.0,265,1,1.0,16,0,48,16,0,0,0,0,325,1,1.0,32,0,32,32,0,0,0,0,375,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1257,1.25,1.5,3878586923,3260,590,1.0,1.0,1.0,0.7765625,1200,2400,0.75,0.0,600,1,1.0,16,0,48,16,0,0,0,0,665,1,1.0,36,0,28,36,0,0,0,0,695,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1258,1.25,1.5,4033189659,5980,240,1.0,1.0,1.0,0.9661458333333334,0,1800,0.75,0.0,255,1,1.0,16,0,48,16,0,0,0,0,285,1,1.0,32,0,30,32,2,0,0,0,320,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1259,1.25,1.5,2654182644,7780,2475,1.0,1.0,1.0,0.851171875,600,1800,0.75,0.0,5735,1,1.0,24,0,40,24,0,0,0,0,5820,1,1.0,32,0,32,32,0,0,0,0,5910,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1260,1.25,1.5,3852973025,2230,260,1.0,1.0,1.0,0.81875,600,1800,0.75,0.0,260,4,0.25,8,0,52,8,4,0,0,0,305,1,1.0,32,0,32,32,0,0,0,0,350,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1261,1.25,1.5,204368571,5610,1230,1.0,1.0,1.0,0.77890625,3000,4200,0.75,0.0,1245,1,1.0,16,0,48,16,0,0,0,0,1315,1,1.0,32,0,32,32,0,0,0,0,1380,1,1.0,52,0,12,52,0,0,0,0
64,16,4,1262,1.25,1.5,1073978506,6440,1615,1.0,1.0,1.0,0.9947916666666666,0,1800,0.75,0.0,4445,1,1.0,16,0,48,16,0,0,0,0,4545,1,1.0,32,0,32,32,0,0,0,0,4590,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1263,1.25,1.5,4267513555,5005,440,1.0,1.0,1.0,1.0,0,1200,0.75,0.0,2245,1,1.0,16,0,48,16,0,0,0,0,2290,1,1.0,40,0,24,40,0,0,0,0,2315,1,1.0,52,0,12,52,0,0,0,0
64,16,4,1264,1.25,1.5,654569257,4790,1110,1.0,1.0,1.0,0.775,2400,3600,0.75,0.0,1115,1,1.0,16,0,48,16,0,0,0,0,1140,1,1.0,36,0,28,36,0,0,0,0,1170,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1265,1.25,1.5,818264623,5670,685,1.0,1.0,1.0,0.7765625,3600,4800,0.75,0.0,705,1,1.0,16,0,48,16,0,0,0,0,745,1,1.0,32,0,32,32,0,0,0,0,775,4,0.85,40,0,20,40,4,0,0,0
64,16,4,1266,1.25,1.5,1056295760,2145,215,1.0,1.0,1.0,0.9947916666666666,0,1800,0.75,0.0,235,1,1.0,20,0,44,20,0,0,0,0,265,1,1.0,32,0,32,32,0,0,0,0,310,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1267,1.25,1.5,2396383710,3745,675,1.0,1.0,1.0,0.7716145833333333,1800,3000,0.75,0.0,690,1,1.0,16,0,48,16,0,0,0,0,710,1,1.0,32,0,32,32,0,0,0,0,725,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1268,1.25,1.5,786953808,2360,430,1.0,1.0,1.0,0.9895833333333334,0,1800,0.75,0.0,435,1,1.0,16,0,48,16,0,0,0,0,470,1,1.0,32,0,32,32,0,0,0,0,515,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1269,1.25,1.5,2551308809,2705,250,1.0,1.0,1.0,0.7796875,1200,2400,0.75,0.5625,205,1,1.0,40,0,24,40,0,0,0,0,205,1,1.0,40,0,24,40,0,0,0,0,250,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1270,1.25,1.5,3496209940,3545,310,1.0,1.0,1.0,0.90078125,600,1800,0.75,0.0,310,4,0.25,8,0,52,8,4,0,0,0,1640,1,1.0,32,0,32,32,0,0,0,0,1710,1,1.0,52,0,12,52,0,0,0,0
64,16,4,1271,1.25,1.5,2845835579,4215,830,1.0,1.0,1.0,0.9947916666666666,0,1800,0.75,0.0,830,4,0.25,8,0,52,8,4,0,0,0,2270,1,1.0,32,0,32,32,0,0,0,0,2310,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1272,1.25,1.5,564437721,6155,3745,1.0,1.0,1.0,0.95078125,0,1800,0.75,0.0,3745,4,0.25,8,0,52,8,4,0,0,0,4260,1,1.0,32,0,32,32,0,0,0,0,4295,1,1.0,52,0,12,52,0,0,0,0
64,16,4,1273,1.25,1.5,1831691168,4630,1600,1.0,1.0,1.0,0.9533854166666667,0,1800,0.75,0.0,1605,1,1.0,20,0,44,20,0,0,0,0,1620,1,1.0,36,0,28,36,0,0,0,0,1630,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1274,1.25,1.5,3994708986,4685,1310,1.0,1.0,1.0,0.84609375,600,1800,0.75,0.0,2690,1,1.0,16,0,48,16,0,0,0,0,2740,1,1.0,32,0,32,32,0,0,0,0,2795,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1275,1.25,1.5,3500607391,2660,205,1.0,1.0,1.0,0.7783854166666666,1200,2400,0.75,0.8125,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0,205,1,1.0,56,0,8,56,0,0,0,0
64,16,4,1276,1.25,1.5,139208877,3860,1880,1.0,1.0,1.0,0.9776041666666667,0,1800,0.75,0.0,1885,1,1.0,16,0,48,16,0,0,0,0,1965,1,1.0,36,0,28,36,0,0,0,0,1990,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1277,1.25,1.5,3178514362,1820,445,1.0,1.0,1.0,1.0,0,1200,0.75,0.0,455,1,1.0,16,0,48,16,0,0,0,0,515,1,1.0,32,0,32,32,0,0,0,0,550,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1278,1.25,1.5,1488511740,5830,2040,1.0,1.0,1.0,0.7765625,2400,3600,0.75,0.0,2045,4,0.25,8,0,52,8,4,0,0,0,2140,1,1.0,32,0,32,32,0,0,0,0,2190,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1279,1.25,1.5,2767900461,2265,895,1.0,1.0,1.0,0.9973958333333334,0,1200,0.75,0.0,905,1,1.0,16,0,48,16,0,0,0,0,930,1,1.0,36,0,28,36,0,0,0,0,995,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1280,1.25,1.5,2202591450,6470,480,1.0,1.0,1.0,0.76484375,4200,5400,0.75,0.0,480,4,0.25,8,0,52,8,4,0,0,0,960,1,1.0,32,0,32,32,0,0,0,0,975,1,1.0,48,0,16,48,0,0,0,0
64,16,4,1281,1.25,1.5,710951,8490,475,1.0,1.0,1.0,0.77578125,6600,7800,0.75,0.0,515,1,1.0,16,0,48,16,0,0,0,0,540,1,1.0,32,0,32,32,0,0,0,0,600,1,1.0,52,0,12,52,0,0,0,0
