N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
96,24,4,0,1.25,1.5,3675546041,3000,220,1.0,1.0,1.0,0.8473958333333333,1200,2400,0.75,270,1,1.0,24,0,72,24,0,0,0,0,350,1,1.0,48,0,48,48,0,0,0,0,415,1,1.0,76,0,20,76,0,0,0,0
96,24,4,1,1.25,1.5,3530726764,3205,475,1.0,1.0,1.0,0.9336805555555555,600,1800,0.75,1000,1,1.0,28,0,68,28,0,0,0,0,1215,1,1.0,48,0,48,48,0,0,0,0,1340,1,1.0,72,0,24,72,0,0,0,0
96,24,4,2,1.25,1.5,1611048910,12675,540,1.0,1.0,1.0,0.853125,9600,11400,0.75,810,1,1.0,24,0,72,24,0,0,0,0,950,1,1.0,52,0,44,52,0,0,0,0,1130,1,1.0,72,0,24,72,0,0,0,0
96,24,4,3,1.25,1.5,272879013,60000,240,1.0416666666666667,0.8333333333333334,1.0,0.8333333333333334,0,30000,0.75,205,3,0.875,32,0,60,32,4,0,0,0,240,3,0.9,40,0,52,40,4,0,0,0,620,3,0.9375,64,0,28,64,4,0,0,0
96,24,4,4,1.25,1.5,747659656,2730,1210,1.0,1.0,1.0,0.9982638888888888,0,1200,0.75,1285,1,1.0,24,0,72,24,0,0,0,0,1370,1,1.0,48,0,48,48,0,0,0,0,1460,1,1.0,72,0,24,72,0,0,0,0
96,24,4,5,1.25,1.5,56480381,4390,335,1.0,1.0,1.0,0.8458333333333333,1800,3000,0.75,360,1,1.0,24,0,72,24,0,0,0,0,420,1,1.0,48,0,48,48,0,0,0,0,480,1,1.0,72,0,24,72,0,0,0,0
96,24,4,6,1.25,1.5,3957631552,14735,1720,1.0,1.0,1.0,0.8536458333333333,11400,12600,0.75,1760,1,1.0,24,0,72,24,0,0,0,0,1930,1,1.0,48,0,48,48,0,0,0,0,2030,1,1.0,72,0,24,72,0,0,0,0
96,24,4,7,1.25,1.5,116942778,3370,1720,1.0,1.0,1.0,1.0,0,1200,0.75,1760,1,1.0,28,0,68,28,0,0,0,0,1850,1,1.0,52,0,44,52,0,0,0,0,1930,1,1.0,72,0,24,72,0,0,0,0
96,24,4,8,1.25,1.5,1454841441,3025,275,1.0,1.0,1.0,0.8526041666666666,1200,2400,0.75,330,1,1.0,24,0,72,24,0,0,0,0,445,1,1.0,48,0,48,48,0,0,0,0,540,1,1.0,72,0,24,72,0,0,0,0
96,24,4,9,1.25,1.5,3076974223,11465,205,1.0,1.0,1.0,0.8453125,9600,10800,0.75,230,1,1.0,24,0,72,24,0,0,0,0,395,1,1.0,52,0,44,52,0,0,0,0,495,1,1.0,72,0,24,72,0,0,0,0
96,24,4,10,1.25,1.5,1523264999,44420,375,1.0,0.6041666666666667,1.0,0.5500868055555557,600,30000,0.75,1565,3,0.75,16,0,76,16,4,0,0,0,1850,3,0.9,40,0,52,40,4,0,0,0,2130,4,0.7647058823529411,68,0,24,68,4,0,0,0
96,24,4,11,1.25,1.5,20651475,5470,1435,1.0,1.0,1.0,0.8536458333333333,2400,3600,0.75,1465,1,1.0,24,0,72,24,0,0,0,0,1750,1,1.0,48,0,48,48,0,0,0,0,1835,1,1.0,72,0,24,72,0,0,0,0
96,24,4,12,1.25,1.5,2586173193,5540,310,1.0,1.0,1.0,0.8526041666666666,3000,4800,0.75,525,1,1.0,24,0,72,24,0,0,0,0,610,1,1.0,48,0,48,48,0,0,0,0,710,1,1.0,76,0,20,76,0,0,0,0
96,24,4,13,1.25,1.5,534901716,6445,930,1.0,1.0,1.0,0.8520833333333333,3600,4800,0.75,965,4,0.5,12,0,78,12,6,0,0,0,1485,2,0.75,48,0,48,48,0,0,0,0,1580,2,0.5,72,0,24,72,0,0,0,0
96,24,4,14,1.25,1.5,3103549541,3570,1295,1.0,1.0,1.0,1.0,0,1200,0.75,1350,1,1.0,24,0,72,24,0,0,0,0,1495,1,1.0,48,0,48,48,0,0,0,0,1645,1,1.0,72,0,24,72,0,0,0,0
96,24,4,15,1.25,1.5,1096992227,7345,2875,1.0,1.0,1.0,0.8520833333333333,3000,4200,0.75,2895,1,1.0,24,0,72,24,0,0,0,0,2995,1,1.0,48,0,48,48,0,0,0,0,3100,1,1.0,76,0,20,76,0,0,0,0
96,24,4,16,1.25,1.5,107856561,9635,1190,1.0,1.0,1.0,0.8494791666666667,3600,4800,0.75,1565,1,1.0,24,0,72,24,0,0,0,0,1680,1,1.0,48,0,48,48,0,0,0,0,1830,2,0.7777777777777778,72,0,24,72,0,0,0,0
96,24,4,17,1.25,1.5,3488688625,7105,270,1.0,1.0,1.0,0.8421875,1200,2400,0.75,4240,3,0.8,20,0,72,20,4,0,0,0,4350,2,0.9705882352941176,34,0,55,34,7,0,0,0,4575,1,1.0,72,0,24,72,0,0,0,0
96,24,4,18,1.25,1.5,4149572831,2305,240,1.0,1.0,1.0,0.9704861111111112,0,1800,0.75,325,1,1.0,24,0,72,24,0,0,0,0,380,1,1.0,48,0,48,48,0,0,0,0,430,1,1.0,72,0,24,72,0,0,0,0
96,24,4,19,1.25,1.5,642138770,6700,4500,1.0,1.0,1.0,0.9982638888888888,0,1200,0.75,5130,1,1.0,24,0,72,24,0,0,0,0,5235,1,1.0,48,0,48,48,0,0,0,0,5310,1,1.0,72,0,24,72,0,0,0,0
