N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac,swap_rate,round_trips
160,0,temper,6.31,0.5110263541666666,0.033591578158315705,0.18054305970659726,0.144889444444444,0.00033887227830292345,0.0016542823568205336,3.2179995057730446,16,10,1.0,none,0.023052187499999998,1.0,1.0,0.0,0.0,0.26166666666666666,3
160,0,temper,5.62,0.5635139583333334,0.03300308560319167,0.17427258549305558,0.101826284722222,0.0004378022195681575,0.0017324094559027735,4.610028913599337,16,10,1.0,none,0.0318875,1.0,1.0,0.0,0.0,0.23044444444444445,3
160,0,temper,5.01,0.6179021874999999,0.03191418082801401,0.16296239006770835,0.06814993055555583,0.00037360670321653,0.002173352461672418,6.987795174983021,16,10,1.0,none,0.04445770833333333,1.0,1.0,0.0,0.0,0.2311111111111111,3
160,0,temper,4.5,0.6706067708333333,0.031063773129335333,0.15439328016493054,0.04429239583333329,0.000688306413466864,0.0025449580657244705,10.376663542874084,16,10,1.0,none,0.05928135416666667,1.0,1.0,0.0,0.0,0.285,3
160,0,temper,4.1,0.7170059375,0.03026117719049322,0.14651821519270833,0.029517881944444525,0.000671525468819642,0.0031052498749537354,15.873795322022337,16,10,1.0,none,0.07581125,1.0,1.0,0.0,0.0,0.2803333333333333,3
160,0,temper,3.75,0.7606714583333333,0.028815282366710618,0.13285127965972224,0.019366458333333347,0.0006622238677924251,0.0027582998588780317,21.07690477581918,16,10,1.0,none,0.0930784375,1.0,1.0,0.0,0.0,0.315,3
160,0,temper,3.45,0.8003489583333333,0.02877409495677661,0.13247176649305556,0.01301982638888865,0.0012007920156471101,0.003402127524588284,34.085996357731716,16,10,1.0,none,0.11243010416666666,1.0,1.0,0.0,0.0,0.3328888888888889,3
160,0,temper,3.2,0.8363283333333333,0.028178183222525584,0.12704160155555555,0.008853229166666681,0.0011449008942949735,0.0043263891447332245,55.297711600342744,16,10,1.0,none,0.1300953125,1.0000166666666668,0.9999985416666666,1.4583333333333333e-06,0.0,0.39011111111111113,3
160,0,temper,3.0,0.86741,0.02694327517365573,0.11615041233333333,0.006222673611110373,0.0009983216451100636,0.0046722594114052725,45.11113208140435,16,10,1.0,none,0.14497875,1.0001833333333334,0.99998125,0.0,0.0,0.4951111111111111,3
160,0,temper,2.85,0.8908872916666667,0.025941093224167145,0.1076704508263889,0.004812881944443669,0.001402524393560318,0.004373677326019817,47.89730322623472,16,10,1.0,none,0.15718729166666667,1.00205,0.9997860416666666,1.6666666666666667e-06,1.6666666666666667e-06,0.47833333333333333,3
160,0,temper,2.7,0.9143007291666666,0.025488103934515203,0.1039429507482639,0.003735173611110666,0.0017011285613023508,0.005030508491710727,94.79326101420115,16,10,1.0,none,0.16586416666666665,1.00455,0.99949,0.0,0.0,0.28855555555555557,3
160,0,temper,2.5,0.9462082291666667,0.02640646720797419,0.1115682416649306,0.002623368055555106,0.0031801179138741375,0.01194724410142879,549.7831884377151,16,10,1.0,none,0.18278510416666666,1.0254166666666666,0.997031875,3.3333333333333333e-06,3.3333333333333333e-06,0.12666666666666668,3
160,0,temper,2.25,0.9874436458333333,0.022554276577098027,0.08139126270659724,0.0016265624999997341,0.002241014608138764,0.006306424791340924,477.78534759186226,16,10,1.0,none,0.16188583333333334,1.1912166666666666,0.9752170833333332,0.00013916666666666667,2.8333333333333335e-05,0.307,3
160,0,temper,2.0,1.0093713541666667,0.026186654466055143,0.10971853953993052,0.001118194444444334,0.003587722733704943,0.015973334225243427,878.4515080999815,16,10,1.0,none,0.2076246875,1.5817666666666668,0.9265666666666666,0.0004185416666666666,4.6666666666666665e-05,,3
160,1,temper,6.31,0.5111207291666667,0.03354079578304579,0.17999759708159724,0.144650104166666,0.00023858989182566046,0.0015813795043160598,3.155764572984696,16,10,1.0,none,0.0229125,1.0,1.0,0.0,0.0,0.2657777777777778,4
160,1,temper,5.62,0.5627759375,0.032419090459240636,0.16815958819270838,0.10209635416666699,0.00046697678716672923,0.0017231961126165432,4.52370467404735,16,10,1.0,none,0.03193447916666667,1.0,1.0,0.0,0.0,0.227,4
160,1,temper,5.01,0.617475,0.03192015837079551,0.16302344166666666,0.06801156250000003,0.00046293769989884045,0.002552515539906589,6.984051093075788,16,10,1.0,none,0.044014583333333336,1.0,1.0,0.0,0.0,0.23555555555555555,4
160,1,temper,4.5,0.671134375,0.03166854570562682,0.16046348593749998,0.044316493055555586,0.000479288897969526,0.002483204643476534,11.53692560273278,16,10,1.0,none,0.059911770833333336,1.0,1.0,0.0,0.0,0.2907777777777778,4
160,1,temper,4.1,0.71643125,0.030429045069705465,0.14814828541666664,0.02965732638888871,0.0007177208932940692,0.003587276418283808,16.59519748134627,16,10,1.0,none,0.07538916666666666,1.0,1.0,0.0,0.0,0.2837777777777778,4
160,1,temper,3.75,0.7606898958333334,0.02938606098471659,0.1381664928315972,0.019381701388888804,0.0007080098096455266,0.0032083506281629344,22.719407149609875,16,10,1.0,none,0.0929771875,1.0,1.0,0.0,0.0,0.29733333333333334,4
160,1,temper,3.45,0.8016273958333334,0.0287128273180005,0.13190823241493055,0.012799479166666407,0.0009492650268299623,0.0028329241953899695,33.65668472687801,16,10,1.0,none,0.11235406249999999,1.0,1.0,0.0,0.0,0.3458888888888889,4
160,1,temper,3.2,0.8385603125000001,0.027547451162082924,0.121417930484375,0.008716701388888897,0.0011151221119775681,0.002747092824373034,41.94893135115769,16,10,1.0,none,0.13096510416666668,1.0,1.0,0.0,0.0,0.4176666666666667,4
