N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,seeds,seed_sweeps,patches_max,patch_series,converted_series,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
4096,1024,4,0,1.25,1.5,3896762957,21245,205,1.007080078125,-1.856201171875,1.0,-1.3947713216145834,1800,2400,0.75,35,200:1 2500:1 5000:1 5200:1 6100:1 7100:1 7700:1 8700:1 8800:1 9000:1 9500:1 9800:1 9900:2 10600:1 13400:1 14200:1 14700:1 15300:2 15400:1 15500:1 15600:1 16600:2 16700:2 16800:2 16900:1 17000:1 17500:1 18200:1 18400:1 18500:1,39,0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 5 5 5 5 6 7 7 8 8 8 8 8 8 8 8 9 11 11 11 10 9 8 8 9 9 9 8 9 9 9 7 7 7 9 9 12 11 9 8 8 8 8 9 9 8 8 10 10 12 13 14 12 13 12 13 12 12 12 14 17 19 19 17 17 17 15 15 16 17 17 17 18 16 18 23 23 21 21 23 22 17 18 19 22 21 26 25 28 29 31 25 28 27 29 27 29 26 28 30 33 31 35 35 35 39 35,0 8 8 12 12 12 12 12 12 12 12 12 16 16 20 20 20 20 20 20 20 20 24 24 32 32 32 32 32 32 36 36 36 36 40 40 40 40 44 44 44 44 44 44 44 44 48 48 52 64 64 72 68 68 68 72 76 72 72 64 72 84 84 88 88 88 92 96 96 96 108 112 116 116 120 116 124 124 128 128 132 132 132 136 136 144 152 160 160 176 180 180 192 192 192 196 204 208 224 228 240 240 248 256 256 272 276 280 276 292 296 304 300 304 312 324 328 340 340 330 346 358 358 370 370 376 380 384 394 410 418 425 423 425 427 433 433 429 429 440 455 465 477 494 498 490 518 537 549 557 569 567 571 605 607 643 636 629 635 645 673 658 691 702 705 720 721 751 748 775 821 836 825 828 837 846 845 888 885 871 914 948 949 939 900 969 951 934,15255,63,0.155668358714044,591,1,3287,591,217,0,0,0,17155,132,0.08232445520581114,826,0,2662,826,598,10,0,0,18210,168,0.0824524312896406,946,1,2092,946,1041,15,1,0
4096,1024,4,1,1.25,1.5,319510495,19125,570,1.00732421875,-1.7205037434895831,1.0,-1.251220703125,1800,2400,0.75,36,600:1 700:1 800:1 1100:1 1400:1 4100:1 4800:1 5000:1 5200:1 6700:1 7500:1 7700:1 7800:1 8900:2 10400:1 11100:1 11400:3 11500:1 11600:1 12300:1 13100:1 13200:2 13800:1 14400:1 14500:1 14800:1 14900:1 15200:1 15500:1 15800:2 16600:1,37,0 0 0 0 0 1 2 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 6 6 7 7 8 8 8 8 7 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 10 9 9 8 9 9 9 9 9 8 8 9 9 9 11 12 12 12 11 10 10 11 11 12 11 10 10 10 10 12 12 10 8 9 10 9 10 9 9 14 14 15 14 14 14 15 15 15 17 16 15 14 14 15 16 14 17 20 20 19 22 20 18 19 20 23 23 25 23 27 25 30 24 28 26 29 30 25 27 29 27 25 29 29 30 35 32 29 31 32 32 32 37,0 0 0 0 0 8 20 32 36 40 48 52 52 56 56 60 60 64 68 72 76 80 84 92 92 100 100 104 104 116 116 116 120 120 120 120 128 132 132 132 132 132 136 136 140 152 152 160 160 180 180 204 216 220 232 228 236 240 240 240 248 252 256 264 268 268 280 280 284 284 284 284 288 292 304 308 316 312 332 340 344 336 340 344 344 344 352 368 376 384 388 392 396 400 404 422 430 442 438 438 454 462 470 482 486 482 488 500 504 516 520 544 556 554 576 584 601 591 601 611 617 625 645 650 660 664 676 689 706 698 717 733 755 757 773 785 781 793 780 800 787 831 825 862 888 910 885 905 912 945 948 945 986 1003 992 972 979 993 955 992 1001 979 1008 1021 1034 1079 1088,12855,71,0.11461318051575932,698,0,3233,698,165,0,0,0,14815,100,0.09544950055493896,901,0,2617,901,573,4,0,1,15845,144,0.07916666666666666,960,0,2083,960,1041,10,2,0
4096,1024,4,2,1.25,1.5,3340729095,13930,1185,1.006591796875,-2.0848103841145833,1.0,-1.5730977376302082,1800,2400,0.75,33,2300:1 2800:1 4200:1 4700:1 5300:1 5500:1 5600:1 5700:2 5900:1 6100:1 6500:3 6800:2 7700:1 7800:1 8000:1 8200:2 8700:1 8800:1 8900:1 9200:1 9300:1 9600:1 10200:1 10400:1 10500:1 10800:1 10900:1 11500:1,32,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 2 2 2 2 2 1 1 2 2 2 2 2 2 3 3 3 3 3 4 4 4 3 2 2 3 3 4 5 7 7 8 7 8 8 8 8 11 9 8 11 11 9 12 11 11 12 12 11 12 14 17 16 14 17 15 16 14 16 22 19 20 20 21 24 24 20 23 26 23 24 32 29 25 23 26 22 22 23 24 25 29 30 25 31 31 32 31,0 0 0 0 0 0 0 0 0 0 0 8 8 8 8 8 8 8 8 24 24 28 32 32 40 40 40 48 52 58 58 64 66 56 54 58 59 59 59 61 65 66 74 74 78 86 94 98 98 104 104 100 116 118 126 132 150 158 176 175 172 184 188 188 224 224 225 240 236 230 230 234 264 264 280 300 324 354 378 387 385 405 402 399 443 432 448 463 459 489 507 513 543 560 569 600 643 624 693 692 670 661 624 631 655 687 705 679 685 713 716 745 753 751 789,8760,87,0.11087420042643924,469,0,3350,469,276,1,0,0,9995,160,0.0381791483113069,681,2,2733,681,663,17,0,0,10910,163,0.03138373751783167,701,0,2214,701,1157,23,1,0
