N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,0,1.45,1.5,1001645454,100445,205,0.984375,1.1708854166666665,1.7999999999999998,0.8125781249999998,3600,100200,0.75,0.9375,205,2,0.9772727272727273,44,0,12,44,8,0,0,0,205,2,0.9772727272727273,44,0,12,44,8,0,0,0,205,2,0.9772727272727273,44,0,12,44,8,0,0,0
64,16,4,1,1.45,1.5,1637192903,100405,205,0.9375,1.2843749999999998,1.7999999999999998,0.7183072916666668,6600,100200,0.75,1.25,205,2,0.7083333333333334,48,0,0,48,16,0,0,0,205,2,0.7083333333333334,48,0,0,48,16,0,0,0,205,2,0.7083333333333334,48,0,0,48,16,0,0,0
64,16,4,2,1.45,1.5,308033413,100405,,0.953125,1.3211979166666665,1.7999999999999998,0.6585937499999999,600,100200,0.75,1.25,205,1,1.0,46,0,3,46,15,0,0,0,205,1,1.0,46,0,3,46,15,0,0,0,205,1,1.0,46,0,3,46,15,0,0,0
64,16,4,3,1.45,1.5,2760141285,100405,,0.921875,1.352083333333333,1.7999999999999998,0.5857812500000001,1200,100200,0.75,1.3125,205,1,1.0,43,0,1,43,19,1,0,0,205,1,1.0,43,0,1,43,19,1,0,0,205,1,1.0,43,0,1,43,19,1,0,0
64,16,4,4,1.45,1.5,3609844673,100405,,1.0,1.1874999999999998,1.7999999999999998,0.1486718749999998,7800,100200,0.75,0.9375,205,3,0.38461538461538464,39,0,13,39,11,1,0,0,205,3,0.38461538461538464,39,0,13,39,11,1,0,0,205,3,0.38461538461538464,39,0,13,39,11,1,0,0
64,16,4,5,1.45,1.5,1983351982,100405,205,0.9375,1.3513281249999998,1.7999999999999998,0.5751562499999996,600,100200,0.75,1.25,205,2,0.6818181818181818,44,0,3,44,15,2,0,0,205,2,0.6818181818181818,44,0,3,44,15,2,0,0,205,2,0.6818181818181818,44,0,3,44,15,2,0,0
64,16,4,6,1.45,1.5,3080445766,100405,,0.9375,1.3647395833333331,1.7999999999999998,0.8214843749999996,3000,100200,0.75,1.1875,205,1,1.0,49,0,1,49,11,3,0,0,205,1,1.0,49,0,1,49,11,3,0,0,205,1,1.0,49,0,1,49,11,3,0,0
64,16,4,7,1.45,1.5,3904983550,100405,205,0.984375,1.3590885416666665,1.7999999999999998,0.5690104166666665,1800,100200,0.75,1.0625,205,1,1.0,42,0,9,42,13,0,0,0,205,1,1.0,42,0,9,42,13,0,0,0,205,1,1.0,42,0,9,42,13,0,0,0
64,16,4,8,1.45,1.5,621453188,100405,205,0.9375,1.3624479166666665,1.7999999999999998,0.5620052083333333,18000,100200,0.75,1.25,205,3,0.6341463414634146,41,0,4,41,18,1,0,0,205,3,0.6341463414634146,41,0,4,41,18,1,0,0,205,3,0.6341463414634146,41,0,4,41,18,1,0,0
64,16,4,9,1.45,1.5,2668108770,2620,,1.0,1.7999999999999998,1.7999999999999998,1.7546874999999997,0,1800,0.75,0.9375,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0
64,16,4,10,1.45,1.5,1195020300,100405,,0.984375,1.2424999999999997,1.7999999999999998,0.5779687499999999,1800,100200,0.75,1.0625,205,1,1.0,40,0,10,40,14,0,0,0,205,1,1.0,40,0,10,40,14,0,0,0,205,1,1.0,40,0,10,40,14,0,0,0
64,16,4,11,1.45,1.5,1223398351,100405,205,0.984375,1.3687499999999997,1.7999999999999998,0.2548177083333334,16200,100200,0.75,1.125,205,1,1.0,44,0,8,44,12,0,0,0,205,1,1.0,44,0,8,44,12,0,0,0,205,1,1.0,44,0,8,44,12,0,0,0
64,16,4,12,1.45,1.5,2298508690,100620,205,0.984375,1.4375,1.7999999999999998,1.1186458333333333,8400,100200,0.75,0.9375,205,1,1.0,44,0,12,44,8,0,0,0,205,1,1.0,44,0,12,44,8,0,0,0,205,1,1.0,44,0,12,44,8,0,0,0
64,16,4,13,1.45,1.5,2348525832,100445,245,0.984375,1.4375,1.7999999999999998,0.6534375000000001,3000,100200,0.75,0.75,205,6,0.48484848484848486,33,1,22,33,8,0,0,0,205,6,0.48484848484848486,33,1,22,33,8,0,0,0,205,6,0.48484848484848486,33,1,22,33,8,0,0,0
64,16,4,14,1.45,1.5,986271918,100700,205,0.984375,1.0456510416666664,1.7999999999999998,0.6442187499999996,19800,100200,0.75,1.0,205,2,0.7727272727272727,44,0,14,44,6,0,0,0,205,2,0.7727272727272727,44,0,14,44,6,0,0,0,205,2,0.7727272727272727,44,0,14,44,6,0,0,0
64,16,4,15,1.45,1.5,1673178431,100405,,0.953125,1.3647395833333331,1.7999999999999998,0.3901822916666666,4200,100200,0.75,1.125,205,1,1.0,44,0,4,44,16,0,0,0,205,1,1.0,44,0,4,44,16,0,0,0,205,1,1.0,44,0,4,44,16,0,0,0
64,16,4,16,1.45,1.5,2555867400,100405,205,0.953125,1.430625,1.7999999999999998,0.5705989583333333,16800,100200,0.75,1.125,205,3,0.45,40,0,6,40,18,0,0,0,205,3,0.45,40,0,6,40,18,0,0,0,205,3,0.45,40,0,6,40,18,0,0,0
64,16,4,17,1.45,1.5,900633448,5605,205,1.0,1.7999999999999998,1.7999999999999998,0.5968489583333334,4200,5400,0.75,1.0,205,1,1.0,48,0,8,48,8,0,0,0,205,1,1.0,48,0,8,48,8,0,0,0,205,1,1.0,48,0,8,48,8,0,0,0
64,16,4,18,1.45,1.5,834181948,100405,205,0.96875,1.1705468749999999,1.7999999999999998,0.9263020833333334,3000,100200,0.75,1.125,205,1,1.0,52,0,2,52,10,0,0,0,205,1,1.0,52,0,2,52,10,0,0,0,205,1,1.0,52,0,2,52,10,0,0,0
