N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,seeds,seed_sweeps,patches_max,patch_series,converted_series,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
256,64,4,0,1.25,1.75,793235614,5200,370,1.00390625,0.7426106770833334,1.0,0.5936197916666667,1200,2400,0.75,4,200:1 900:1 1600:1 2400:1,3,0 1 1 1 1 1 1 1 2 2 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 1 1 2,0 12 20 24 28 40 48 48 68 84 100 108 112 120 120 130 134 152 156 164 168 176 180 200 216 228 236 231,880,2,0.875,64,0,192,64,0,0,0,0,1390,4,0.9516129032258065,124,0,128,124,4,0,0,0,2350,2,0.8617021276595744,188,0,66,188,2,0,0,0
256,64,4,1,1.25,1.75,2047194639,5400,505,1.00390625,0.9453125,1.0,0.9197265625,0,2400,0.75,2,600:1 1600:1,2,0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 24 32 56 68 68 84 92 92 104 112 132 144 180 208 224 224 232 244 240 236 236 244 244 240 248,840,1,1.0,64,0,192,64,0,0,0,0,1565,2,0.9375,128,0,128,128,0,0,0,0,1835,2,0.8402061855670103,194,0,61,194,1,0,0,0
256,64,4,2,1.25,1.75,80882477,4600,230,1.00390625,0.944921875,1.0,0.9353841145833334,0,2400,0.75,2,200:2,2,0 2 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1,0 36 48 60 72 84 92 108 112 112 116 136 140 158 176 200 204 216 220 232 240 248,415,2,0.5625,64,0,192,64,0,0,0,0,1175,1,1.0,132,0,124,132,0,0,0,0,1540,1,1.0,192,0,64,192,0,0,0,0
256,64,4,3,1.25,1.75,577618225,5425,365,1.00390625,0.94140625,1.0,0.9342447916666666,0,2400,0.75,1,400:1,1,0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 12 28 36 44 64 64 76 84 88 108 108 116 132 140 168 164 164 168 184 196 204 208 224 228 244 246 246,795,1,1.0,64,0,192,64,0,0,0,0,1530,5,0.9354838709677419,124,0,128,124,4,0,0,0,2225,1,1.0,192,0,64,192,0,0,0,0
256,64,4,4,1.25,1.75,3574923349,6250,245,1.00390625,0.8268229166666666,1.0,0.8076171875,0,2400,0.75,5,100:2 1000:1 1300:1 2700:1,4,2 2 1 1 1 1 2 2 2 3 2 2 4 3 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2,28 40 52 66 58 56 76 80 92 115 138 152 155 155 167 176 180 180 180 184 188 192 200 204 208 220 234 240 240 240 240 240 240 240 240 240 240 240,365,9,0.7333333333333333,60,0,188,60,8,0,0,0,980,4,0.7747747747747747,111,0,137,111,7,1,0,0,1650,4,0.8829787234042553,188,0,64,188,4,0,0,0
256,64,4,5,1.25,1.75,2925185023,4280,385,1.00390625,0.4227213541666667,1.0,0.1772786458333333,1800,2400,0.75,4,400:1 700:1 800:1 1000:1,4,0 0 0 1 1 1 2 2 1 4 4 3 3 3 1 2 3 3,0 0 0 8 20 32 46 56 60 83 132 136 154 166 186 186 190 188,750,7,0.5384615384615384,52,0,196,52,8,0,0,0,1045,14,0.46464646464646464,99,0,143,99,13,1,0,0,1370,2,0.7037037037037037,162,0,79,162,15,0,0,0
256,64,4,6,1.25,1.75,470653675,7200,290,1.00390625,0.8671875,1.0,0.8356119791666666,0,2400,0.75,4,300:1 900:1 1000:1 1400:1,4,0 0 1 1 1 1 1 1 2 3 3 3 3 4 4 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 0 12 20 24 40 72 72 80 100 123 140 156 168 194 200 204 224 236 236 236 236 236 236 236 236 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240,615,5,0.8666666666666667,60,0,192,60,4,0,0,0,1060,3,0.85,120,0,132,120,4,0,0,0,1465,4,0.44565217391304346,184,0,68,184,4,0,0,0
256,64,4,7,1.25,1.75,2808670823,5990,240,1.00390625,0.6581380208333334,1.0,0.69267578125,0,2400,0.75,2,200:1 800:1,3,0 1 1 1 1 1 1 2 2 2 2 2 2 3 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 12 24 36 44 40 64 80 86 94 94 112 128 135 145 152 148 164 160 178 186 193 197 228 238 244 244 242 242 244 242 238 237 241 238,660,5,0.8571428571428571,56,0,196,56,4,0,0,0,1210,4,0.8,120,0,132,120,4,0,0,0,2125,1,1.0,190,0,65,190,1,0,0,0
256,64,4,8,1.25,1.75,3050033321,4750,270,1.00390625,0.38108723958333335,1.0,0.3330403645833333,0,2400,0.75,2,200:1 1100:1,2,0 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 2 2 1 1 2,0 16 28 28 32 36 60 76 80 112 140 152 160 156 184 200 200 200 194 186 192 197 201,705,1,1.0,64,0,192,64,0,0,0,0,1030,3,0.9655172413793104,116,0,134,116,6,0,0,0,1440,2,0.8160919540229885,174,0,71,174,11,0,0,0
256,64,4,9,1.25,1.75,477185737,6450,415,1.00390625,0.890625,1.0,0.8122395833333333,1200,2400,0.75,5,100:1 1100:1 1400:1 1700:1 1800:1,3,1 1 1 1 1 1 1 1 1 1 2 1 1 2 2 1 2 2 2 3 2 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,16 16 12 16 24 40 52 52 56 64 72 92 92 112 112 104 130 140 152 172 184 188 214 232 232 240 240 240 238 240 240 240 244 244 244 244 244 244 244 244,820,4,0.8928571428571429,56,0,196,56,4,0,0,0,1365,5,0.875,112,0,134,112,10,0,0,0,2070,5,0.7934782608695652,184,0,68,184,4,0,0,0
256,64,4,10,1.25,1.75,3086750784,7375,845,1.00390625,0.890625,1.0,0.8795572916666666,0,2400,0.75,3,900:1 1300:1 2000:1,2,0 0 0 0 0 0 0 0 1 1 1 1 2 2 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 12 24 36 60 80 84 120 128 144 152 164 184 176 188 204 216 224 228 236 240 240 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 248,1255,1,1.0,64,0,192,64,0,0,0,0,1525,1,1.0,128,0,128,128,0,0,0,0,2215,1,1.0,192,0,64,192,0,0,0,0
256,64,4,11,1.25,1.75,3354604585,4155,535,1.00390625,1.0,1.0,0.9901041666666667,0,1800,0.75,3,500:1 1400:1 1700:1,2,0 0 0 0 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1,8 8 8 8 20 32 44 52 56 68 84 100 116 136 124 132 148 168 188 208 212 216 236,940,1,1.0,64,0,192,64,0,0,0,0,1360,1,1.0,128,0,128,128,0,0,0,0,1920,1,1.0,192,0,64,192,0,0,0,0
256,64,4,12,1.25,1.75,945042287,10490,590,1.00390625,0.7578125,1.0,0.751171875,0,2400,0.75,3,600:1 1000:1 1200:1,3,0 0 0 0 0 1 1 1 1 2 1 2 1 1 1 2 2 1 2 1 1 1 2 2 2 2 3 3 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 0 0 0 0 8 24 32 32 48 52 68 80 88 92 124 144 148 162 178 182 188 192 188 188 198 211 215 231 232 236 236 236 236 236 236 236 240 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236,1190,2,0.8823529411764706,68,0,188,68,0,0,0,0,1610,2,0.78125,128,0,128,128,0,0,0,0,1990,3,0.9831460674157303,178,0,71,178,7,0,0,0
256,64,4,13,1.25,1.75,628563781,6275,490,1.00390625,0.7880859375,1.0,0.5886067708333333,600,2400,0.75,4,500:1 1700:1 3200:1 3300:1,3,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 3,0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 28 40 48 60 80 84 88 92 96 104 104 108 104 104 116 148 177 184 188 196 206 216,2025,1,1.0,64,0,192,64,0,0,0,0,3120,2,0.9375,128,0,128,128,0,0,0,0,3300,3,0.9209039548022598,177,0,72,177,6,1,0,0
256,64,4,14,1.25,1.75,2483562621,4570,205,1.0,0.526953125,1.0,0.29176432291666665,1800,2400,0.75,2,100:1 200:1,3,1 2 1 1 1 1 2 2 1 2 2 1 1 1 1 1 2 2 3 3 3,16 32 40 48 76 96 116 120 136 158 176 174 176 182 182 178 193 196 208 212 212,435,1,1.0,64,0,192,64,0,0,0,0,705,2,0.8275862068965517,116,0,134,116,6,0,0,0,1020,4,0.8012048192771084,166,0,78,166,10,2,0,0
256,64,4,15,1.25,1.75,695979157,6760,385,1.00390625,0.9421875,1.0,0.88203125,600,2400,0.75,1,400:1,1,0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 12 24 36 40 44 56 64 80 100 112 128 140 140 144 144 152 160 172 176 180 196 204 216 228 242 248 248 248 248 248 248 248 248 248 248 248 248 248 248 248,970,1,1.0,64,0,192,64,0,0,0,0,1370,2,0.9444444444444444,126,0,129,126,1,0,0,0,2305,4,0.967391304347826,184,0,68,184,4,0,0,0
256,64,4,16,1.25,1.75,4130847156,4970,1045,1.00390625,0.9453125,1.0,0.9395182291666667,0,2400,0.75,3,1100:1 1800:1 2200:1,3,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 2 2 2 2 3 1 1 1,0 0 0 0 0 0 0 0 0 0 8 12 28 40 48 56 68 92 112 144 172 200 216 228 244,1655,1,1.0,60,0,194,60,2,0,0,0,1970,2,0.875,128,0,128,128,0,0,0,0,2190,2,0.6666666666666666,192,0,64,192,0,0,0,0
256,64,4,17,1.25,1.75,3074512646,5410,480,1.00390625,0.6846354166666666,1.0,0.6159830729166667,600,2400,0.75,5,500:1 800:1 900:1 1300:1 1700:1,4,0 0 0 0 1 0 0 1 2 2 2 2 3 3 3 3 4 3 3 4 3 3 2 2 2 2 2 2 2 2,0 0 0 0 8 8 8 16 32 36 36 44 68 80 92 96 116 128 132 150 152 164 160 172 188 192 196 204 220 228,1275,4,0.6071428571428571,56,0,196,56,4,0,0,0,1710,4,0.55,120,0,132,120,4,0,0,0,2435,3,0.9239130434782609,184,0,68,184,4,0,0,0
256,64,4,18,1.25,1.75,987970463,11835,275,1.00390625,0.875,1.0,0.8272135416666666,0,2400,0.75,2,300:1 1200:1,2,0 0 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 24 32 40 52 60 76 80 84 88 108 152 168 192 204 228 228 240 232 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 240 236 236 236 236 236 236 236 236 236 236 236 236 236 236 240 236 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 244,710,1,1.0,64,0,192,64,0,0,0,0,1225,3,0.78125,128,0,128,128,0,0,0,0,1455,1,1.0,188,0,64,188,4,0,0,0
256,64,4,19,1.25,1.75,73263414,5475,540,1.00390625,0.88671875,1.0,0.8888671875,0,2400,0.75,1,600:1,1,0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 12 20 24 32 44 64 72 76 96 108 112 116 128 140 136 140 140 140 152 164 196 224 244 244 244,1030,5,0.8571428571428571,56,0,196,56,4,0,0,0,1790,1,1.0,128,0,128,128,0,0,0,0,2545,1,1.0,192,0,64,192,0,0,0,0
256,64,4,20,1.25,1.75,3564029490,4750,750,1.00390625,1.0,1.0,0.92783203125,600,1800,0.75,2,800:1 1400:1,2,0 0 0 0 0 0 0 1 1 1 1 1 1 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 20 28 44 56 64 76 100 104 124 144 148 160 164 176 184 188 196 216 228 240 236 240,1145,1,1.0,64,0,192,64,0,0,0,0,1635,2,0.7575757575757576,132,0,124,132,0,0,0,0,2335,1,1.0,192,0,64,192,0,0,0,0
256,64,4,21,1.25,1.75,161646441,3750,235,1.0,0.673046875,1.0,0.5821614583333333,1800,2400,0.75,2,300:1 400:1,2,0 0 1 2 2 2 2 2 2 1 2 1 1,0 0 20 48 72 112 158 188 208 216 222 224 228,430,2,0.6875,64,0,192,64,0,0,0,0,645,5,0.4838709677419355,124,0,128,124,4,0,0,0,785,3,0.5683060109289617,183,0,67,183,5,1,0,0
256,64,4,22,1.25,1.75,3310393435,4200,295,1.0,0.6528971354166666,1.0,0.58720703125,1200,2400,0.75,3,400:1 500:1 700:1,3,0 0 0 1 2 2 3 2 2 2 2 2 2 3 3 1 2 2,0 0 8 16 36 68 92 96 100 104 120 128 140 176 200 204 212 226,560,4,0.6,60,0,192,60,4,0,0,0,1095,2,0.5666666666666667,120,0,130,120,6,0,0,0,1390,3,0.5340909090909091,176,0,70,176,10,0,0,0
256,64,4,23,1.25,1.75,4162604703,4090,210,1.00390625,0.9453125,1.0,0.8900390625,1200,2400,0.75,3,100:1 300:1 500:1,2,1 1 2 1 2 2 2 2 2 2 1 1 1 1 1 1,8 24 48 72 88 128 128 132 148 180 184 196 208 208 220 244,365,1,1.0,64,0,192,64,0,0,0,0,585,2,0.7419354838709677,124,0,130,124,2,0,0,0,1035,2,0.648936170212766,188,0,66,188,2,0,0,0
256,64,4,24,1.25,1.75,3622819776,5155,560,1.00390625,0.9453125,1.0,0.9405598958333333,0,2400,0.75,2,600:1 1000:1,2,0 0 0 0 0 1 1 1 1 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 8 24 24 40 76 88 96 112 132 152 162 172 180 196 212 212 212 216 216 220 228 240,935,5,0.6785714285714286,56,0,196,56,4,0,0,0,1385,2,0.59375,128,0,128,128,0,0,0,0,1855,1,1.0,192,0,64,192,0,0,0,0
