N,C,replica,depart_sweep,n_start,start_cols,start,converted_at,end_sweep,rings,largest_ring_piece,ring_cols,dist,half_length,f_final,bath_T,drift
96,192,0,10,4,0 1 2 23,0.4999999999999992,260,2260,1,4,12 13,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,1,70,4,0 21 22 23,22.5,320,2320,1,4,19 20 21,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,2,60,4,0 1 2 23,0.4999999999999992,485,2485,1,4,10 11,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,3,35,4,18 19 20 21,19.5,205,2205,1,4,1 2,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,4,65,5,4 5 6 7 8,6.0,480,2480,1,4,15 17,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,5,15,4,16 17 18 19,17.5,360,2360,1,4,0 1,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,6,10,4,11 12 13 14,12.499999999999998,450,2450,1,4,21 22 23,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,7,15,4,0 1 22 23,23.5,400,2400,1,4,19 20 21,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,8,90,4,20 21 22 23,21.5,415,2415,1,4,8 9,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,9,20,4,0 1 2 23,0.4999999999999992,310,2310,1,4,19 20 21,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,10,95,5,19 20 21 22 23,21.0,360,2360,1,4,0 1,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,11,15,4,2 3 4 5,3.5000000000000004,270,2270,1,4,6 7,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,12,15,4,8 9 10 11,9.5,310,2310,1,4,11 12,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,13,20,4,2 3 4 5,3.5000000000000004,365,2365,1,4,2 3 4,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,14,110,4,12 13 14 15,13.5,395,2395,1,4,18 19,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,15,85,4,10 11 12 13,11.500000000000002,695,2695,1,4,21 22,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,16,20,5,0 1 21 22 23,23.0,330,2330,1,2,1 3,nan,12.0,1.0,0.4583333333333333,0.0
96,192,17,70,4,6 7 8 9,7.499999999999999,365,2365,1,4,14 15 16,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,18,75,4,1 2 3 4,2.5,570,2570,1,4,0 22 23,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,19,20,4,13 14 15 16,14.499999999999998,435,2435,0,0,,nan,12.0,1.0,0.5625,0.0
96,192,20,50,4,8 9 10 11,9.5,425,2425,1,4,16 17 18,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,21,55,4,16 17 18 19,17.5,425,2425,1,4,0 1 2 23,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,22,50,4,3 4 5 6,4.5,465,2465,1,4,12 13 14,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,23,125,5,0 1 2 22 23,24.0,405,2405,1,4,17 18 19 20,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,24,135,4,11 12 13 14,12.499999999999998,575,2575,1,4,0 23,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,25,15,4,16 17 18 19,17.5,600,2600,1,4,3 4 5 6,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,26,220,4,17 18 19 20,18.5,725,2725,1,4,3 4 5,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,27,20,4,11 12 13 14,12.499999999999998,365,2365,1,4,14 15 16,nan,12.0,0.958333333333333,0.4895833333333333,0.0
96,192,28,35,4,9 10 11 12,10.5,390,2390,2,4,0 1 21 22 23,nan,12.0,0.916666666666667,0.4166666666666667,0.0
96,192,29,35,4,4 5 6 7,5.499999999999999,540,2540,1,4,7 8,nan,12.0,0.958333333333333,0.4895833333333333,0.0
