N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,seeds,seed_sweeps,patches_max,patch_series,converted_series,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
4096,1024,4,15,1.25,1.5,613222007,27795,440,1.007080078125,-1.418084716796875,1.0,-1.0396382649739584,1800,2400,0.75,37,500:1 2500:1 2600:1 2800:1 3900:1 5600:1 6000:1 6700:1 7400:1 8000:1 8900:1 10300:1 10700:1 14000:1 15000:1 15200:1 15900:2 16500:1 17500:1 17600:1 19400:1 20100:1 20200:1 20900:1 21200:1 21700:1 21900:1 22100:1 22200:1 22900:1 23700:1 24200:1 24300:1 24500:1 25200:2,43,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 4 4 4 4 4 4 4 4 3 3 3 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 5 6 6 6 6 6 6 6 7 8 8 7 7 6 6 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 11 11 11 11 11 10 10 9 9 9 9 10 10 10 10 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 11 11 12 12 12 12 12 12 12 14 14 14 14 14 14 15 15 14 13 15 15 14 15 15 15 16 17 15 14 14 13 13 13 13 13 12 12 10 10 11 11 10 10 10 12 12 12 13 12 11 11 12 15 14 14 14 13 13 12 13 13 12 14 14 15 15 16 17 17 20 22 22 18 18 20 20 22 20 21 20 21 25 29 26 25 28 30 30 31 31 30 33 35 36 34 35 32 36 36 43 35 34 39 39,0 0 0 0 8 8 8 16 16 16 16 16 20 20 24 24 24 24 24 20 20 24 24 24 32 40 48 60 60 56 56 56 60 60 60 60 60 60 76 76 76 76 72 76 92 96 96 100 100 104 112 100 100 96 96 112 120 128 124 140 148 152 160 160 164 168 188 196 196 192 192 184 200 204 204 208 212 212 212 220 224 228 228 236 252 248 252 260 260 256 256 260 260 260 268 272 280 284 284 292 296 296 308 312 320 320 336 340 344 348 364 356 364 364 372 372 376 388 392 400 404 409 408 424 432 436 436 436 436 444 448 452 460 464 472 492 496 496 508 516 516 528 544 544 552 552 560 556 564 576 580 592 604 600 600 620 636 640 664 676 672 680 680 688 696 700 713 729 722 734 756 762 774 770 788 796 794 797 801 803 799 803 801 804 811 814 821 829 848 852 862 874 891 895 891 900 896 900 912 916 946 957 953 953 955 955 957 953 965 980 982 1004 1008 1030 1023 1039 1049 1063 1084 1081 1101 1097 1115 1145 1167 1168 1164 1156 1190 1194 1238 1252 1230 1209 1199 1234 1226 1261 1273 1311 1297 1279 1300 1326 1314 1319 1359 1356 1356 1389 1434 1381 1464,19570,30,0.3422222222222222,900,0,3135,900,59,2,0,0,23230,93,0.11726384364820847,1228,0,2456,1228,412,0,0,0,24425,100,0.12368024132730016,1326,0,1900,1326,864,6,0,0
4096,1024,4,16,1.25,1.5,1032257095,17840,505,1.005859375,-1.7704813639322916,1.0,-1.3688639322916667,1800,2400,0.75,34,600:1 800:1 1400:1 1600:1 2000:1 2800:1 2900:1 3200:1 3600:1 3800:1 4700:1 5000:1 6500:1 6700:1 8500:1 8800:1 9400:1 9800:2 10500:1 10800:2 12100:1 12500:2 13000:1 13100:1 13500:1 14300:1 14400:2 14600:1 14900:2,40,0 0 0 0 0 1 0 1 1 1 1 1 1 2 2 3 3 3 3 3 2 2 1 1 1 1 1 2 4 4 4 5 5 5 5 6 6 6 6 5 5 5 5 5 5 5 6 6 6 7 7 8 7 7 7 6 5 5 5 5 5 6 6 7 8 8 9 9 8 8 8 7 7 7 7 7 7 7 8 8 8 8 9 8 9 9 10 12 12 12 11 10 11 12 12 10 10 13 14 14 13 12 11 12 13 11 11 15 14 14 15 16 15 15 16 15 17 19 19 17 21 23 26 25 25 25 26 27 27 26 30 29 29 30 31 35 31 29 28 29 29 31 37 40 38 36 38 32 40 33 34 35 40 33,0 0 0 0 0 8 8 16 24 24 24 24 24 32 32 44 52 52 52 52 44 44 39 39 39 39 39 45 63 63 71 72 80 78 78 86 90 96 96 111 111 111 109 120 122 122 134 138 145 160 160 162 163 159 163 163 171 183 191 199 199 203 199 209 221 221 229 225 219 223 220 214 218 218 222 222 224 233 236 240 256 264 272 270 279 285 292 303 307 307 309 317 329 347 355 337 335 357 369 377 391 403 421 417 429 418 434 446 431 434 458 475 467 480 498 506 509 506 528 556 576 616 628 651 632 634 630 644 635 660 684 687 696 723 725 758 773 784 766 792 790 820 842 890 886 861 846 849 870 871 855 886 935 887,12075,96,0.1453900709219858,564,0,3303,564,219,10,0,0,13895,135,0.04842931937172775,764,0,2696,764,617,18,1,0,14750,134,0.046987951807228916,830,0,2154,830,1094,18,0,0
4096,1024,4,17,1.25,1.5,1982336232,24100,1635,1.00634765625,-1.5545532226562502,1.0,-1.1438252766927084,1800,2400,0.75,43,1900:1 2100:2 2900:1 3100:1 3300:1 4300:1 5400:1 7400:1 8900:1 9200:1 10900:1 11300:1 11900:1 14300:1 14900:1 15200:1 15700:1 15900:1 16000:1 16500:1 16800:1 17200:1 17300:1 17800:1 17900:1 18500:1 18900:1 19000:1 19200:1 19500:1 19600:1 19700:1 19900:1 20000:1 20100:1 20200:1 20800:1 21300:1 21400:1 21600:2 21700:1,48,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 3 3 3 3 3 3 4 4 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 9 9 9 10 9 9 9 9 8 8 8 8 8 8 8 9 9 9 9 9 10 10 10 10 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 13 12 13 13 13 13 13 13 13 13 13 12 12 13 13 14 14 14 14 14 14 15 15 15 16 16 14 13 13 14 12 14 14 15 15 14 15 16 16 16 17 16 17 17 20 21 21 20 19 19 20 21 22 20 21 25 24 24 24 20 23 27 24 22 28 28 29 30 30 31 30 35 31 39 39 31 38 35 36 36 34 38 39 34 33 33 38 42 38 48,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 16 24 24 40 40 40 40 40 40 40 40 48 56 64 64 76 80 84 84 88 96 96 104 104 104 112 120 124 124 124 128 132 140 144 152 152 160 164 168 172 176 176 176 176 184 188 188 188 192 200 200 216 220 220 224 224 244 252 252 256 260 264 264 260 264 264 260 264 268 272 280 288 292 292 300 308 312 316 316 308 316 324 324 324 332 336 346 350 358 370 386 400 412 421 421 433 437 457 460 476 480 496 500 500 520 520 528 536 540 536 542 556 556 564 576 588 592 588 583 587 599 618 621 625 633 663 667 671 681 685 701 721 727 739 761 756 748 756 772 792 789 801 809 825 829 837 838 838 838 833 849 857 877 901 891 899 907 911 934 946 958 968 966 986 980 980 987 985 984 1013 1034 1054 1068 1055 1069 1092 1097 1113 1099 1147 1133 1152 1183 1190 1182 1180 1215 1208 1170 1214 1207 1248 1233 1239 1225 1253 1265 1277 1328 1344,16020,52,0.21033210332103322,813,0,3178,813,104,1,0,0,19375,128,0.10564663023679417,1098,0,2526,1098,462,10,0,0,20680,143,0.08623548922056384,1206,0,1964,1206,908,18,0,0
