N,replica,protocol,leg,k,g,lam,phi,chi,tau_int,acceptance,swap_rate,round_trips,snapshots,snap_no_fluct,snap_no_xi,diam_mean,xi_over_diam,xi_over_diam_err,xi_pooled_over_diam
196,1,tempering,,0,9.0,1.0,0.33538454081632657,0.1760371477709184,1.12848497143819,0.34804211309523864,0.5704,9,1000,0,0,7.981,0.43288819730863487,0.07384780428594295,0.24898677717037634
196,1,tempering,,1,8.357,1.0,0.3593909693877551,0.17988191430153064,1.2323974145314913,0.30881218112244824,0.5438,9,1000,0,0,7.998,0.31672014141553645,0.026981979136744053,0.24822230098389808
196,1,tempering,,2,7.76,1.0,0.3850082653061224,0.1805084029367347,1.4760495530053999,0.27009417517006823,0.5088666666666667,9,1000,0,0,8.013,0.2541488538235399,0.006475174891900338,0.23390272536298418
196,1,tempering,,3,7.205,1.0,0.4133345918367347,0.18210681420204083,1.7844553275135724,0.2315695790816333,0.47486666666666666,9,1000,0,0,8.041,0.24847054514440395,0.011498765652305917,0.22515670349633968
196,1,tempering,,4,6.69,1.0,0.4438873979591837,0.18218074630153064,2.2423209050669892,0.1947365221088436,0.451,9,1000,0,0,8.095,0.22893185190551718,0.005360102118505526,0.2116425494947649
196,1,tempering,,5,6.212,1.0,0.4760735714285714,0.1828806093040816,2.765810168677433,0.1604672619047621,0.42433333333333334,9,1000,0,0,8.131,0.2685533601684864,0.025268808025746926,0.20239707693433473
196,1,tempering,,6,5.768,1.0,0.5099909183673469,0.17786170628367348,3.415738928645615,0.1290373937074832,0.393,9,1000,0,0,8.285,0.2988658216251054,0.024569125737152465,0.1873064231669827
196,1,tempering,,7,5.356,1.0,0.5458602040816327,0.17714658183673468,4.32562108692241,0.10141203231292512,0.3675333333333333,9,1000,0,0,8.476,0.6218078639501453,0.3413711368668017,0.17717036226669924
196,1,tempering,,8,4.973,1.0,0.5837188775510205,0.16933153464285716,5.932135944152028,0.07736500850340129,0.3594,9,1000,0,0,8.716,0.2875440248378026,0.010287614205555509,0.2871202591662039
196,1,tempering,,9,4.618,1.0,0.6215027551020408,0.16423767647142862,8.158886678195826,0.05787759353741458,0.3214,9,1000,0,0,8.928,0.2931557821637167,0.011466905486701802,0.2426814882153819
196,1,tempering,,10,4.288,1.0,0.6611587244897958,0.155956795142347,11.170302048843713,0.041997151360544875,0.32233333333333336,9,1000,0,0,9.073,0.3228186699264815,0.033456303760974096,0.2518522366170489
196,1,tempering,,11,3.981,1.0,0.6994358673469387,0.1505450626280612,16.86079493035912,0.02993669217687052,0.29893333333333333,9,1000,0,0,9.289,0.30163931611234923,0.027077045040434608,0.21948254847832852
196,1,tempering,,12,3.697,1.0,0.7385435714285714,0.1386148438183673,23.108129088415023,0.020850382653060686,0.29033333333333333,9,1000,0,0,9.578,0.28221866726883216,0.01268790742850074,0.29354765544453904
196,1,tempering,,13,3.433,1.0,0.7772999489795918,0.13951671620357142,36.239620556601345,0.014271194727891314,0.27753333333333335,9,1000,0,0,9.969,0.2750828884804672,0.009201203679065555,0.24657788132173702
196,1,tempering,,14,3.187,1.0,0.8159495408163265,0.1287371952443878,51.41171226428755,0.009692538265306992,0.2618,9,1000,0,0,10.363,0.2703442959093181,0.009110209501085978,0.21324502559882844
196,1,tempering,,15,2.96,1.0,0.8545636734693878,0.11712964045714287,96.06255346722374,0.006494664115647391,0.256,9,1000,0,0,10.861,0.24926661586922758,0.009102155273065472,0.25534676038226817
196,1,tempering,,16,2.748,1.0,0.8896838775510204,0.10724207019591836,188.68464152821096,0.004529464285715307,0.2366,9,1000,0,0,11.587,0.23147919623534888,0.007266927580202435,0.2481986731586884
196,1,tempering,,17,2.552,1.0,0.9257348979591837,0.10345698203265308,373.8997778275514,0.0032056972789121937,0.19493333333333332,9,1000,0,0,12.537,0.22397394169869167,0.00797165506795497,0.25100156436764576
196,1,tempering,,18,2.369,1.0,0.9625008673469387,0.08159882128112247,418.7353370080776,0.0023117346938773885,0.313,9,1000,0,0,13.873,0.3596138010851694,0.09521441729011347,0.15562987695576447
196,1,tempering,,19,2.2,1.0,0.979397193877551,0.06707731927295917,2209.3689296015436,0.001700446428571122,,9,1000,0,0,14.792,0.19890329200408025,0.025353782005548595,0.13159051277479614
